,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
54,54,16-03-2020 18:04:14,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,9,Тбилиси,5 гр,0.0276,11119,4163,351,150.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,16-03-2020 18:04:14,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0334,14825,5550,468,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
56,56,16-03-2020 18:04:14,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.4283,190000,87429,6072,,,,,,,,,,,,reagent 25i nbome. 5gr
57,57,16-03-2020 18:04:14,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.5013,222379,83250,7021,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,58,16-03-2020 18:04:14,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1595,63674,23837,2010,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
59,59,16-03-2020 18:04:14,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0343,13713,5134,433,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,60,16-03-2020 18:04:14,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0908,36248,13570,1144,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
61,61,16-03-2020 18:04:14,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0611,24388,9130,770,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
62,62,16-03-2020 18:04:14,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0334,13343,4995,421,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,63,16-03-2020 18:04:14,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1654,66714,24975,2106,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,16-03-2020 18:04:14,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1287,51888,19425,1638,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
65,65,16-03-2020 18:04:14,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0733,29576,11072,934,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,66,16-03-2020 18:05:31,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0628,25944,9713,819,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
67,67,16-03-2020 18:05:31,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1422,59301,22200,1872,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,68,16-03-2020 18:05:31,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3956,164931,61744,5207,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
69,69,16-03-2020 18:05:31,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2602,107409,40210,3391,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,70,16-03-2020 18:05:31,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0663,27353,10240,864,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,71,16-03-2020 18:05:31,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0537,22164,8297,700,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,72,16-03-2020 18:05:31,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.1076,44402,16622,1402,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,16-03-2020 18:05:31,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1939,88951,33300,2808,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
74,74,16-03-2020 18:05:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3556,148252,55500,4680,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,75,16-03-2020 18:05:31,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3591,148252,55500,4680,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
76,76,16-03-2020 18:05:31,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4444,185316,69375,5851,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,16-03-2020 18:05:31,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2693,111189,41625,3510,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,16-03-2020 18:05:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.8178,340981,127650,10765,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,16-03-2020 18:05:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.3333,555947,208125,17552,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,16-03-2020 18:05:31,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.5111,630073,235875,19892,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,16-03-2020 18:05:31,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0323,14825,5550,468,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,16-03-2020 18:05:31,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0242,11119,4163,351,150.0,,,,,,,,,,,Rabota na marki (kur'er)
83,83,16-03-2020 18:05:31,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0356,14825,5550,468,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,16-03-2020 18:05:31,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0444,18532,6938,585,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,16-03-2020 18:05:31,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.6909,1111893,416250,35103,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,16-03-2020 18:07:22,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2687,111189,41625,3510,1500.0,,,,,,,,True,,,Skunk! 50 gr.
87,87,16-03-2020 18:07:22,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0326,14825,5550,468,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
88,88,16-03-2020 18:07:22,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3619,148252,55500,4680,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
89,89,16-03-2020 18:07:22,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2714,111189,41625,3510,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
90,90,16-03-2020 18:07:22,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0163,7413,2775,234,100.0,,,,,,,,True,,,kur'er v Batumi
91,91,16-03-2020 18:07:22,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0407,18532,6938,585,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
92,92,16-03-2020 18:07:22,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0244,11119,4163,351,150.0,,,,,,,,True,,,Rabota na marki (kur'er)
93,93,16-03-2020 18:07:22,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0407,18532,6938,585,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
94,94,16-03-2020 18:07:22,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.7118,1111893,416250,35103,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
95,95,16-03-2020 18:07:22,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0896,37063,13875,1170,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
96,96,16-03-2020 18:09:07,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0244,11119,4163,351,150.0,,,,,,,,,,True,Rabota na marki (kur'er)
