,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Varketili,Vake,Батуми,Центр,desc_en
33,33,04-08-2020 16:19:34,Tbilisi,fccfd69694,Бошки LSD 1g,True,4,нет,Тбилиси,1 гр,0.004,3302,1258,110,45.0,,,,,,,,,,,,Boshki LSD 1g
34,34,04-08-2020 16:19:34,Tbilisi,67187efef3,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0034,2935,1118,98,40.0,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
35,35,04-08-2020 16:19:34,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,2 гр,0.0096,7998,3047,267,109.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
36,36,04-08-2020 16:20:46,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,5,нет,Тбилиси,2 гр,0.0095,7998,3047,267,109.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
37,37,04-08-2020 16:20:46,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0105,8806,3354,294,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
38,38,04-08-2020 16:20:46,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0105,8806,3354,294,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
39,39,04-08-2020 16:20:46,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),,2,нет,Тбилиси,2 гр,0.0096,8072,3075,269,110.0,True,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
40,40,04-08-2020 16:20:46,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,6,нет,Тбилиси,2 гр,0.0077,6458,2460,215,88.0,,,,,,,,,,,,2gr HYBRID buds
41,41,04-08-2020 16:20:46,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,7,нет,Тбилиси,2 гр,0.0088,8072,3075,269,110.0,,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
42,42,04-08-2020 16:20:46,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,2,нет,Тбилиси,2.2 гр,0.0219,18345,6988,612,250.0,,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
43,43,04-08-2020 16:20:46,Tbilisi,64284550d9,3G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,3 гр,0.0131,11007,4193,367,150.0,True,,,,,,,,,,,3G ---> Big Devil (BTC - Sale)
