,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
18,27-03-2020 09:24:16,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,2 гр,0.0113,6298,2288,207,80,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,27-03-2020 09:24:16,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,9,нет,Тбилиси,2 гр,0.0111,6219,2259,205,79,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,27-03-2020 09:24:16,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,True,2,нет,Тбилиси,2 гр,0.012,6691,2431,220,85,,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
21,27-03-2020 09:24:16,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,5,нет,Тбилиси,2 гр,0.0111,6219,2259,205,79,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
22,27-03-2020 09:24:16,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.0112,6219,2259,205,79,,,True,,,,,,,2g super Skunk top class buds. Indica
23,27-03-2020 09:24:16,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.015,8266,3003,272,105,,,,,,,,,,3x Extasy Duracell 223mg MDMA
24,27-03-2020 09:24:16,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 3 штуки,True,2,нет,Тбилиси,3 гр,0.0063,3868,1406,127,,,,,45,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 3 shtuki
25,27-03-2020 09:24:16,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,,1,нет,Тбилиси,4 гр,0.0094,5274,1916,174,67,True,,,,,,,,,metadon sirop 4ml
26,27-03-2020 09:24:16,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0226,12517,4547,412,159,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
27,27-03-2020 09:24:16,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0221,12202,4433,401,155,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
28,27-03-2020 09:24:16,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.041,25191,9152,829,320,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,27-03-2020 09:24:16,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0369,21491,7813,707,,,,,250,,,,,,5 gr mdma (skidka v bitkoin 5%)
30,27-03-2020 09:24:16,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0541,31489,11440,1036,400,,,,,,,,,,5g MDMA (IMPORTED)
31,27-03-2020 09:24:16,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0249,13776,5005,453,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,27-03-2020 09:24:16,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.007,4330,1573,142,55,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
33,27-03-2020 09:24:16,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,6 гр,0.0122,7479,2717,246,95,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
34,27-03-2020 09:24:16,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Wholesale,,1,нет,Тбилиси,10 гр,0.0281,15666,5691,515,199,True,,,,,,,,,10 gr georgian weed. Wholesale
35,27-03-2020 09:24:55,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Wholesale,,1,нет,Тбилиси,10 гр,0.0281,15666,5691,515,199,True,,,,,,,,,10 gr georgian weed. Wholesale
36,27-03-2020 09:24:55,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,3,нет,Тбилиси,10 гр,0.0337,18815,6835,619,239,True,,,,,,,,,10 gr marijuana buds. -indica-
37,27-03-2020 09:24:55,Tbilisi,ABOAB,ProGrow,10G ---> ONLY BUDS,True,1,нет,Тбилиси,10 гр,0.0296,16532,6006,544,210,,,,,,,,,,10G ---> ONLY BUDS
38,27-03-2020 09:24:55,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,2,нет,Тбилиси,10 гр,0.0563,31410,11411,1033,399,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
39,27-03-2020 09:24:55,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0515,28734,10439,945,365,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
40,27-03-2020 09:24:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0376,21019,7636,692,267,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
41,27-03-2020 09:24:55,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0109,6691,2431,220,85,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
42,27-03-2020 09:24:55,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0541,31489,11440,1036,400,,,,,,,,,,gashish evro 10g
43,27-03-2020 09:24:55,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2563,157445,57200,5180,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
44,27-03-2020 09:24:55,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0513,31489,11440,1036,400,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
