,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
35,35,27-05-2020 22:26:01,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0583,39085,14949,1321,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,36,27-05-2020 22:26:01,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0249,16700,6387,564,235.0,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,37,27-05-2020 22:26:01,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0254,17055,6523,576,240.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
38,38,27-05-2020 22:26:01,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0244,16345,6251,552,230.0,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,39,27-05-2020 22:26:01,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,1,Тбилиси,5 гр,0.0168,11299,4322,382,159.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
40,40,27-05-2020 22:26:01,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0254,17055,6523,576,240.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,41,27-05-2020 22:26:01,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0254,17055,6523,576,240.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,42,27-05-2020 22:26:01,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0244,16345,6251,552,230.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,43,27-05-2020 22:26:01,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,15563,5952,526,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,44,27-05-2020 22:26:01,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0249,16700,6387,564,235.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
45,45,27-05-2020 22:26:01,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,True,нет,4,Тбилиси,5 гр,0.0265,17766,6795,601,250.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
46,46,27-05-2020 22:26:01,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2575,190000,87429,6418,,True,,,,,,,,,,reagent 25i nbome. 5gr
47,47,27-05-2020 22:26:01,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.289,213191,81540,7206,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,27-05-2020 22:26:01,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1026,68150,26066,2304,959.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
49,49,27-05-2020 22:26:01,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0203,13502,5164,456,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,50,27-05-2020 22:26:01,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0523,34750,13291,1175,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
51,51,27-05-2020 22:26:01,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0954,63957,24462,2162,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,27-05-2020 22:26:01,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0424,28425,10872,961,400.0,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,27-05-2020 22:26:01,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0742,49744,19026,1681,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,27-05-2020 22:26:01,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0445,29847,11416,1009,420.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,27-05-2020 22:26:01,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0848,56851,21744,1922,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,27-05-2020 22:26:01,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2358,158116,60476,5344,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,27-05-2020 22:26:01,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1668,110788,42374,3745,1559.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,58,27-05-2020 22:26:01,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0395,26222,10029,886,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,59,27-05-2020 22:26:01,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,,нет,11,Тбилиси,20 гр,0.0423,28354,10845,958,399.0,True,,,,,,,,,,20 gr georgian weed. Package on magnet
60,60,27-05-2020 22:26:01,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5351,355318,135900,12010,5000.0,True,,,,,,,,,,METADON - 20 G.
61,61,27-05-2020 22:26:01,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0641,42567,16281,1439,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
62,62,27-05-2020 22:26:01,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1376,92311,35307,3120,1299.0,True,,,,,,,,,,50 gr georgian weed. Package on magnet
63,63,27-05-2020 22:26:01,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2648,177588,67923,6003,2499.0,True,,,,,,,,,,100 gr georgian weed. Package on magnet
64,64,27-05-2020 22:26:01,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2543,170552,65232,5765,2400.0,True,,,,,,,,,,100 gr marijuana buds
65,65,27-05-2020 22:26:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2119,142127,54360,4804,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
66,66,27-05-2020 22:26:01,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2649,177659,67950,6005,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,67,27-05-2020 22:26:01,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6251,419275,160362,14172,5900.0,True,,,,,,,,,,180 gr marihuana persoalno
68,68,27-05-2020 22:26:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4874,326892,125028,11049,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,69,27-05-2020 22:26:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7947,532976,203850,18015,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,70,27-05-2020 22:26:27,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9006,604040,231030,20417,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,27-05-2020 22:26:27,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0193,14213,5436,480,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,27-05-2020 22:26:27,Tbilisi,8528108b62,Требуется Курьер,,1,нет,Тбилиси,1 гр,0.0193,14213,5436,480,200.0,True,,,,,,,,,,Trebuetsja Kur'er
73,73,27-05-2020 22:26:27,Tbilisi,52fe6d0af9,Need Delivery 150$ Only MJ & Hash | куриер залог 150$ | 200 Rub For Adress 1 Gr,,нет,1,Тбилиси,1 гр,0.0157,10660,4077,360,150.0,True,,,,,,,,,,Need Delivery 150$ Only MJ & Hash | kurier zalog 150$ | 200 Rub For Adress 1 Gr
74,74,27-05-2020 22:26:27,Tbilisi,52fe6d0af9,Need Delivery 300$ Only MJ & Hash | куриер залог 300$ | 200 Rub For Adress 0.5-1 Gr,,нет,1,Тбилиси,1 гр,0.0318,21319,8154,721,300.0,True,,,,,,,,,,Need Delivery 300$ Only MJ & Hash | kurier zalog 300$ | 200 Rub For Adress 0.5-1 Gr
75,75,27-05-2020 22:26:27,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0212,14213,5436,480,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,27-05-2020 22:26:27,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0265,17766,6795,601,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,27-05-2020 22:26:27,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6038,1065953,407700,36030,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
78,78,27-05-2020 22:27:17,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,1,Батуми,0.5 гр,0.009000000000000001,6040,2310,204,85.0,,,,,,,True,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
79,79,27-05-2020 22:27:17,Batumi,54915c4374,Батуми н-бооом 2 штуки,,2,нет,Батуми,2 гр,0.003,1990,761,67,28.0,,,,,,,True,,,,Batumi n-booom 2 shtuki
80,80,27-05-2020 22:27:17,Batumi,54915c4374,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0059,3980,1522,135,56.0,,,,,,,True,,,,Marki n-BoooooooM 4 sht
81,81,27-05-2020 22:27:17,Batumi,54915c4374,Марки н-боооом!!! 10 шт.,,1,нет,Батуми,10 гр,0.0106,7106,2718,240,100.0,,,,,,,True,,,,Marki n-boooom!!! 10 sht.
82,82,27-05-2020 22:27:17,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2331,156340,59796,5284,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
83,83,27-05-2020 22:27:17,Batumi,54915c4374,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0429,28781,11008,973,405.0,,,,,,,,True,,,MDMA !! 3 gramma
84,84,27-05-2020 22:27:17,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1685,112990,51992,3817,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,85,27-05-2020 22:27:17,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2667,178900,82321,6043,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,86,27-05-2020 22:27:17,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7106,2718,240,100.0,,,,,,,,True,,,kur'er v Batumi
87,87,27-05-2020 22:27:17,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17766,6795,601,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,88,27-05-2020 22:27:17,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17766,6795,601,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
89,89,27-05-2020 22:27:17,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.028999999999999998,19477,7450,657,,,,,,,,,True,250.0,,Rabota na marki (kur'er)
90,90,27-05-2020 22:27:17,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6038,1065953,407700,36030,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
91,91,27-05-2020 22:27:17,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.053,35532,13590,1201,500.0,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,92,27-05-2020 22:28:25,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0509,34466,13182,1165,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,93,27-05-2020 22:28:25,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.0343,23451,8969,793,330.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
94,94,27-05-2020 22:28:25,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.028999999999999998,19477,7450,657,,,,,,,,,,250.0,True,Rabota na marki (kur'er)
