,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Тбилиси,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
20,20,01-04-2020 01:29:58,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,1,нет,Тбилиси,2 гр,0.0106,5830,2104,195,75.0,,,True,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
21,21,01-04-2020 01:29:58,Tbilisi,bb1791277e,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,3,нет,Тбилиси,2 гр,0.012,6607,2384,221,85.0,,,True,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
22,22,01-04-2020 01:29:58,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,,2,нет,Тбилиси,2 гр,0.0066,3653,1318,122,47.0,True,,,,,,,,,2gr Indica dominant Buds
23,23,01-04-2020 01:29:58,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,5,нет,Тбилиси,2 гр,0.0462,27984,10098,937,360.0,,,True,,,,,,,Cocaine Pure VHQ 2 g
24,24,01-04-2020 01:29:58,Tbilisi,ae784bef73,Gorilla Glue! 2G ! NEW ! BUDS !,,1,нет,Тбилиси,2 гр,0.0106,5830,2104,195,75.0,,,True,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
25,25,01-04-2020 01:29:58,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,26,нет,Тбилиси,2 гр,0.0045,2721,982,91,35.0,True,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
26,26,01-04-2020 01:29:58,Tbilisi,d04eeb6525,Кокаин HQ 2г.,,2,нет,Тбилиси,2 гр,0.0514,29461,10631,986,379.0,,,True,,,,,,,Kokain HQ 2g.
27,27,01-04-2020 01:29:58,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,5,нет,Тбилиси,2 гр,0.0045,2721,982,91,35.0,True,,True,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
28,28,01-04-2020 01:29:58,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,3,нет,Тбилиси,3 гр,0.0155,8473,3057,284,109.0,,,True,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
29,29,01-04-2020 01:29:58,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0411,24874,8976,833,320.0,,,True,,,,,,,"5 Grm MDMA , Purity A +++"
30,30,01-04-2020 01:29:58,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0344,19720,7107,662,,,,True,,230.0,,,,,5 gr mdma (skidka v bitkoin 5%)
31,31,01-04-2020 01:29:58,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,1,нет,Тбилиси,5 гр,0.0239,13137,4740,440,169.0,,,True,,,,,,,5gr Stardawg Auto WEED BUDS
32,32,01-04-2020 01:29:58,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.025,13603,4909,455,175.0,,,True,,,,,,,5x Extasy Duracell 223mg MDMA.
33,33,01-04-2020 01:29:58,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1026,62108,22412,2079,799.0,,,True,,,,,,,Cocaine Pure VHQ 5g.
34,34,01-04-2020 01:30:53,Tbilisi,688dd1cbd1,Ketamine S 5grm(Netherlands) Purity 87%,,1,нет,Тбилиси,5 гр,0.0802,48583,17531,1616,625.0,,,True,,,,,,,Ketamine S 5grm(Netherlands) Purity 87%
35,35,01-04-2020 01:30:53,Tbilisi,f8a875c191,METADON - 5 G.,,1,13,Тбилиси,5 гр,0.2139,116599,42075,3878,1500.0,,,True,,,,,,,METADON - 5 G.
36,36,01-04-2020 01:30:53,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,2,нет,Тбилиси,6 гр,0.0116,6996,2525,233,90.0,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
37,37,01-04-2020 01:30:53,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,2,нет,Тбилиси,10 гр,0.0337,18578,6704,618,239.0,True,,,,,,,,,10 gr marijuana buds. -indica-
38,38,01-04-2020 01:30:53,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0563,31015,11192,1032,399.0,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
39,39,01-04-2020 01:30:53,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0515,28372,10238,944,365.0,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
40,40,01-04-2020 01:30:53,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0377,20755,7489,690,267.0,,,True,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
41,41,01-04-2020 01:30:53,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,1,нет,Тбилиси,10 гр,0.0142,8574,3090,284,,True,,,,100.0,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
42,42,01-04-2020 01:30:53,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,10 гр,0.0109,6607,2384,220,85.0,,,True,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
43,43,01-04-2020 01:30:53,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0542,31093,11220,1034,400.0,,,True,,,,,,,gashish evro 10g
44,44,01-04-2020 01:30:53,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1053,60398,21795,2009,777.0,,,True,,,,,,,Gashish Evro 20gr
45,45,01-04-2020 01:30:53,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2567,155465,56100,5171,2000.0,,,True,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
46,46,01-04-2020 01:30:53,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0513,31093,11220,1034,400.0,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
47,47,01-04-2020 01:30:53,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0357,19433,7013,646,250.0,,,True,,,,,,,METADON - 0.25 G.
48,48,01-04-2020 01:30:53,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,15,Тбилиси,1.5 гр,0.107,58299,21038,1939,750.0,,,True,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
49,49,01-04-2020 01:30:53,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0285,15547,5610,517,200.0,,,True,,,,,,,✨✨2gram. MDMA✨✨
50,50,01-04-2020 01:30:53,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0526,28683,10350,954,369.0,,,True,,,,,,,❄❄2g HQ COCAINE❄❄
51,51,01-04-2020 01:30:53,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0841,45862,16550,1526,590.0,,,True,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
52,52,01-04-2020 01:30:53,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0565,31093,11220,1034,400.0,,,True,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
53,53,01-04-2020 01:30:53,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0226,12437,4488,414,160.0,,,True,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
54,54,01-04-2020 01:30:53,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0777,42753,15428,1422,550.0,,,True,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,01-04-2020 01:30:53,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0239,13137,4740,437,169.0,,,True,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
56,56,01-04-2020 01:30:53,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.024,13215,4769,440,170.0,,,True,,,,,,,5 gr Shishki “OG KUSH VHQ”
57,57,01-04-2020 01:30:53,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0281,15469,5582,515,199.0,,,True,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
58,58,01-04-2020 01:30:53,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0281,15469,5582,515,199.0,,,True,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,59,01-04-2020 01:30:53,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0281,15469,5582,515,199.0,,,True,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,60,01-04-2020 01:30:53,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0281,17023,6143,566,219.0,,,True,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,61,01-04-2020 01:30:53,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0428,23320,8415,776,300.0,,,True,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
62,62,01-04-2020 01:30:53,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0281,15469,5582,515,199.0,,,True,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,63,01-04-2020 01:30:53,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Тбилиси,5 гр,0.0257,15547,5610,517,200.0,,,True,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
64,64,01-04-2020 01:30:53,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3138,190000,87429,6253,,,,True,,,,,,,reagent 25i nbome. 5gr
65,65,01-04-2020 01:30:53,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3851,233198,84150,7757,3000.0,,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
66,66,01-04-2020 01:31:48,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1239,67550,24375,2247,869.0,,,True,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
67,67,01-04-2020 01:31:48,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0271,14769,5330,491,190.0,,,True,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
68,68,01-04-2020 01:31:48,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0697,38011,13716,1264,489.0,,,True,,,,,,,💘✨5g. MDMA ✨💘
69,69,01-04-2020 01:31:48,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.027000000000000003,14691,5301,489,189.0,,,True,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
70,70,01-04-2020 01:31:48,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1271,69959,25245,2327,900.0,,,True,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,71,01-04-2020 01:31:48,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0988,54413,19635,1810,700.0,,,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,72,01-04-2020 01:31:48,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0452,24874,8976,827,320.0,,,True,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,73,01-04-2020 01:31:48,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.113,62186,22440,2068,800.0,,,True,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
74,74,01-04-2020 01:31:48,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3142,172955,62411,5753,2225.0,,,True,,,,,,,Amfetamin [White] [Import] 10G
75,75,01-04-2020 01:31:48,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2067,112634,40644,3747,1449.0,,,True,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
76,76,01-04-2020 01:31:48,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0526,28683,10350,954,369.0,,,True,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
77,77,01-04-2020 01:31:48,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0426,23242,8387,773,299.0,,,True,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
78,78,01-04-2020 01:31:48,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0854,46562,16802,1549,599.0,,,True,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
79,79,01-04-2020 01:31:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1553,85506,30855,2844,1100.0,,,True,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
80,80,01-04-2020 01:31:48,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3389,186558,67320,6205,2400.0,,,True,,,,,,,100 gr marijuana buds
81,81,01-04-2020 01:31:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2824,155465,56100,5171,2000.0,,,True,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
82,82,01-04-2020 01:31:48,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2852,155465,56100,5171,2000.0,,,True,,,,,,,SUBOXIN - HQ - 100 G.
83,83,01-04-2020 01:31:48,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.353,194331,70125,6464,2500.0,,,True,,,,,,,Marihuana [Shishki] [Gali] 100G
84,84,01-04-2020 01:31:48,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2139,116599,42075,3878,1500.0,,,True,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
85,85,01-04-2020 01:31:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6495,357570,129030,11894,4600.0,,,True,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
86,86,01-04-2020 01:31:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0590000000000002,582994,210375,19392,7500.0,,,True,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
87,87,01-04-2020 01:31:48,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2002,660726,238425,21978,8500.0,,,True,,,,,,,10000sht marki 25i-nbome. predoplata
88,88,01-04-2020 01:31:48,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0257,15547,5610,517,200.0,,,True,,,,,,,KURYER..500RUB.+BONUS
89,89,01-04-2020 01:31:48,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0212,11660,4208,388,150.0,,,True,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
90,90,01-04-2020 01:31:48,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0282,15547,5610,517,200.0,,,True,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
91,91,01-04-2020 01:31:48,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0353,19433,7013,646,250.0,,,True,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
92,92,01-04-2020 01:31:48,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1373,1165988,420750,38784,15000.0,,,True,,,,,,,Vakansija optovogo kur'era na mef
93,93,01-04-2020 01:33:26,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0103,6219,2244,207,80.0,,,,,,,True,,,MEPHEDRONE 0.5 gr
94,94,01-04-2020 01:33:26,Batumi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,3,нет,Батуми,1 гр,0.0212,11660,4208,388,150.0,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
95,95,01-04-2020 01:33:26,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,13,нет,Батуми,2 гр,0.0049,2954,1066,98,38.0,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
96,96,01-04-2020 01:33:26,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Батуми,6 гр,0.0116,6996,2525,233,90.0,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
97,97,01-04-2020 01:33:26,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3109,171012,61710,5688,2200.0,,,,,,,,True,,[100g] SPAIN HASH
98,98,01-04-2020 01:33:26,Batumi,f8a875c191,METADON - 0.25 G.,,нет,5,Батуми,0.25 гр,0.0357,19433,7013,646,250.0,,,,,,,,True,,METADON - 0.25 G.
99,99,01-04-2020 01:33:26,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,3,13,Батуми,5 гр,0.0257,15547,5610,517,200.0,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
100,100,01-04-2020 01:33:26,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2854,155465,56100,5171,2000.0,,,,,,,,True,,SUBOXIN - HQ - 100 G.
101,101,01-04-2020 01:33:26,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2141,116599,42075,3878,1500.0,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
102,102,01-04-2020 01:33:26,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0128,7773,2805,259,100.0,,,,,,,,True,,kur'er v Batumi
103,103,01-04-2020 01:33:26,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0321,19433,7013,646,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
104,104,01-04-2020 01:33:26,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0321,19433,7013,646,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
105,105,01-04-2020 01:33:26,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0354,21435,7725,711,,,,,,250.0,,,True,,Rabota na marki (kur'er)
