,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Тбилиси,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
10,25-04-2020 05:26:53,Tbilisi,A3I9,Joookerrr,Н бооом 4 штуки (300 арагвели),,1,нет,Тбилиси,4 гр,0.0072,4109,1504,135,55,,,True,,,,,,,,N booom 4 shtuki (300 aragveli)
11,25-04-2020 05:26:53,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0402,23909,8752,788,320,,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
12,25-04-2020 05:26:53,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0389,22415,8205,739,300,,,True,,,,,,,,5 Grm Mdma Pure Quality A +++
13,25-04-2020 05:26:53,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA. Технический универ,,1,нет,Тбилиси,5 гр,0.0231,13075,4786,431,175,,,True,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
14,25-04-2020 05:26:53,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.146,85924,31453,2832,1150,,,True,,,,,,,,VHQ BEST Cocaine 5g.
15,25-04-2020 05:26:53,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,9,нет,Тбилиси,10 гр,0.0274,15616,5716,515,209,,,,True,,,,,,,10 gr marijuana buds. -indica-
16,25-04-2020 05:26:53,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 10g TOP VHQ,,2,нет,Тбилиси,10 гр,0.0393,22415,8205,739,300,,,True,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
17,25-04-2020 05:26:53,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0503,29887,10940,985,400,,,True,,,,,,,,gashish evro 10g
18,25-04-2020 05:26:53,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,2,1,Тбилиси,20 гр,0.053,30260,11077,998,405,,,True,True,,,,,,,20 gr Indica marijuana buds (hight quality)
19,25-04-2020 05:26:53,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0976,58055,21251,1914,777,,,True,,,,,,,,Gashish Evro 20gr
20,25-04-2020 05:26:53,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2381,149433,54700,4926,2000,,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,25-04-2020 05:26:53,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.0488,27570,10092,909,369,,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
22,25-04-2020 05:26:53,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.078,44083,16137,1453,590,,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
23,25-04-2020 05:26:53,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0524,29887,10940,985,400,,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,25-04-2020 05:26:53,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.072,41094,15043,1355,550,,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,25-04-2020 05:26:53,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0223,12702,4650,419,170,,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
26,25-04-2020 05:26:53,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0261,14869,5443,490,199,,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
27,25-04-2020 05:26:53,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0261,14869,5443,490,199,,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
28,25-04-2020 05:26:53,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0261,16363,5990,539,219,,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
29,25-04-2020 05:26:53,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0261,14869,5443,490,199,,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,25-04-2020 05:26:53,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3027,190000,87429,6265,,,,True,,,,,,,,reagent 25i nbome. 5gr
31,25-04-2020 05:26:53,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3572,224149,82050,7389,3000,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
32,25-04-2020 05:26:53,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1149,64928,23767,2140,869,,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,25-04-2020 05:26:53,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.025,14121,5169,466,189,,,True,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
34,25-04-2020 05:27:39,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0251,14196,5197,468,190,,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
35,25-04-2020 05:27:39,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0647,36536,13374,1204,489,,,True,,,,,,,,💘✨5g. MDMA ✨💘
36,25-04-2020 05:27:39,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.025,14121,5169,466,189,,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
37,25-04-2020 05:27:39,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1179,67245,24615,2217,900,,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,25-04-2020 05:27:39,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0917,52301,19145,1724,700,,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
39,25-04-2020 05:27:39,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0419,23909,8752,788,320,,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
40,25-04-2020 05:27:39,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1048,59773,21880,1970,800,,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
41,25-04-2020 05:27:39,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2914,166244,60854,5480,2225,,,True,,,,,,,,Amfetamin [White] [Import] 10G
42,25-04-2020 05:27:39,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1917,108264,39630,3569,1449,,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
43,25-04-2020 05:27:39,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0488,27570,10092,909,369,,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
44,25-04-2020 05:27:39,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0395,22340,8178,736,299,,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
45,25-04-2020 05:27:39,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0792,44755,16383,1475,599,,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,25-04-2020 05:27:39,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1441,82188,30085,2709,1100,,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
47,25-04-2020 05:27:39,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3143,179319,65640,5911,2400,,,True,,,,,,,,100 gr marijuana buds
48,25-04-2020 05:27:39,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2619,149433,54700,4926,2000,,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
49,25-04-2020 05:27:39,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3274,186791,68375,6158,2500,,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
50,25-04-2020 05:27:39,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7727,440826,161365,14532,5900,,,True,,,,,,,,180 gr marihuana persoalno
51,25-04-2020 05:27:39,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,1,Тбилиси,200 гр,0.4125,235356,86153,7758,3150,,,True,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
52,25-04-2020 05:27:39,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6024,343695,125810,11330,4600,,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
53,25-04-2020 05:27:39,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9822,560372,205125,18473,7500,,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
54,25-04-2020 05:27:39,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1131,635089,232475,20936,8500,,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
55,25-04-2020 05:27:39,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0238,14943,5470,493,200,,,True,,,,,,,,KURYER..500RUB.+BONUS
56,25-04-2020 05:27:39,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0262,14943,5470,493,200,,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
57,25-04-2020 05:27:39,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0327,18679,6838,616,250,,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
58,25-04-2020 05:27:39,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0262,14943,5470,493,200,,,True,,,,,,,,Rabota na marki (kur'er)
59,25-04-2020 05:27:39,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.9822,1120745,410250,36945,15000,,,True,,,,,,,,Vakansija optovogo kur'era na mef
60,25-04-2020 05:29:10,Batumi,A3I9,Joookerrr,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1445,531,48,,,,,,,,True,18,,,Batumi n-booom 1 shtuka
61,25-04-2020 05:29:10,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2568,944,85,,,,,,,,True,32,,,Batumi n-booom 2 shtuki
62,25-04-2020 05:29:10,Batumi,A3I9,Joookerrr,Батуми н-бооом 4 штуки,,3,нет,Батуми,4 гр,0.007,4414,1623,146,,,,,,,,True,55,True,,Batumi n-booom 4 shtuki
63,25-04-2020 05:29:10,Batumi,XHR,420Factory,Power Africa 5g,,1,нет,Батуми,5 гр,0.0179,11207,4103,369,150,,,,,,,True,,,,Power Africa 5g
64,25-04-2020 05:29:10,Batumi,A3I9,Joookerrr,Батуми н-бооом 5 штук,,2,нет,Батуми,5 гр,0.0077,4815,1770,159,,,,,,,,True,60,,,Batumi n-booom 5 shtuk
65,25-04-2020 05:29:10,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2881,164376,60170,5419,2200,,,,,,,True,,,,[100g] SPAIN HASH
66,25-04-2020 05:29:10,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0119,7472,2735,246,100,,,,,,,True,,,,kur'er v Batumi
67,25-04-2020 05:29:10,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0298,18679,6838,616,250,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
68,25-04-2020 05:29:10,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0298,18679,6838,616,250,,,,,,,True,,,,Ischu kur'era v Gruzii!
69,25-04-2020 05:29:10,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9822,1120745,410250,36945,15000,,,,,,,True,,,,Vakansija optovogo kur'era na mef
70,25-04-2020 05:29:10,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0655,37358,13675,1232,500,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
71,25-04-2020 05:30:35,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0244,14121,5169,466,189,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
72,25-04-2020 05:30:35,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.058,33174,12143,1094,444,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
73,25-04-2020 05:30:35,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0405,23162,8479,764,310,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
74,25-04-2020 05:30:35,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0261,14943,5470,493,200,,,,,,,,,,True,Rabota na marki (kur'er)
