,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
33,28-02-2020 16:23:40,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0282,16748,6160,559,250,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
34,28-02-2020 16:23:40,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0282,16748,6160,559,250,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,28-02-2020 16:24:12,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.028,16748,6160,559,250,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,28-02-2020 16:24:12,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0223,13331,4903,445,199,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
37,28-02-2020 16:24:12,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.028,16748,6160,559,250,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,28-02-2020 16:24:12,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0223,14671,5396,489,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,28-02-2020 16:24:12,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.028,16748,6160,559,250,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
40,28-02-2020 16:24:12,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0204,13398,4928,447,200,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
41,28-02-2020 16:24:12,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.289,190000,87429,6465,,,,,,,,,,reagent 25i nbome. 5gr
42,28-02-2020 16:24:12,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3057,200973,73920,6702,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,4,Тбилиси,5 гр,0.0972,57545,21166,1919,859,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0209,12393,4558,413,185,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
45,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0554,32759,12049,1092,489,,,,,,,,,💘✨5g. MDMA ✨💘
46,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0372,22040,8107,735,329,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
47,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,4,Тбилиси,5 гр,0.0204,12058,4435,402,180,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
48,28-02-2020 16:24:12,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1009,60292,22176,2011,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,28-02-2020 16:24:12,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0785,46894,17248,1564,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,28-02-2020 16:24:12,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0447,26729,9831,891,399,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,28-02-2020 16:24:12,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,1,5,Тбилиси,10 гр,0.0396,23447,8624,782,350,,,,,,,,,10x Extasy Duracell 223mg MDMA.
52,28-02-2020 16:24:12,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0897,53593,19712,1787,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,28-02-2020 16:24:12,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2494,149055,54824,4971,2225,,,,,,,,,Amfetamin [White] [Import] 10G
54,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.164,97070,35703,3237,1449,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
55,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0418,24720,9092,824,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
56,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0339,20030,7367,668,299,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
57,28-02-2020 16:24:12,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0792,46894,17248,1564,700,,,,,,,,,20x Extasy Duracell 223mg MDMA.
58,28-02-2020 16:24:12,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,10,Тбилиси,20 гр,0.0678,40128,14759,1338,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,28-02-2020 16:24:12,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0753,46894,17248,1564,700,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
60,28-02-2020 16:24:12,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1223,80389,29568,2681,1200,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
61,28-02-2020 16:24:12,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1075,66924,24615,2232,999,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
62,28-02-2020 16:24:12,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.1065,63641,23408,2122,950,,,,,,,,,Hybrid Skunk! 50 gr
63,28-02-2020 16:24:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2242,133982,49280,4468,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,28-02-2020 16:24:12,Tbilisi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.2018,120584,44352,4021,1800,,,,,,,,,Hybrid Skunk! 100 gr
65,28-02-2020 16:24:12,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2802,167477,61600,5585,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,28-02-2020 16:24:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5156,308158,113344,10276,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
67,28-02-2020 16:24:12,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8407,502432,184800,16755,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
68,28-02-2020 16:24:12,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9528,569423,209440,18989,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,28-02-2020 16:24:12,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0204,13398,4928,447,200,,,,,,,,,KURYER..500RUB.+BONUS
70,28-02-2020 16:24:58,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0225,13398,4928,447,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,28-02-2020 16:24:58,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0281,16748,6160,559,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,28-02-2020 16:24:58,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.7037,1004864,369600,33510,15000,,,,,,,,,Vakansija optovogo kur'era na mef
73,28-02-2020 16:26:06,Batumi,6KB,Marioshop,XTC-MDMA 0.5g purity 93%+,,4,нет,Батуми,0.5 гр,0.009,5292,1947,176,79,,,,,,True,,,XTC-MDMA 0.5g purity 93%+
74,28-02-2020 16:26:06,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,8,Батуми,0.27 гр,0.0258,15207,5593,507,227,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
75,28-02-2020 16:26:06,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,18,Батуми,5 гр,0.0205,13398,4928,447,200,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
76,28-02-2020 16:26:06,Batumi,9VVG,ToWeedShop,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.1069,63641,23408,2122,950,,,,,,True,,,Hybrid Skunk! 50 gr
77,28-02-2020 16:26:06,Batumi,9VVG,ToWeedShop,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.2026,120584,44352,4021,1800,,,,,,True,,,Hybrid Skunk! 100 gr
