,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,€,Vake,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
51,03-02-2020 15:58:11,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0899,54323,21378,1817,850,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
52,03-02-2020 15:58:11,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,4,нет,Тбилиси,5 гр,0.0159,9586,3773,321,150,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
53,03-02-2020 15:58:11,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0168,10162,3999,340,159,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
54,03-02-2020 15:58:11,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0163,9842,3873,329,154,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
55,03-02-2020 15:58:11,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.0818,54898,21604,1837,859,,,,,,,,,,,VHQ BEST Cocaine 5g.
56,03-02-2020 15:58:11,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0211,13421,5282,449,210,,,,,,,,,,,gashish evro 5g
57,03-02-2020 15:58:11,Tbilisi,9VLN,AlienShop,❄❄5g. HQ coco Best OFFER❄❄,True,1,нет,Тбилиси,5 гр,0.0964,58221,22912,1948,911,,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
58,03-02-2020 15:58:11,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0418,25500,10035,853,399,,,,True,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
59,03-02-2020 15:58:11,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,12,нет,Тбилиси,10 гр,0.028,17064,6715,571,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
60,03-02-2020 15:58:11,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0402,25564,10060,855,400,,,,,,,,,,,gashish evro 10g
61,03-02-2020 15:58:11,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -30 %,True,3,нет,Тбилиси,11 гр,0.1231,106188,41625,3535,,,1500,,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -30 %
62,03-02-2020 15:58:11,Tbilisi,NVOG,ProperMgzn,15x Extasy Duracell 280mg MDMA.,True,1,10,Тбилиси,15 гр,0.0471,28759,11318,962,450,,,,,,,,,,,15x Extasy Duracell 280mg MDMA.
63,03-02-2020 15:58:11,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0781,49657,19542,1661,777,,,,,,,,,,,Gashish Evro 20gr
64,03-02-2020 15:58:11,Tbilisi,6ZR,Geogrowers,* SALE *COCAINE Peru 20+2 gr,True,2,нет,Тбилиси,22 гр,0.2133,184059,72150,6128,,,2600,,,,,,,,,* SALE *COCAINE Peru 20+2 gr
65,03-02-2020 15:58:11,Tbilisi,6ZR,Geogrowers,Exstasy blue punisher 25 шт BTC -10%,True,1,нет,Тбилиси,25 гр,0.0809,54323,21378,1817,850,,,,,,,,,,,Exstasy blue punisher 25 sht BTC -10%
66,03-02-2020 15:58:11,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0265,15977,6288,535,250,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
67,03-02-2020 15:58:11,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.037,22368,8803,748,350,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
68,03-02-2020 15:58:11,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0635,38345,15090,1283,600,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
69,03-02-2020 15:58:11,Tbilisi,03F3,geoshop,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.023,14060,5533,470,220,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
70,03-02-2020 15:58:11,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,нет,1,Тбилиси,2 гр,0.021,12782,5030,428,200,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
71,03-02-2020 15:58:52,Tbilisi,03F3,geoshop,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0231,14060,5533,470,220,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
72,03-02-2020 15:58:52,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,нет,1,Тбилиси,2 гр,0.021,12782,5030,428,200,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
73,03-02-2020 15:58:52,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0419,25564,10060,855,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
74,03-02-2020 15:58:52,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0251,15338,6036,513,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
75,03-02-2020 15:58:52,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0262,15977,6288,535,250,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
76,03-02-2020 15:58:52,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1429,95864,37725,3207,1500,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
77,03-02-2020 15:58:52,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0262,15977,6288,535,250,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
78,03-02-2020 15:58:52,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0262,15977,6288,535,250,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
79,03-02-2020 15:58:52,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0209,12718,5005,425,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
80,03-02-2020 15:58:52,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 280mg MDMA.,True,нет,10,Тбилиси,5 гр,0.0185,11184,4401,374,175,,,,,,,,,,,5x Extasy Duracell 280mg MDMA.
81,03-02-2020 15:58:52,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0262,15977,6288,535,250,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
82,03-02-2020 15:58:52,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,13996,5508,468,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
83,03-02-2020 15:58:52,Tbilisi,V4QM9,PotHero420,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0199,13357,5256,447,209,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
84,03-02-2020 15:58:52,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0262,15977,6288,535,250,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
85,03-02-2020 15:58:52,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,20,Тбилиси,5 гр,0.0191,12782,5030,428,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
86,03-02-2020 15:58:52,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2087,140000,64421,4740,,,,,,,,,,,,reagent 25i nbome. 5gr
87,03-02-2020 15:58:52,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2857,191727,75450,6414,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
88,03-02-2020 15:58:52,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,4,Тбилиси,5 гр,0.02,12079,4753,404,189,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
89,03-02-2020 15:58:52,Tbilisi,9VLN,AlienShop,💊💊5. ecstasy Tekashi69💊💊,True,нет,1,Тбилиси,5 гр,0.0196,11823,4653,396,185,,,,,,,,,,,💊💊5. ecstasy Tekashi69💊💊
90,03-02-2020 15:58:52,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0517,31252,12298,1045,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
91,03-02-2020 15:58:52,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0418,25500,10035,853,399,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
92,03-02-2020 15:58:52,Tbilisi,9VLN,AlienShop,10 грам. Амфетамин SPEED,True,нет,5,Тбилиси,10 гр,0.0423,25564,10060,855,400,,,,,,,,,,,10 gram. Amfetamin SPEED
93,03-02-2020 15:58:52,Tbilisi,7B8EQ,w1ld1nd1an,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1905,127818,50300,4276,2000,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
