,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
33,02-07-2020 06:47:48,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,2,нет,Тбилиси,11 гр,0.0171,12679,4853,436,180,,,,,,,,,,11+ GRAMM BEASTWEED NEW
34,02-07-2020 06:48:57,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0474,35221,13480,1212,500,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
35,02-07-2020 06:48:57,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4579,1752,158,65,,,,,,,,,,Silver haze leaves list'ja 15gr sale
36,02-07-2020 06:48:57,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0346,25711,9840,885,365,,,,,,,,,,25 GGAMM NEW BEASTWEED
37,02-07-2020 06:48:57,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2106,140883,53920,4849,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,02-07-2020 06:48:57,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,2,Тбилиси,1 гр,0.0046,3099,1186,107,44,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
39,02-07-2020 06:48:57,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0094,6340,2426,218,90,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
40,02-07-2020 06:48:57,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0526,35150,13453,1210,499,,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,02-07-2020 06:48:57,Tbilisi,A3I9,Joookerrr,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0088,5939,2269,204,,,,,,75,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
42,02-07-2020 06:48:57,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,6,Тбилиси,3 гр,0.0125,8453,3235,291,120,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
