,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
59,59,17-07-2020 22:36:36,Tbilisi,cb721d4bca,100 gr marijuana buds,True,,нет,1,Тбилиси,100 гр,0.2533,172113,66120,5759,2400.0,,,,,,,,,,,100 gr marijuana buds
60,60,17-07-2020 22:36:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,,1,1,Тбилиси,100 гр,0.2638,179285,68875,5999,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,61,17-07-2020 22:36:36,Tbilisi,69672fee0d,180 gr марихуана персоално,True,,нет,1,Тбилиси,180 гр,0.6226,423112,162545,14157,5900.0,,,,,,,,,,,180 gr marihuana persoalno
62,62,17-07-2020 22:36:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,,нет,3,Тбилиси,10000 гр,0.897,609568,234175,20396,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
63,63,17-07-2020 22:36:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,,2,нет,Тбилиси,1 гр,0.0192,14343,5510,480,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
64,64,17-07-2020 22:36:36,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,,1,нет,Тбилиси,1 гр,0.0264,17928,6888,600,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,65,17-07-2020 22:36:36,Tbilisi,ebadfc162f,"Galiak ищет курьерa толка за марихуани в тбилиси, клад 7$. Залог с 200$",True,,1,нет,Тбилиси,10 гр,0.0192,14343,5510,480,200.0,,,,,,,,,,,"Galiak ischet kur'era tolka za marihuani v tbilisi, klad 7$. Zalog s 200$"
66,66,17-07-2020 22:36:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,,нет,1,Тбилиси,1 гр,0.0211,14343,5510,480,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,67,17-07-2020 22:36:36,Tbilisi,54915c4374,Работа на марки (курьер),True,,нет,3,Тбилиси,1 гр,0.0264,17928,6888,600,250.0,,,,,,,,,,,Rabota na marki (kur'er)
68,68,17-07-2020 22:36:36,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,,нет,1,Тбилиси,5 гр,0.0528,35857,13775,1200,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
69,69,17-07-2020 22:36:36,Tbilisi,ae784bef73,Работа курьером,True,,нет,1,Тбилиси,10 гр,0.0211,14343,5510,480,200.0,,,,,,,,,,,Rabota kur'erom
70,70,17-07-2020 22:37:33,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,,нет,1,Тбилиси,5 гр,0.0527,35857,13775,1200,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
71,71,17-07-2020 22:37:33,Tbilisi,ae784bef73,Работа курьером,True,,нет,1,Тбилиси,10 гр,0.0211,14343,5510,480,200.0,,,,,,,,,,,Rabota kur'erom
72,72,17-07-2020 22:37:33,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,,нет,1,Тбилиси,400 гр,1.5949,1075709,413250,35993,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,17-07-2020 22:37:33,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,3,Тбилиси,1000 гр,0.0527,35857,13775,1200,500.0,,,,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
74,74,17-07-2020 22:39:23,Batumi,75738ec358,ASTRAL 1g SALE only Today!,,,1,нет,Батуми,1 гр,0.0063,4303,1653,144,60.0,,,,,,,,True,,,ASTRAL 1g SALE only Today!
75,75,17-07-2020 22:39:23,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,,9,нет,Батуми,2 гр,0.0044,3012,1157,101,42.0,,,,,,,,True,,,Melkie shishki (Indica) 2g
76,76,17-07-2020 22:39:23,Batumi,3c4662c591,шишки марихуаны 5G,,,1,нет,Батуми,5 гр,0.0263,17928,6888,600,250.0,,,,,,,,,True,,shishki marihuany 5G
77,77,17-07-2020 22:39:23,Batumi,3c4662c591,Super Critical 10G,,,1,нет,Батуми,10 гр,0.0474,32271,12398,1080,450.0,,,,,,,,,True,,Super Critical 10G
78,78,17-07-2020 22:39:23,Batumi,f8a875c191,METADON - 0.30 - SALE,,,2,5,Батуми,0.3 гр,0.0319,21514,8265,720,300.0,,,,,,,,True,,,METADON - 0.30 - SALE
79,79,17-07-2020 22:39:23,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,,нет,2,Батуми,1 гр,0.0375,25321,9750,848,,,310.0,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
80,80,17-07-2020 22:39:23,Batumi,7c2ccfb3f3,Мефедрон 3г,,,нет,3,Батуми,3 гр,0.0335,25100,9643,840,350.0,,,,,,,,True,,,Mefedron 3g
81,81,17-07-2020 22:39:23,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,,нет,5,Батуми,5 гр,0.0402,30120,11571,1008,420.0,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
82,82,17-07-2020 22:39:23,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,,нет,4,Батуми,10 гр,0.0533,35940,13838,1204,,,440.0,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
83,83,17-07-2020 22:39:23,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,5,Батуми,11 гр,0.0472,31856,12266,1067,,,390.0,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,84,17-07-2020 22:39:23,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,,нет,2,Батуми,11 гр,0.0483,32591,12549,1092,,,399.0,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
85,85,17-07-2020 22:39:23,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.166,112990,51992,3805,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,86,17-07-2020 22:39:23,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2629,178900,82321,6025,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,87,17-07-2020 22:39:23,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0096,7171,2755,240,100.0,,,,,,,,True,,,kur'er v Batumi
88,88,17-07-2020 22:39:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0239,17928,6888,600,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
89,89,17-07-2020 22:39:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0239,17928,6888,600,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
90,90,17-07-2020 22:39:23,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,,нет,1,Батуми,1 гр,0.0211,14343,5510,480,200.0,,,,,,,,True,,,Kur'er Batumi na marihuanu
91,91,17-07-2020 22:39:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5949,1075709,413250,35993,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
92,92,17-07-2020 22:39:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0527,35857,13775,1200,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,93,17-07-2020 22:40:37,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,,1,нет,Кутаиси,230 гр,0.4442,302633,116261,10126,4220.0,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
