,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
14,14,16-06-2020 22:48:45,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,,2,нет,Тбилиси,10 гр,0.0243,16671,6429,570,,True,239.0,,,,,,,10 gr georgian weed. Package on magnet
15,15,16-06-2020 22:48:45,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,,3,нет,Тбилиси,10 гр,0.0014,977,377,33,,True,14.0,,,,,,,GABAGAMA 10 shtuk
16,16,16-06-2020 22:48:45,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,,2,нет,Тбилиси,10 гр,0.0064,4534,1749,155,,,65.0,,True,,,,,Himka !! 10 g %%5%% skidka novinka !!!!
17,17,16-06-2020 22:48:45,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,,4,нет,Тбилиси,10 гр,0.0088,6626,2556,227,,True,95.0,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
18,18,16-06-2020 22:48:45,Tbilisi,7bd1a5deba,11 - GRAMM BEASTWEED,,,5,нет,Тбилиси,11 гр,0.0185,13950,5380,477,,True,200.0,,,,,,,11 - GRAMM BEASTWEED
19,19,16-06-2020 22:48:45,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,,1,нет,Тбилиси,12 гр,0.0463,34876,13450,1193,,True,500.0,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
20,20,16-06-2020 22:48:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.2054,139505,53800,4773,,True,2000.0,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,16-06-2020 22:48:45,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,,нет,20,Тбилиси,1 гр,0.0356,24413,9415,835,,True,350.0,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
22,22,16-06-2020 22:48:45,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,,нет,5,Тбилиси,2 гр,0.0379,25739,9926,881,,True,369.0,,,,,,,❄❄2g HQ COCAINE❄❄
23,23,16-06-2020 22:48:45,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,5,Тбилиси,3 гр,0.0595,40387,15575,1382,,True,579.0,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,16-06-2020 22:48:45,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,7,Тбилиси,4 гр,0.0407,27901,10760,955,,True,400.0,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,16-06-2020 22:48:45,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.055999999999999994,38364,14795,1313,,True,550.0,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
26,26,16-06-2020 22:48:45,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,,нет,6,Тбилиси,5 гр,0.0239,16392,6322,561,,True,235.0,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
27,27,16-06-2020 22:48:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,,нет,5,Тбилиси,5 гр,0.0244,16741,6456,573,,True,240.0,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
28,28,16-06-2020 22:48:45,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,,нет,6,Тбилиси,5 гр,0.0234,16043,6187,549,,True,230.0,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
29,29,16-06-2020 22:48:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0244,16741,6456,573,,True,240.0,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
30,30,16-06-2020 22:48:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,7,Тбилиси,5 гр,0.0244,16741,6456,573,,True,240.0,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,31,16-06-2020 22:48:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,6,Тбилиси,5 гр,0.0234,16043,6187,549,,True,230.0,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,32,16-06-2020 22:48:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0203,15276,5891,523,,True,219.0,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,33,16-06-2020 22:48:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0239,16392,6322,561,,True,235.0,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
34,34,16-06-2020 22:49:32,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.2521,190000,87429,6448,,True,,,,,,,,reagent 25i nbome. 5gr
35,35,16-06-2020 22:49:32,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2776,209257,80700,7160,,,3000.0,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
36,36,16-06-2020 22:49:32,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,,нет,8,Тбилиси,5 гр,0.0986,66893,25797,2289,,True,959.0,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
37,37,16-06-2020 22:49:32,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,,нет,9,Тбилиси,5 гр,0.0195,13253,5111,453,,True,190.0,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
38,38,16-06-2020 22:49:32,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,,нет,9,Тбилиси,5 гр,0.0503,34109,13154,1167,,True,489.0,,,,,,,💘✨5g. MDMA ✨💘
39,39,16-06-2020 22:49:32,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.0916,62777,24210,2148,,True,900.0,,,,,,,10 gr mdma Kristally ochen silni import s evropi
40,40,16-06-2020 22:49:32,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,10 гр,0.0407,27901,10760,955,,True,400.0,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
41,41,16-06-2020 22:49:32,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,2,Тбилиси,10 гр,0.0713,48827,18830,1671,,True,700.0,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,42,16-06-2020 22:49:32,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,5,Тбилиси,10 гр,0.0428,29296,11298,1002,,True,420.0,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,43,16-06-2020 22:49:32,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,3,Тбилиси,10 гр,0.0814,55802,21520,1909,,True,800.0,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,16-06-2020 22:49:32,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.2265,155199,59853,5310,,True,2225.0,,,,,,,Amfetamin [White] [Import] 10G
45,45,16-06-2020 22:49:32,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,,нет,9,Тбилиси,10 гр,0.1603,108744,41937,3721,,True,1559.0,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,46,16-06-2020 22:49:32,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,,нет,5,Тбилиси,10 гр,0.0811,55035,21224,1883,,True,789.0,,,,,,,💘✨10gram MDMA ✨💘
47,47,16-06-2020 22:49:32,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,,нет,8,Тбилиси,10 гр,0.0379,25739,9926,881,,True,369.0,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
48,48,16-06-2020 22:49:32,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,1,Тбилиси,11 гр,0.0453,30827,11856,1047,390.0,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
49,49,16-06-2020 22:49:32,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,,нет,3,Тбилиси,20 гр,0.1388,104629,40350,3580,,True,1500.0,,,,,,,✨💘20g MDMA💘✨
50,50,16-06-2020 22:49:32,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,,нет,9,Тбилиси,20 гр,0.0616,41782,16113,1430,,True,599.0,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,51,16-06-2020 22:49:32,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,,нет,5,Тбилиси,50 гр,0.1322,90608,34943,3100,,True,1299.0,,,,,,,50 gr georgian weed. Package on magnet
52,52,16-06-2020 22:49:32,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,,нет,4,Тбилиси,100 гр,0.2544,174311,67223,5964,,True,2499.0,,,,,,,100 gr georgian weed. Package on magnet
53,53,16-06-2020 22:49:32,Tbilisi,cb721d4bca,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.2443,167406,64560,5728,,True,2400.0,,,,,,,100 gr marijuana buds
54,54,16-06-2020 22:49:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,,нет,1,Тбилиси,100 гр,0.2036,139505,53800,4773,,True,2000.0,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,55,16-06-2020 22:49:32,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2545,174381,67250,5967,,True,2500.0,,,,,,,Marihuana [Shishki] [Gali] 100G
56,56,16-06-2020 22:49:32,Tbilisi,69672fee0d,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.6006,411539,158710,14082,,True,5900.0,,,,,,,180 gr marihuana persoalno
57,57,16-06-2020 22:49:32,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,,нет,4,Тбилиси,200 гр,0.4366,296448,114325,10143,,True,4250.0,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
58,58,16-06-2020 22:49:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,,нет,1,Тбилиси,250 гр,0.4682,320861,123740,10979,,True,4600.0,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
59,59,16-06-2020 22:49:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,,нет,1,Тбилиси,500 гр,0.7634,523143,201750,17900,,True,7500.0,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
60,60,16-06-2020 22:49:32,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.8652,592895,228650,20287,,True,8500.0,,,,,,,10000sht marki 25i-nbome. predoplata
61,61,16-06-2020 22:49:32,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0185,13950,5380,477,,True,200.0,,,,,,,KURYER..500RUB.+BONUS
62,62,16-06-2020 22:49:32,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,1,Тбилиси,1 гр,0.0204,13950,5380,477,,True,200.0,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
63,63,16-06-2020 22:49:32,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.5408,1046286,403500,35801,,True,15000.0,,,,,,,Vakansija optovogo kur'era na mef
64,64,16-06-2020 22:51:21,Batumi,f8a875c191,METADON - 025,,,нет,5,Батуми,0.25 гр,0.036000000000000004,24413,9415,835,,,350.0,,,,,True,,METADON - 025
65,65,16-06-2020 22:51:21,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,,2,3,Батуми,5 гр,0.0232,16043,6187,549,,,230.0,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
66,66,16-06-2020 22:51:21,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,,1,3,Батуми,10 гр,0.0428,29296,11298,1002,,,420.0,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
67,67,16-06-2020 22:51:21,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1649,112990,51992,3835,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
68,68,16-06-2020 22:51:21,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2611,178900,82321,6071,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
69,69,16-06-2020 22:51:21,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0093,6975,2690,239,,,100.0,,,,,True,,kur'er v Batumi
70,70,16-06-2020 22:51:21,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0231,17438,6725,597,,,250.0,,,,,True,,Rabota kladmenom. Tol'ko shishki.
71,71,16-06-2020 22:51:21,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0231,17438,6725,597,,,250.0,,,,,True,,Ischu kur'era v Gruzii!
72,72,16-06-2020 22:51:21,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,,нет,2,Батуми,5 гр,0.0204,13950,5380,477,,,200.0,,,,,True,,Kur'er Batumi na marihuanu
73,73,16-06-2020 22:51:21,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5408,1046286,403500,35801,,,15000.0,,,,,True,,Vakansija optovogo kur'era na mef
74,74,16-06-2020 22:51:21,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0509,34876,13450,1193,,,500.0,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
