,time_stamp,region,sell_code,sell_name,description,Saburtalo,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
34,03-06-2020 21:33:30,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,,True,нет,2,Тбилиси,5 гр,0.026,17085,6725,600,250,,,,,,,,,MARIXYANA - INDICA - 5 G.
35,03-06-2020 21:33:30,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,True,нет,4,Тбилиси,5 гр,0.0242,16060,6322,564,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,03-06-2020 21:33:30,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,True,нет,2,Тбилиси,5 гр,0.2603,190000,87429,6611,,,,,,,,,,reagent 25i nbome. 5gr
37,03-06-2020 21:33:30,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2805,205024,80700,7194,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,03-06-2020 21:33:30,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,True,нет,8,Тбилиси,5 гр,0.0996,65539,25797,2300,959,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,03-06-2020 21:33:30,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,True,нет,10,Тбилиси,5 гр,0.0197,12985,5111,456,190,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,03-06-2020 21:33:30,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,True,нет,10,Тбилиси,5 гр,0.0508,33419,13154,1173,489,,,,,,,,,💘✨5g. MDMA ✨💘
41,03-06-2020 21:33:30,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,True,нет,3,Тбилиси,5 гр,0.0208,13668,5380,480,200,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
42,03-06-2020 21:33:30,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,True,нет,1,Тбилиси,10 гр,0.0926,61507,24210,2158,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
43,03-06-2020 21:33:30,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,True,нет,10,Тбилиси,10 гр,0.0411,27337,10760,959,400,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
44,03-06-2020 21:33:30,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,True,нет,2,Тбилиси,10 гр,0.072,47839,18830,1679,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,03-06-2020 21:33:30,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,True,нет,5,Тбилиси,10 гр,0.0432,28703,11298,1007,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,03-06-2020 21:33:30,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,True,нет,3,Тбилиси,10 гр,0.0823,54673,21520,1918,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,03-06-2020 21:33:30,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,True,нет,1,Тбилиси,10 гр,0.2289,152059,59853,5336,2225,,,,,,,,,Amfetamin [White] [Import] 10G
48,03-06-2020 21:33:30,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,True,нет,10,Тбилиси,10 гр,0.162,106544,41937,3739,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
49,03-06-2020 21:33:30,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,True,нет,5,Тбилиси,10 гр,0.0839,55220,21735,1938,808,,,,,,,,,💘✨10gram MDMA ✨💘
50,03-06-2020 21:33:30,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,True,нет,9,Тбилиси,10 гр,0.0383,25218,9926,885,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
51,03-06-2020 21:33:30,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,True,нет,5,Тбилиси,11 гр,0.0363,23919,9415,839,350,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
52,03-06-2020 21:33:30,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,True,нет,2,Тбилиси,20 гр,0.5195,341707,134500,11991,5000,,,,,,,,,METADON - 20 G.
53,03-06-2020 21:33:30,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,,True,нет,3,Тбилиси,20 гр,0.1403,102512,40350,3597,1500,,,,,,,,,✨💘20g MDMA💘✨
54,03-06-2020 21:33:30,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,True,нет,9,Тбилиси,20 гр,0.0622,40936,16113,1436,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,03-06-2020 21:33:30,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,True,нет,5,Тбилиси,50 гр,0.1336,88775,34943,3115,1299,,,,,,,,,50 gr georgian weed. Package on magnet
56,03-06-2020 21:33:30,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,True,нет,5,Тбилиси,100 гр,0.2571,170785,67223,5993,2499,,,,,,,,,100 gr georgian weed. Package on magnet
57,03-06-2020 21:33:30,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,True,нет,1,Тбилиси,100 гр,0.2469,164019,64560,5755,2400,,,,,,,,,100 gr marijuana buds
58,03-06-2020 21:33:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,True,нет,1,Тбилиси,100 гр,0.2057,136683,53800,4796,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,03-06-2020 21:33:30,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,True,1,1,Тбилиси,100 гр,0.2572,170853,67250,5995,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,03-06-2020 21:33:30,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,True,нет,1,Тбилиси,180 гр,0.6069,403214,158710,14149,5900,,,,,,,,,180 gr marihuana persoalno
