,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Авлобари,Дигоми,Gldani,Varketili,Didube,Nadzaladevi,€,Центр,Батуми,Кутаиси,desc_en
33,33,05-05-2020 23:56:30,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0114,2851,258,7636,,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
34,34,05-05-2020 23:56:30,Tbilisi,97d5fcd29b,Suboxene 4mg,,2,нет,Тбилиси,4 гр,0.0057,1493,135,4000,,55.0,True,,,,,,,,,,,Suboxene 4mg
35,35,05-05-2020 23:56:30,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.033,8688,785,23272,,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
36,36,05-05-2020 23:57:37,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.032,8145,736,21818,,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
37,37,05-05-2020 23:57:37,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,2,нет,Тбилиси,5 гр,0.0064,1602,145,4291,,59.0,,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
38,38,05-05-2020 23:57:37,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,5 гр,0.0128,3231,292,8654,,119.0,True,,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
39,39,05-05-2020 23:57:37,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.019,4751,430,12727,,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
40,40,05-05-2020 23:57:37,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,1,нет,Тбилиси,5 гр,0.0172,4344,393,11636,,160.0,,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
41,41,05-05-2020 23:57:37,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1201,31223,2823,83635,,1150.0,,,,,,,,,,,,VHQ BEST Cocaine 5g.
42,42,05-05-2020 23:57:37,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,1,3,Тбилиси,5 гр,0.0206,5131,464,13745,,189.0,True,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
43,43,05-05-2020 23:57:37,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,10 гр,0.0214,5403,488,14473,,199.0,True,,,,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
44,44,05-05-2020 23:57:37,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,1,нет,Тбилиси,10 гр,0.0409,10317,933,27636,,380.0,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
45,45,05-05-2020 23:57:37,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0414,10860,982,29091,,400.0,,,,,,,,,,,,gashish evro 10g
46,46,05-05-2020 23:57:37,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.0408,10290,930,27563,,379.0,,,True,,,,True,,,,,20 gr Indica marijuana buds (hight quality)
47,47,05-05-2020 23:57:37,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0803,21096,1907,56508,,777.0,,,,,,,,,,,,Gashish Evro 20gr
48,48,05-05-2020 23:57:37,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.1022,25765,2329,69017,,949.0,True,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
49,49,05-05-2020 23:57:37,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1959,54300,4909,145453,,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
50,50,05-05-2020 23:57:37,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.183,46128,4170,123562,,1699.0,True,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
51,51,05-05-2020 23:57:37,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,12,Тбилиси,0.2 гр,0.0042,1059,96,2836,,39.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
52,52,05-05-2020 23:57:37,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0172,4344,393,11636,,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
53,53,05-05-2020 23:57:37,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0145,3665,331,9818,,135.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
54,54,05-05-2020 23:57:37,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0352,9735,886,26109,,,,,,,,,,330.0,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
55,55,05-05-2020 23:57:37,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,40,Тбилиси,2 гр,0.0038,950,86,2545,,35.0,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
56,56,05-05-2020 23:57:37,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0229,5702,515,15273,,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
57,57,05-05-2020 23:57:37,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0402,10018,906,26836,,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
58,58,05-05-2020 23:57:37,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.063,15720,1421,42109,,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
59,59,05-05-2020 23:57:37,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0431,10860,982,29091,,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
60,60,05-05-2020 23:57:37,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,6,Тбилиси,4 гр,0.0065,1629,147,4364,,60.0,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
61,61,05-05-2020 23:57:37,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0593,14933,1350,39999,,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
62,62,05-05-2020 23:57:37,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0253,6380,577,17091,,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
63,63,05-05-2020 23:57:37,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0259,6516,589,17454,,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
64,64,05-05-2020 23:57:37,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0248,6245,565,16727,,230.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
65,65,05-05-2020 23:57:37,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0259,6516,589,17454,,240.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
66,66,05-05-2020 23:57:37,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0259,6516,589,17454,,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
67,67,05-05-2020 23:57:37,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0259,6516,589,17454,,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
68,68,05-05-2020 23:57:37,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0259,6516,589,17454,,240.0,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
69,69,05-05-2020 23:57:37,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0248,6245,565,16727,,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
70,70,05-05-2020 23:58:20,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0214,5946,538,15927,,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
71,71,05-05-2020 23:58:20,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,6380,577,17091,,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
72,72,05-05-2020 23:58:20,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0172,4344,393,11636,,160.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
73,73,05-05-2020 23:58:20,Tbilisi,54915c4374,"Марки Н-ВоооооМ!!!! ""Джокер экспресс"" 5 штук",True,нет,73,Тбилиси,5 гр,0.0054,1358,123,3636,,50.0,,,,,,,,,,,,"Marki N-VoooooM!!!! ""Dzhoker ekspress"" 5 shtuk"
74,74,05-05-2020 23:58:20,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2555,87429,6175,190000,,,,,,,,,,,,,,reagent 25i nbome. 5gr
75,75,05-05-2020 23:58:20,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2934,81450,7363,218179,True,3000.0,,True,,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
76,76,05-05-2020 23:58:20,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1042,26037,2354,69745,,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
77,77,05-05-2020 23:58:20,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0206,5159,466,13818,,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
78,78,05-05-2020 23:58:20,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0531,13276,1200,35563,,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
79,79,05-05-2020 23:58:20,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0205,5131,464,13745,,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
80,80,05-05-2020 23:58:20,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,8,Тбилиси,10 гр,0.0118,2987,270,8000,,110.0,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
81,81,05-05-2020 23:58:20,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0968,24435,2209,65454,,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
82,82,05-05-2020 23:58:20,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.043,10860,982,29091,,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
83,83,05-05-2020 23:58:20,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0753,19005,1718,50908,,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
84,84,05-05-2020 23:58:20,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0344,8688,785,23272,,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
85,85,05-05-2020 23:58:20,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0108,2715,245,7273,,100.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
86,86,05-05-2020 23:58:20,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0861,21720,1964,58181,,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
87,87,05-05-2020 23:58:20,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0312,7874,712,21091,,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
88,88,05-05-2020 23:58:20,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2394,60409,5461,161816,,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
89,89,05-05-2020 23:58:20,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1694,42327,3826,113380,,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
90,90,05-05-2020 23:58:20,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0401,10018,906,26836,,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
91,91,05-05-2020 23:58:20,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5434,135750,12272,363632,,5000.0,,,,,,,,,,,,METADON - 20 G.
92,92,05-05-2020 23:58:20,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0651,16263,1470,43563,,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
93,93,05-05-2020 23:58:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1184,29865,2700,79999,,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
94,94,05-05-2020 23:58:20,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2582,65160,5891,174543,,2400.0,,,,,,,,,,,,100 gr marijuana buds
95,95,05-05-2020 23:58:20,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,1,Тбилиси,100 гр,0.3228,81450,7363,218179,,3000.0,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
96,96,05-05-2020 23:58:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2152,54300,4909,145453,,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
97,97,05-05-2020 23:58:20,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.26899999999999996,67875,6136,181816,,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
98,98,05-05-2020 23:58:20,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6348,160185,14481,429085,,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
99,99,05-05-2020 23:58:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.495,124890,11290,334541,,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
100,100,05-05-2020 23:58:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.807,203625,18408,545447,,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
101,101,05-05-2020 23:58:20,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9146,230775,20862,618174,,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
