,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
31,05-08-2020 15:45:15,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 1 гр",True,7,нет,Тбилиси,1 гр,0.0043,4036,1535,134,55,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
32,05-08-2020 15:45:15,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.005,4256,1618,141,58,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
33,05-08-2020 15:45:15,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,5,нет,Тбилиси,1 гр,0.0055,4623,1758,154,63,,,,True,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
34,05-08-2020 15:45:15,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0051,4329,1646,144,59,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
35,05-08-2020 15:45:15,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0043,3669,1395,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
36,05-08-2020 15:46:24,Tbilisi,43MUT,Canartvelo,Бошки LSD 1g,True,3,нет,Тбилиси,1 гр,0.0039,3302,1256,110,45,,,,,,,,,,,,Boshki LSD 1g
37,05-08-2020 15:46:24,Tbilisi,42AF,Leningrad6,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0031,2642,1004,88,36,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
38,05-08-2020 15:46:24,Tbilisi,LYHBG,Playboy,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,2 гр,0.0087,7265,2762,242,99,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
39,05-08-2020 15:46:24,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,3,нет,Тбилиси,2 гр,0.0095,7998,3041,266,109,,,,,,,,,,,,2 G Hybrid Marijuana Buds
40,05-08-2020 15:46:24,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0104,8806,3348,293,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
