,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
35,06-08-2020 15:28:50,Tbilisi,5XD8,TYsonWeed,TYson Budds 1G Скидка 5%,True,3,нет,Тбилиси,1 гр,0.0035,3214,1226,107,44,,,,,,,,,,,,TYson Budds 1G Skidka 5%
36,06-08-2020 15:30:00,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3652,1393,122,50,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
37,06-08-2020 15:30:00,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0042,4017,1532,134,55,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
38,06-08-2020 15:30:00,Tbilisi,I7IU,MrPickless,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,4,нет,Тбилиси,1 гр,0.0032,2922,1114,97,40,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
39,06-08-2020 15:30:00,Tbilisi,42AF,Leningrad6,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,6,нет,Тбилиси,1 гр,0.003,2629,1003,88,36,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
40,06-08-2020 15:30:00,Tbilisi,LYHBG,Playboy,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,2 гр,0.0084,7231,2758,241,99,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
41,06-08-2020 15:30:00,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0091,7961,3037,266,109,,,,,,,,,,,,2 G Hybrid Marijuana Buds
42,06-08-2020 15:30:00,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.01,8765,3343,292,120,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
43,06-08-2020 15:30:00,Tbilisi,7R3WM,RastaShop,2.0 gr. Magic Kush IMPORT (INDICA),,1,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99,True,,,,,,,,,,,2.0 gr. Magic Kush IMPORT (INDICA)
44,06-08-2020 15:30:00,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0074,6428,2452,214,88,,,,,,,,,,,,2gr HYBRID buds
45,06-08-2020 15:30:00,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.01,8765,3343,292,120,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
46,06-08-2020 15:30:00,Tbilisi,8B31,GEOWEEDSHOP,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,2 гр,0.0084,7231,2758,241,99,,,,,True,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
47,06-08-2020 15:30:00,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0084,8034,3065,268,110,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
48,06-08-2020 15:30:00,Tbilisi,LYHBG,Playboy,NEW !!! 2G OG KusH !!! NEW,True,3,нет,Тбилиси,2 гр,0.0084,7231,2758,241,99,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
49,06-08-2020 15:30:00,Tbilisi,LYHBG,Playboy,NEW !!! 2G White Widow !!! NEW,True,3,нет,Тбилиси,2 гр,0.0084,7231,2758,241,99,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
50,06-08-2020 15:30:00,Tbilisi,5XD8,TYsonWeed,TYson Budds 2G Скидка 5%,True,2,нет,Тбилиси,2 гр,0.0061,5843,2229,195,80,,,,,,,,,,,,TYson Budds 2G Skidka 5%
51,06-08-2020 15:30:00,Tbilisi,ABOAB,ProGrow,3G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,3 гр,0.0117,10226,3900,341,140,True,,,,,,,,,,,3G ---> Big Devil (BTC - Sale)
52,06-08-2020 15:30:00,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0069,6574,2507,219,90,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
53,06-08-2020 15:30:00,Tbilisi,A3I9,Joookerrr,марки н-боом 3 шт.,True,21,44,Тбилиси,3 гр,0.0041,3579,1365,119,49,True,,,,,,,,,,,marki n-boom 3 sht.
54,06-08-2020 15:30:00,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0134,11613,4430,387,159,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
55,06-08-2020 15:30:00,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0134,11613,4430,387,159,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
56,06-08-2020 15:30:00,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,2,нет,Тбилиси,5 гр,0.0183,17530,6686,585,240,,,,,,True,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
57,06-08-2020 15:30:00,Tbilisi,43MUT,Canartvelo,"Трим и низовые шишки, 5 г Trichome trim 5 g",True,1,нет,Тбилиси,5 гр,0.0038,3287,1254,110,45,,,,,,,,,,,,"Trim i nizovye shishki, 5 g Trichome trim 5 g"
58,06-08-2020 15:30:00,Tbilisi,LD5U,Marshydroo,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0297,27025,10308,902,370,,,,,,,,,,,,LSD-25 shishki 10gram
59,06-08-2020 15:30:00,Tbilisi,2LY77,SveetWeed,15 + GRAMM NEW BEASTWEED,True,2,нет,Тбилиси,15 гр,0.0159,15265,5823,509,209,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
60,06-08-2020 15:30:00,Tbilisi,43MUT,Canartvelo,Мощные Кексы / Marijuana cupcakes (75g),True,3,нет,Тбилиси,75 гр,0.0021,1826,697,61,25,,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
61,06-08-2020 15:30:00,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0209,18260,6965,609,250,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
62,06-08-2020 15:30:00,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0226,19721,7522,658,270,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
63,06-08-2020 15:30:00,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.023,20086,7662,670,275,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
64,06-08-2020 15:30:00,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0201,17530,6686,585,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
65,06-08-2020 15:30:00,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0234,20451,7801,682,280,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
66,06-08-2020 15:30:00,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0226,19721,7522,658,270,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
67,06-08-2020 15:30:00,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0167,15996,6101,534,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
68,06-08-2020 15:30:00,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0183,17530,6686,585,240,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
69,06-08-2020 15:30:00,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0226,19721,7522,658,270,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
70,06-08-2020 15:30:00,Tbilisi,7U9YP,ChitosPizz,Очень мощный Сирец Иран 5гр,True,нет,3,Тбилиси,5 гр,0.0903,86618,33010,2882,,,,,,,,1000,,,,,Ochen' moschnyj Sirets Iran 5gr
71,06-08-2020 15:30:52,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.198,190000,87429,6325,,,,,,,,,,,,,reagent 25i nbome. 5gr
72,06-08-2020 15:30:52,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2284,219119,83580,7310,3000,,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
73,06-08-2020 15:30:52,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0461,40172,15323,1340,550,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
74,06-08-2020 15:30:52,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0586,51128,19502,1706,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
75,06-08-2020 15:30:52,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0352,30677,11701,1023,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
76,06-08-2020 15:30:52,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.067,58432,22288,1949,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
