,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
21,21,05-03-2020 03:53:16,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0814,51343,19378,1734,777.0,,,,,,,,Gashish Evro 20gr
22,22,05-03-2020 03:53:16,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0298,17841,6734,602,270.0,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
23,23,05-03-2020 03:53:16,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,4,Тбилиси,0.35 гр,0.0331,19824,7482,669,300.0,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
24,24,05-03-2020 03:53:16,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,нет,5,Тбилиси,1.1 гр,0.0717,42951,16211,1450,650.0,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
25,25,05-03-2020 03:53:16,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,4,Тбилиси,2 гр,0.0182,11035,4165,373,167.0,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
26,26,05-03-2020 03:53:16,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!! (ПОДЪЕЗД!!!),True,нет,1,Тбилиси,2 гр,0.0388,23458,8854,792,355.0,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5% SALE!!! SALE!!! (POD'EZD!!!)
27,27,05-03-2020 03:53:16,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,4,Тбилиси,3 гр,0.0651,38986,14715,1316,590.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
28,28,05-03-2020 03:53:16,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,1,Тбилиси,3 гр,0.0188,12489,4714,422,189.0,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
29,29,05-03-2020 03:53:16,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0437,26431,9976,892,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,30,05-03-2020 03:53:16,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0601,36343,13717,1227,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
