,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Nadzaladevi,Varketili,Gldani,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,12-04-2020 23:20:36,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,4,нет,Тбилиси,1 гр,0.0072,4056,1507,136,55.0,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
11,11,12-04-2020 23:20:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,6,нет,Тбилиси,1 гр,0.0244,14308,5316,480,194.0,,,,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,12-04-2020 23:20:36,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0785,44251,16440,1485,600.0,True,,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
13,13,12-04-2020 23:20:36,Tbilisi,54915c4374,MDMA 1 гр,True,1,нет,Тбилиси,1 гр,0.0155,9588,3562,322,130.0,,,,,,,,,,,,,MDMA 1 gr
14,14,12-04-2020 23:20:36,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,23,нет,Тбилиси,1 гр,0.0023,1453,539,49,,,18.0,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
15,15,12-04-2020 23:20:36,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1071,66376,24660,2228,900.0,,,,,,,,,,,,,Metadon 1gr
16,16,12-04-2020 23:20:36,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0024,1475,548,50,20.0,,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
17,17,12-04-2020 23:20:36,Tbilisi,83f3d55917,19% ТГК Шишки Northern Lights 1.1г Скидка 3% через БИТКОИН,,6,нет,Тбилиси,1.1 гр,0.0058,3319,1233,111,45.0,,,True,True,,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 3% cherez BITKOIN
18,18,12-04-2020 23:20:36,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,7,нет,Тбилиси,2 гр,0.0098,5531,2055,186,75.0,,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
19,19,12-04-2020 23:20:36,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,2 гр,0.0119,7375,2740,248,100.0,,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
20,20,12-04-2020 23:20:36,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,6,нет,Тбилиси,2 гр,0.009000000000000001,5089,1891,171,69.0,,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
21,21,12-04-2020 23:20:36,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,5,нет,Тбилиси,2 гр,0.0112,6269,2329,210,85.0,,,,,True,,,,,,,,2g super Skunk top class buds. Indica
22,22,12-04-2020 23:20:36,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,True,1,нет,Тбилиси,2 гр,0.0062,3466,1288,116,47.0,,,,,,,,,,,,,2gr Indica dominant Buds
23,23,12-04-2020 23:20:36,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0093,5163,1918,173,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
24,24,12-04-2020 23:20:36,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.044000000000000004,27288,10138,916,370.0,,,,,,,,,,,,,Cocaine Pure VHQ 2 g
25,25,12-04-2020 23:20:36,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,4,нет,Тбилиси,2 гр,0.0124,7006,2603,235,95.0,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
26,26,12-04-2020 23:20:36,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0494,30607,11371,1027,415.0,,,,,,,,,,,,,VHQ BEST Cocaine 2g.
27,27,12-04-2020 23:20:36,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,2 гр,0.0042,2581,959,87,35.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
28,28,12-04-2020 23:20:36,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0111,6269,2329,210,85.0,,,,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
29,29,12-04-2020 23:20:36,Tbilisi,4659482266,3g superskunk top class buds. Indica,,2,нет,Тбилиси,3 гр,0.0161,8998,3343,302,122.0,,,,,True,,,,,,,,3g superskunk top class buds. Indica
30,30,12-04-2020 23:20:36,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,1,нет,Тбилиси,4 гр,0.0078,4844,1797,162,,,60.0,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
31,31,12-04-2020 23:20:36,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0262,14603,5425,490,198.0,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
32,32,12-04-2020 23:20:36,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0263,14677,5453,493,199.0,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
33,33,12-04-2020 23:20:36,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0402,23600,8768,792,320.0,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
34,34,12-04-2020 23:20:36,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0389,22125,8220,743,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
35,35,12-04-2020 23:21:24,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.039,22125,8220,743,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
36,36,12-04-2020 23:21:24,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,2,нет,Тбилиси,5 гр,0.0504,29501,10960,990,400.0,,,,,,,,,,,,,5g MDMA (IMPORTED)
37,37,12-04-2020 23:21:24,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,3,нет,Тбилиси,5 гр,0.0176,9883,3672,332,134.0,,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
38,38,12-04-2020 23:21:24,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0232,12907,4795,433,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
39,39,12-04-2020 23:21:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1027,63426,23564,2129,860.0,,,,,,,,,,,,,Cocaine Pure VHQ 5g.
40,40,12-04-2020 23:21:24,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0263,14603,5425,490,198.0,,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
41,41,12-04-2020 23:21:24,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0257,14308,5316,480,194.0,,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
42,42,12-04-2020 23:21:24,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1087,67114,24934,2252,910.0,,,,,,,,,,,,,VHQ BEST Cocaine 5g.
43,43,12-04-2020 23:21:24,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,True,2,нет,Тбилиси,5 гр,0.0092,5652,2097,189,,,70.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
44,44,12-04-2020 23:21:24,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0066,4056,1507,136,55.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
45,45,12-04-2020 23:21:24,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0524,29427,10933,988,399.0,,,,,,,True,,,,,,"10g. Shishki Amnesia Haze, Sativa"
46,46,12-04-2020 23:21:24,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.048,26919,10001,903,365.0,,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
47,47,12-04-2020 23:21:24,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0102,6269,2329,210,85.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
48,48,12-04-2020 23:21:24,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0504,29501,10960,990,400.0,,,,,,,,,,,,,gashish evro 10g
49,49,12-04-2020 23:21:24,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.098,57305,21290,1923,777.0,,,,,,,,,,,,,Gashish Evro 20gr
50,50,12-04-2020 23:21:24,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2389,147503,54800,4950,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
51,51,12-04-2020 23:21:24,Tbilisi,f8a875c191,METADON - 0.27 G.,True,нет,8,Тбилиси,0.27 гр,0.0301,16742,6220,562,227.0,,,,,,,,,,,,,METADON - 0.27 G.
52,52,12-04-2020 23:21:24,Tbilisi,2f51af8159,"VHQ Cocaine Medelins Cartel 0,5 g SALE",,нет,4,Тбилиси,0.5 гр,0.0109,6121,2274,205,83.0,True,,,,,,,,,,,,"VHQ Cocaine Medelins Cartel 0,5 g SALE"
53,53,12-04-2020 23:21:24,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,5,Тбилиси,1 гр,0.0049,2729,1014,92,37.0,True,,,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
54,54,12-04-2020 23:21:24,Tbilisi,2f51af8159,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE,,нет,5,Тбилиси,1 гр,0.0068,3835,1425,129,52.0,True,,,,,,,,,,,,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE
55,55,12-04-2020 23:21:24,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,1,10,Тбилиси,1 гр,0.0388,26919,10001,903,365.0,,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
56,56,12-04-2020 23:21:24,Tbilisi,2f51af8159,Ketamine 0.5 + MDMA 0.5 Combo,,нет,1,Тбилиси,1 гр,0.0191,10694,3973,359,145.0,True,,,,,,,,,,,,Ketamine 0.5 + MDMA 0.5 Combo
57,57,12-04-2020 23:21:24,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 1.5 грамма (порошок),True,нет,1,Тбилиси,1.5 гр,0.0196,12110,4493,406,,,150.0,,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1.5 gramma (poroshok)
58,58,12-04-2020 23:21:24,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.049,27214,10111,913,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
59,59,12-04-2020 23:21:24,Tbilisi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0394,24338,9042,817,330.0,True,,,,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
60,60,12-04-2020 23:21:24,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0783,43513,16166,1460,590.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
61,61,12-04-2020 23:21:24,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0526,29501,10960,990,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
62,62,12-04-2020 23:21:24,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.021,11800,4384,396,160.0,,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
63,63,12-04-2020 23:21:24,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0723,40563,15070,1361,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
64,64,12-04-2020 23:21:24,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0223,12538,4658,421,170.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
65,65,12-04-2020 23:21:24,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0261,14677,5453,493,199.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
66,66,12-04-2020 23:21:24,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0261,14677,5453,493,199.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
67,67,12-04-2020 23:21:24,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0262,16152,6001,542,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
68,68,12-04-2020 23:22:13,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0261,14677,5453,493,199.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
69,69,12-04-2020 23:22:13,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0458,28258,10483,947,,,350.0,,,,,,,,,,,MDMA 5 gr!!!
70,70,12-04-2020 23:22:13,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3077,190000,87429,6379,,,,,,,,,,,,,,reagent 25i nbome. 5gr
71,71,12-04-2020 23:22:13,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3584,221255,82200,7426,3000.0,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
72,72,12-04-2020 23:22:13,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1153,64090,23811,2151,869.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
73,73,12-04-2020 23:22:13,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0252,14013,5206,470,190.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
74,74,12-04-2020 23:22:13,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0649,36064,13399,1210,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
75,75,12-04-2020 23:22:13,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0251,13939,5179,468,189.0,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
76,76,12-04-2020 23:22:13,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1183,66376,24660,2228,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
77,77,12-04-2020 23:22:13,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.092,51626,19180,1733,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
78,78,12-04-2020 23:22:13,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.042,23600,8768,792,320.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
79,79,12-04-2020 23:22:13,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1051,59001,21920,1980,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
80,80,12-04-2020 23:22:13,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2924,164097,60965,5507,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
81,81,12-04-2020 23:22:13,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,1,3,Тбилиси,10 гр,0.0131,8074,2995,271,,,100.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
82,82,12-04-2020 23:22:13,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1923,106866,39703,3587,1449.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
83,83,12-04-2020 23:22:13,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.049,27214,10111,913,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
84,84,12-04-2020 23:22:13,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0397,22052,8193,740,299.0,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
85,85,12-04-2020 23:22:13,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,2,7,Тбилиси,20 гр,0.0532,29869,11097,1002,405.0,True,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
86,86,12-04-2020 23:22:13,Tbilisi,28bf667d16,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4309,241831,89845,8116,3279.0,,,,,,,,,,,,,Cocaine Fishscale 20g
87,87,12-04-2020 23:22:13,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0795,44177,16413,1483,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
88,88,12-04-2020 23:22:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1445,81127,30140,2723,1100.0,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
89,89,12-04-2020 23:22:13,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3154,177004,65760,5940,2400.0,,,,,,,,,,,,,100 gr marijuana buds
90,90,12-04-2020 23:22:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2628,147503,54800,4950,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
91,91,12-04-2020 23:22:13,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.2654,147503,54800,4950,2000.0,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
92,92,12-04-2020 23:22:13,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3285,184379,68500,6188,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
93,93,12-04-2020 23:22:13,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,2,Тбилиси,200 гр,0.4139,232317,86310,7797,3150.0,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
94,94,12-04-2020 23:22:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6044,339257,126040,11386,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
95,95,12-04-2020 23:22:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9855,553136,205500,18564,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
96,96,12-04-2020 23:22:13,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1169,626888,232900,21039,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
97,97,12-04-2020 23:22:13,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0239,14750,5480,495,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
98,98,12-04-2020 23:22:13,Tbilisi,2f51af8159,Ищу Курьер с минимальним залогом только марихуана,True,1,нет,Тбилиси,1 гр,0.0158,8850,3288,297,120.0,,,,,,,,,,,,,Ischu Kur'er s minimal'nim zalogom tol'ko marihuana
99,99,12-04-2020 23:22:13,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0263,14750,5480,495,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
100,100,12-04-2020 23:22:13,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0329,18438,6850,619,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
101,101,12-04-2020 23:22:13,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9889,1106273,411000,37128,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
102,102,12-04-2020 23:23:28,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2873,162253,60280,5445,2200.0,,,,,,,,,,True,,,[100g] SPAIN HASH
