,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
48,48,29-05-2020 00:05:17,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0933,63991,24399,2168,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,49,29-05-2020 00:05:17,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0415,28440,10844,964,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
50,50,29-05-2020 00:05:17,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0726,49771,18977,1686,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,51,29-05-2020 00:05:17,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0435,29863,11386,1012,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,52,29-05-2020 00:05:17,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0829,56881,21688,1927,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,53,29-05-2020 00:05:17,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2307,158200,60320,5360,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,29-05-2020 00:05:17,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1632,110847,42264,3756,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
55,55,29-05-2020 00:05:17,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0386,26236,10004,889,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
56,56,29-05-2020 00:05:17,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,10,Тбилиси,20 гр,0.0414,28369,10817,961,399.0,,,,,,,,,,,20 gr georgian weed. Package on magnet
57,57,29-05-2020 00:05:17,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5235,355506,135550,12045,5000.0,,,,,,,,,,,METADON - 20 G.
58,58,29-05-2020 00:05:17,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0627,42590,16239,1443,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,29-05-2020 00:05:17,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1347,92360,35216,3129,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
60,60,29-05-2020 00:05:17,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2591,177682,67748,6020,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
61,61,29-05-2020 00:05:17,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2488,170643,65064,5782,2400.0,,,,,,,,,,,100 gr marijuana buds
62,62,29-05-2020 00:05:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2073,142202,54220,4818,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,63,29-05-2020 00:05:17,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2592,177753,67775,6023,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,29-05-2020 00:05:17,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6117,419497,159949,14213,5900.0,,,,,,,,,,,180 gr marihuana persoalno
65,65,29-05-2020 00:05:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4769,327066,124706,11081,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,29-05-2020 00:05:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7775,533259,203325,18068,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,67,29-05-2020 00:05:17,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8812,604360,230435,20477,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,29-05-2020 00:05:52,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,14220,5422,482,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,29-05-2020 00:05:52,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,14220,5422,482,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
