,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Old Tbilisi (Старый город),Varketili,Батуми,Центр,Кутаиси,desc_en
10,20-07-2020 03:31:53,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,7,нет,Тбилиси,2 гр,0.0126,8606,3318,288,,True,120,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
11,20-07-2020 03:31:53,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0116,7889,3042,264,,True,110,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
12,20-07-2020 03:31:53,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,7,нет,Тбилиси,3 гр,0.0058,3944,1521,132,,True,55,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
13,20-07-2020 03:31:53,Tbilisi,LGRP8,Walker12,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0137,9323,3595,312,,,130,,,,,,,Badazz Kush 3G VHQ 25% THC
14,20-07-2020 03:31:53,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0273,18646,7189,624,,True,260,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
15,20-07-2020 03:31:53,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0294,20080,7742,672,,True,280,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
16,20-07-2020 03:31:53,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0284,19363,7466,648,,True,270,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
17,20-07-2020 03:31:53,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0186,13984,5392,468,,True,195,,,,,,,5g. marihuana shishki Critical
18,20-07-2020 03:31:53,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0459,32271,12443,1080,,True,450,,,,,,,Gashish Evro 10gr
19,20-07-2020 03:31:53,Tbilisi,3TGJ9,Elegant,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0315,23666,9125,792,,True,330,,,,,,,12g. marihuana shishki Critical
20,20-07-2020 03:31:53,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.0349,26176,10092,876,,True,365,,,,,,,25 GGAMM NEW BEASTWEED
21,20-07-2020 03:31:53,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (25шт)",,1,нет,Тбилиси,25 гр,0.0172,12909,4977,432,,True,180,,,,,,,"marki 25i-nbome 2,5mg (25sht)"
22,20-07-2020 03:31:53,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2121,143428,55300,4799,,True,2000,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,20-07-2020 03:31:53,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0374,25321,9750,847,310,True,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
24,20-07-2020 03:31:53,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0062,4661,1797,156,,True,65,,,,,,,marihuana pudra vysokoe kachestvo 4gram
25,20-07-2020 03:31:53,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0263,17928,6913,600,,True,250,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
26,20-07-2020 03:31:53,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,2,Тбилиси,5 гр,0.0578,39443,15208,1320,,True,550,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,20-07-2020 03:31:53,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,6,Тбилиси,5 гр,0.0284,19363,7466,648,,True,270,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,20-07-2020 03:31:53,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0289,19721,7604,660,,True,275,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
29,20-07-2020 03:31:53,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0252,17211,6636,576,,True,240,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
30,20-07-2020 03:31:53,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0294,20080,7742,672,,True,280,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,20-07-2020 03:31:53,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0284,19363,7466,648,,True,270,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,20-07-2020 03:31:53,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0209,15705,6055,525,,True,219,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,20-07-2020 03:31:53,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.0247,16853,6498,564,,True,235,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
34,20-07-2020 03:31:53,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0284,19363,7466,648,,True,270,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,20-07-2020 03:33:02,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0242,16336,6290,546,200,True,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
36,20-07-2020 03:33:02,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0946,64543,24885,2159,,True,900,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,20-07-2020 03:33:02,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0578,39443,15208,1320,,True,550,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
38,20-07-2020 03:33:02,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0736,50200,19355,1680,,True,700,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
39,20-07-2020 03:33:02,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0442,30120,11613,1008,,True,420,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
