,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
32,21-03-2020 17:09:36,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),True,13,5,Тбилиси,0.27 гр,0.0367,19511,7025,640,,250,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
33,21-03-2020 17:09:36,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.75g,True,нет,1,Тбилиси,0.75 гр,0.0538,28876,10397,947,,370,,,,,,,,,,,Methadone HQ in city 0.75g
34,21-03-2020 17:10:25,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,2,3,Тбилиси,1.1 гр,0.1102,58533,21075,1919,,750,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
35,21-03-2020 17:10:25,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1018,54631,19670,1791,,700,,,,,,,,,,,Methadone HQ in city 1.4g
36,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0294,15609,5620,512,,200,,,,,,,,,,,✨✨2gram. MDMA✨✨
37,21-03-2020 17:10:25,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0867,46046,16579,1510,,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,21-03-2020 17:10:25,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0582,31218,11240,1024,,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,21-03-2020 17:10:25,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.08,42924,15455,1408,,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,21-03-2020 17:10:25,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,2,Тбилиси,5 гр,0.0227,12175,4384,399,,156,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
41,21-03-2020 17:10:25,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0289,15531,5592,509,,199,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
42,21-03-2020 17:10:25,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0233,12487,4496,409,,160,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
43,21-03-2020 17:10:25,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0289,15531,5592,509,,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
44,21-03-2020 17:10:25,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0289,15531,5592,509,,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
