,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
63,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2012,106866,39848,3646,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0512,27214,10148,928,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
65,10-04-2020 15:35:07,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0415,22052,8223,752,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
66,10-04-2020 15:35:38,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0414,22052,8223,752,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
67,10-04-2020 15:35:38,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,1,7,Тбилиси,20 гр,0.0555,29869,11138,1019,405,True,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
68,10-04-2020 15:35:38,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.083,44177,16473,1507,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
69,10-04-2020 15:35:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1508,81127,30250,2768,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
70,10-04-2020 15:35:38,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3291,177004,66000,6038,2400,,,,,,,,,,,100 gr marijuana buds
71,10-04-2020 15:35:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2742,147503,55000,5032,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
72,10-04-2020 15:35:38,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.277,147503,55000,5032,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
73,10-04-2020 15:35:38,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3428,184379,68750,6290,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,10-04-2020 15:35:38,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,2,Тбилиси,200 гр,0.4319,232317,86625,7925,3150,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
75,10-04-2020 15:35:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6307,339257,126500,11574,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,10-04-2020 15:35:38,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0283,553136,206250,18870,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,10-04-2020 15:35:38,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1655,626888,233750,21386,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,10-04-2020 15:35:38,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0249,14750,5500,503,200,,,,,,,,,,,KURYER..500RUB.+BONUS
79,10-04-2020 15:35:38,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0274,14750,5500,503,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
80,10-04-2020 15:35:38,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0343,18438,6875,629,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
