,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Тбилиси,Дигоми,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
10,10,19-07-2020 23:04:21,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,2,нет,Тбилиси,1 гр,0.0073,4901,1887,164,60.0,,True,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
11,11,19-07-2020 23:04:21,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,7,нет,Тбилиси,2 гр,0.0127,8606,3318,288,,120.0,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
12,12,19-07-2020 23:04:21,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0116,7889,3042,264,,110.0,True,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
13,13,19-07-2020 23:04:21,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram (lastprice),,1,нет,Тбилиси,2 гр,0.0074,5522,2129,185,,77.0,True,,,,,,,,,Northern Lights Regular [budsonly] 2gram (lastprice)
14,14,19-07-2020 23:04:21,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,7,нет,Тбилиси,3 гр,0.0059,3944,1521,132,,55.0,True,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
15,15,19-07-2020 23:04:21,Tbilisi,83f3d55917,Badazz Kush 3G VHQ 25% THC,True,3,нет,Тбилиси,3 гр,0.0137,9323,3595,312,,130.0,,,,,,,,,,Badazz Kush 3G VHQ 25% THC
16,16,19-07-2020 23:04:21,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,2,нет,Тбилиси,3 гр,0.0036,2438,940,82,,34.0,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
17,17,19-07-2020 23:04:21,Tbilisi,e771f4c371,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE,,2,нет,Тбилиси,4.2 гр,0.0201,13626,5254,456,,190.0,True,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE
18,18,19-07-2020 23:04:21,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0275,18646,7189,624,,260.0,True,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,19-07-2020 23:04:21,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0296,20080,7742,672,,280.0,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
20,20,19-07-2020 23:04:21,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0285,19363,7466,648,,270.0,True,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,21,19-07-2020 23:04:21,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0187,13984,5392,468,,195.0,True,,,,,,,,,5g. marihuana shishki Critical
22,22,19-07-2020 23:04:21,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0461,32271,12443,1080,,450.0,True,,,,,,,,,Gashish Evro 10gr
23,23,19-07-2020 23:04:21,Tbilisi,8528108b62,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0317,23666,9125,792,,330.0,True,,,,,,,,,12g. marihuana shishki Critical
24,24,19-07-2020 23:04:21,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.0351,26176,10092,876,,365.0,True,,,,,,,,,25 GGAMM NEW BEASTWEED
25,25,19-07-2020 23:04:21,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (25шт)",,1,нет,Тбилиси,25 гр,0.0173,12909,4977,432,,180.0,True,,,,,,,,,"marki 25i-nbome 2,5mg (25sht)"
26,26,19-07-2020 23:04:21,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2132,143428,55300,4799,,2000.0,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,27,19-07-2020 23:04:21,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0376,25321,9750,847,310.0,,True,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
28,28,19-07-2020 23:04:21,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0062,4661,1797,156,,65.0,True,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
29,29,19-07-2020 23:04:21,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0264,17928,6913,600,,250.0,True,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
30,30,19-07-2020 23:04:21,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,2,Тбилиси,5 гр,0.0581,39443,15208,1320,,550.0,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,31,19-07-2020 23:04:21,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0285,19363,7466,648,,270.0,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,32,19-07-2020 23:04:21,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.028999999999999998,19721,7604,660,,275.0,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,19-07-2020 23:04:21,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0254,17211,6636,576,,240.0,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
34,34,19-07-2020 23:04:21,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0296,20080,7742,672,,280.0,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,35,19-07-2020 23:06:18,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0286,19363,7466,648,,270.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,36,19-07-2020 23:06:18,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0211,15705,6055,525,,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,37,19-07-2020 23:06:18,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.0249,16853,6498,564,,235.0,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
38,38,19-07-2020 23:06:18,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0286,19363,7466,648,,270.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,39,19-07-2020 23:06:18,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2548,190000,87429,6356,,,True,,,,,,,,,reagent 25i nbome. 5gr
40,40,19-07-2020 23:06:18,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2885,215142,82950,7198,,3000.0,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,41,19-07-2020 23:06:18,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0243,16336,6290,546,200.0,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
42,42,19-07-2020 23:06:18,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0952,64543,24885,2159,,900.0,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
43,43,19-07-2020 23:06:18,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0582,39443,15208,1320,,550.0,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
44,44,19-07-2020 23:06:18,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.07400000000000001,50200,19355,1680,,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,45,19-07-2020 23:06:18,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0444,30120,11613,1008,,420.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,46,19-07-2020 23:06:18,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0846,57371,22120,1920,,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,47,19-07-2020 23:06:18,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0444,30120,11613,1008,,420.0,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
48,48,19-07-2020 23:06:18,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0365,27251,10507,912,,380.0,True,,,,,,,,,Northern Lights Regular [budsonly] 10gram
49,49,19-07-2020 23:06:18,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2353,159563,61521,5339,,2225.0,True,,,,,,,,,Amfetamin [White] [Import] 10G
50,50,19-07-2020 23:06:18,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0535,35940,13838,1202,440.0,,True,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
51,51,19-07-2020 23:06:18,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0474,31856,12266,1065,390.0,,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
52,52,19-07-2020 23:06:18,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0625,46614,17973,1560,,650.0,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
53,53,19-07-2020 23:06:18,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2538,172113,66360,5759,,2400.0,True,,,,,,,,,100 gr marijuana buds
54,54,19-07-2020 23:06:18,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2644,179285,69125,5999,,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,19-07-2020 23:06:18,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.624,423112,163135,14156,,5900.0,True,,,,,,,,,180 gr marihuana persoalno
56,56,19-07-2020 23:06:18,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.899,609568,235025,20395,,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
57,57,19-07-2020 23:06:18,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14343,5530,480,,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
58,58,19-07-2020 23:06:18,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0264,17928,6913,600,,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
59,59,19-07-2020 23:06:18,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0385,28686,11060,960,,400.0,True,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
60,60,19-07-2020 23:06:18,Tbilisi,ebadfc162f,"Galiak ищет курьерa толка за марихуани в тбилиси, клад 7$. Залог с 200$",,1,нет,Тбилиси,10 гр,0.0192,14343,5530,480,,200.0,True,,,,,,,,,"Galiak ischet kur'era tolka za marihuani v tbilisi, klad 7$. Zalog s 200$"
61,61,19-07-2020 23:06:18,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0212,14343,5530,480,,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,19-07-2020 23:06:18,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0264,17928,6913,600,,250.0,True,,,,,,,,,Rabota na marki (kur'er)
63,63,19-07-2020 23:06:18,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0529,35857,13825,1200,,500.0,True,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
64,64,19-07-2020 23:06:18,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.601,1075709,414750,35991,,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
65,65,19-07-2020 23:06:18,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0529,35857,13825,1200,,500.0,,,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
66,66,19-07-2020 23:08:43,Batumi,f8a875c191,METADON - 0.30 - SALE,,1,5,Батуми,0.3 гр,0.032,21514,8295,720,,300.0,,,,,,,True,,,METADON - 0.30 - SALE
67,67,19-07-2020 23:08:44,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0376,25321,9750,847,310.0,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
68,68,19-07-2020 23:08:44,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0336,25100,9678,840,,350.0,,,,,,,True,,,Mefedron 3g
69,69,19-07-2020 23:08:44,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0403,30120,11613,1008,,420.0,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
70,70,19-07-2020 23:08:44,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0534,35940,13838,1202,440.0,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
71,71,19-07-2020 23:08:44,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0473,31856,12266,1065,390.0,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
72,72,19-07-2020 23:08:44,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0484,32591,12549,1090,399.0,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
73,73,19-07-2020 23:08:44,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1664,112990,51992,3780,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
74,74,19-07-2020 23:08:44,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2635,178900,82321,5984,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
75,75,19-07-2020 23:08:44,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7171,2765,240,,100.0,,,,,,,True,,,kur'er v Batumi
76,76,19-07-2020 23:08:44,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17928,6913,600,,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
77,77,19-07-2020 23:08:44,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17928,6913,600,,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
78,78,19-07-2020 23:08:44,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14343,5530,480,,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
79,79,19-07-2020 23:08:44,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5988,1075709,414750,35991,,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
80,80,19-07-2020 23:08:44,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0528,35857,13825,1200,,500.0,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
81,81,19-07-2020 23:10:21,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4462,302633,116683,10125,,4220.0,,,,,,,,,True,CUSTOM Shishki 230g 3in1
