,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Vake,Центр,Батуми,desc_en
44,44,07-08-2020 10:22:37,Tbilisi,e56bb6ca93,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99.0,,,,,True,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
45,45,07-08-2020 10:22:37,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0083,8034,3065,268,110.0,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
46,46,07-08-2020 10:22:37,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,3,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99.0,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
47,47,07-08-2020 10:22:37,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,3,нет,Тбилиси,2 гр,0.0083,7231,2758,241,99.0,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
48,48,07-08-2020 10:22:37,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,6,нет,Тбилиси,2 гр,0.0061,5843,2229,195,80.0,,,,,,,,,,,,TYson Budds 2G Skidka 5%
49,49,07-08-2020 10:22:37,Tbilisi,64284550d9,3G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,3 гр,0.0117,10226,3900,341,140.0,True,,,,,,,,,,,3G ---> Big Devil (BTC - Sale)
50,50,07-08-2020 10:22:37,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0068,6574,2507,219,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
51,51,07-08-2020 10:22:37,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0134,11613,4430,388,159.0,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
52,52,07-08-2020 10:22:37,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0182,17530,6686,585,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
53,53,07-08-2020 10:22:37,Tbilisi,fccfd69694,Мощные Кексы / Marijuana cupcakes (75g),True,1,нет,Тбилиси,75 гр,0.0021,1826,697,61,25.0,,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
54,54,07-08-2020 10:22:37,Tbilisi,54915c4374,марки н-боом 3 шт.,True,нет,45,Тбилиси,3 гр,0.0041,3579,1365,119,49.0,,,,,,,,,,,,marki n-boom 3 sht.
55,55,07-08-2020 10:22:37,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,1,Тбилиси,4.4 гр,0.0401,35059,13373,1170,480.0,,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
56,56,07-08-2020 10:22:37,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0209,18260,6965,609,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
57,57,07-08-2020 10:22:37,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0225,19721,7522,658,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
58,58,07-08-2020 10:22:37,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.023,20086,7662,670,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
59,59,07-08-2020 10:22:37,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.02,17530,6686,585,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
60,60,07-08-2020 10:22:37,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0234,20451,7801,683,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
61,61,07-08-2020 10:22:37,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0225,19721,7522,658,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
62,62,07-08-2020 10:22:37,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0166,15996,6101,534,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
63,63,07-08-2020 10:22:37,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0182,17530,6686,585,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
64,64,07-08-2020 10:22:37,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0225,19721,7522,658,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
65,65,07-08-2020 10:22:37,Tbilisi,f374062dcd,Очень мощный Сирец Иран 5гр,True,нет,3,Тбилиси,5 гр,0.0881,80344,30646,2681,1100.0,,,,,,,,,,,,Ochen' moschnyj Sirets Iran 5gr
66,66,07-08-2020 10:22:37,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1974,190000,87429,6333,,,,,,,,,,,,,reagent 25i nbome. 5gr
67,67,07-08-2020 10:22:37,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2276,219119,83580,7313,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
68,68,07-08-2020 10:22:37,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,5 гр,0.02,17324,6602,578,,,,,,,,,200.0,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
69,69,07-08-2020 10:22:37,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0459,40172,15323,1341,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
70,70,07-08-2020 10:22:37,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0584,51128,19502,1706,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
71,71,07-08-2020 10:23:56,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0351,30677,11701,1024,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
72,72,07-08-2020 10:23:56,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0668,58432,22288,1950,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
73,73,07-08-2020 10:23:56,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1857,162513,61989,5424,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
74,74,07-08-2020 10:23:56,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.039,33781,12874,1127,,,,,,,,,390.0,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
