,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Nadzaladevi,Vake,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
80,80,04-04-2020 10:27:19,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0533,28683,10203,954,369.0,,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
81,81,04-04-2020 10:27:19,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0432,23242,8267,773,299.0,,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
82,82,04-04-2020 10:27:20,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,8,Тбилиси,20 гр,0.0713,38789,13797,1290,499.0,,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
83,83,04-04-2020 10:27:20,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0865,46562,16562,1548,599.0,,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
84,84,04-04-2020 10:27:20,Tbilisi,e56bb6ca93,50gr Georgian Indica dominant buds. The Best PRICE,True,нет,13,Тбилиси,50 гр,0.1428,77655,27622,2582,999.0,,True,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
85,85,04-04-2020 10:27:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1572,85506,30415,2843,1100.0,,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
86,86,04-04-2020 10:27:20,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3431,186558,66360,6203,2400.0,,True,,,,,,,,,100 gr marijuana buds
87,87,04-04-2020 10:27:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2859,155465,55300,5169,2000.0,,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
88,88,04-04-2020 10:27:20,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2887,155465,55300,5169,2000.0,,True,,,,,,,,,SUBOXIN - HQ - 100 G.
89,89,04-04-2020 10:27:20,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3574,194331,69125,6462,2500.0,,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
90,90,04-04-2020 10:27:20,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2166,116599,41475,3877,1500.0,,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
91,91,04-04-2020 10:27:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6575,357570,127190,11889,4600.0,,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
92,92,04-04-2020 10:27:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0721,582994,207375,19385,7500.0,,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
93,93,04-04-2020 10:27:20,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.215,660726,235025,21969,8500.0,,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
94,94,04-04-2020 10:27:20,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.026000000000000002,15547,5530,517,200.0,,True,,,,,,,,,KURYER..500RUB.+BONUS
95,95,04-04-2020 10:27:20,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0214,11660,4148,388,150.0,,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
96,96,04-04-2020 10:27:20,Tbilisi,f25c0d6c5c,Требуется курьер,,1,нет,Тбилиси,1 гр,0.0167,10000,4602,336,,,True,,,,,,,,,Trebuetsja kur'er
97,97,04-04-2020 10:27:20,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0286,15547,5530,517,200.0,,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
98,98,04-04-2020 10:27:20,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0357,19433,6913,646,250.0,,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
99,99,04-04-2020 10:27:42,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1642,1165988,414750,38769,15000.0,,True,,,,,,,,,Vakansija optovogo kur'era na mef
100,100,04-04-2020 10:28:53,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0079,4275,1521,142,55.0,,,,,,,,True,,,MEPHEDRONE 0.5 gr
