,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
39,16-05-2020 08:31:43,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0249,6444,587,17569,240,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,16-05-2020 08:31:43,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0239,6176,563,16837,230,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,16-05-2020 08:31:43,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0206,5880,536,16032,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,16-05-2020 08:31:43,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,6310,575,17203,235,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,16-05-2020 08:31:43,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0166,4296,391,11713,160,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
44,16-05-2020 08:31:43,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2447,87429,6346,190000,,,,,,,,,,reagent 25i nbome. 5gr
45,16-05-2020 08:31:43,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2828,80550,7339,219617,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,16-05-2020 08:31:43,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1005,25749,2346,70204,959,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,16-05-2020 08:31:43,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0199,5102,465,13909,190,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,16-05-2020 08:31:43,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0512,13130,1196,35798,489,,,,,,,,,💘✨5g. MDMA ✨💘
49,16-05-2020 08:31:43,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0198,5075,462,13836,189,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,16-05-2020 08:31:43,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0933,24165,2202,65885,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,16-05-2020 08:31:43,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0415,10740,978,29282,400,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,16-05-2020 08:31:43,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0726,18795,1712,51244,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,16-05-2020 08:31:43,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,11277,1027,30746,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,16-05-2020 08:31:43,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0104,2685,245,7321,100,,,,,,,,,10G Hybrid Marijuana Leafs
55,16-05-2020 08:31:43,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.083,21480,1957,58564,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,16-05-2020 08:31:43,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0301,7787,709,21230,290,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
57,16-05-2020 08:31:43,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2308,59741,5443,162882,2225,,,,,,,,,Amfetamin [White] [Import] 10G
58,16-05-2020 08:31:43,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1633,41859,3814,114128,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
59,16-05-2020 08:31:43,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0387,9908,903,27013,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
60,16-05-2020 08:31:43,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5237,134250,12231,366028,5000,,,,,,,,,METADON - 20 G.
61,16-05-2020 08:31:43,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0627,16083,1465,43850,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
62,16-05-2020 08:31:43,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1141,29535,2691,80526,1100,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
63,16-05-2020 08:31:43,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2489,64440,5871,175693,2400,,,,,,,,,100 gr marijuana buds
64,16-05-2020 08:31:43,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2074,53700,4892,146411,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,16-05-2020 08:31:43,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2593,67125,6116,183014,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,16-05-2020 08:31:43,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6119,158415,14433,431913,5900,,,,,,,,,180 gr marihuana persoalno
