,time_stamp,region,sell_code,sell_name,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
20,05-04-2020 09:43:21,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,,,1,нет,Тбилиси,1 гр,0.0278,15935,5668,527,205,,True,,,,,,,,VHQ BEST Cocaine 1g.
21,05-04-2020 09:43:21,Tbilisi,V4T,COCAcoLA,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,True,,4,нет,Тбилиси,1 гр,0.0143,7851,2793,260,101,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
22,05-04-2020 09:43:21,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,,,1,нет,Тбилиси,1 гр,0.0264,14691,5226,486,189,,True,,,,,,,,Kokain HQ 1g.
23,05-04-2020 09:43:21,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,,2,нет,Тбилиси,1 гр,0.0253,13914,4949,460,179,,,True,,,,,,,Kokain KOLUMBIA 1g
24,05-04-2020 09:43:21,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,,1,нет,Тбилиси,1 гр,0.1155,69959,24885,2315,900,,True,,,,,,,,Metadon 1gr
25,05-04-2020 09:43:21,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,,,1,нет,Тбилиси,1 гр,0.0155,8473,3014,280,109,,True,,,,,,,,✨ 1g. MDMA ✨
26,05-04-2020 09:43:21,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,,4,нет,Тбилиси,2 гр,0.0106,5830,2074,193,75,,True,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
27,05-04-2020 09:43:21,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,,7,нет,Тбилиси,2 гр,0.0097,5364,1908,177,69,,True,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
28,05-04-2020 09:43:21,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,,1,нет,Тбилиси,2 гр,0.012,6607,2350,219,85,,True,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
29,05-04-2020 09:43:21,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,,6,нет,Тбилиси,2 гр,0.01,5441,1936,180,70,,True,,,,,,,,2x Extasy Duracell 223mg MDMA.
30,05-04-2020 09:43:21,Tbilisi,BB6E,WEEDSH0P,CHEESE WEED BUDS+leaves 2gr saburtalo !!,,,4,нет,Тбилиси,2 гр,0.0068,3731,1327,123,48,,True,,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
31,05-04-2020 09:43:21,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,,1,нет,Тбилиси,2 гр,0.0462,27984,9954,926,360,,True,,,,,,,,Cocaine Pure VHQ 2 g
32,05-04-2020 09:43:21,Tbilisi,X4ZM,ZYX,Gorilla Glue! 2G ! NEW ! BUDS !,,,4,нет,Тбилиси,2 гр,0.0106,5830,2074,193,75,,True,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
33,05-04-2020 09:43:21,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,,10,нет,Тбилиси,2 гр,0.0045,2721,968,90,35,,True,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
34,05-04-2020 09:43:58,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩,,,2,нет,Тбилиси,2 гр,0.0127,6918,2461,229,89,,True,,,,,,,,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩
35,05-04-2020 09:43:58,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,,1,нет,Тбилиси,3 гр,0.0155,8473,3014,280,109,,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
36,05-04-2020 09:43:58,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,,2,нет,Тбилиси,5 гр,0.0434,24874,8848,823,320,,True,,,,,,,,"5 Grm MDMA , Purity A +++"
37,05-04-2020 09:43:58,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,,2,нет,Тбилиси,5 гр,0.0419,23320,8295,772,300,,True,,,,,,,,5 Grm Mdma Pure Quality A +++
38,05-04-2020 09:43:58,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,,1,нет,Тбилиси,5 гр,0.0189,10416,3705,345,134,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
39,05-04-2020 09:43:58,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,,3,нет,Тбилиси,5 гр,0.025,13603,4839,450,175,,True,,,,,,,,5x Extasy Duracell 223mg MDMA.
40,05-04-2020 09:43:58,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,,1,нет,Тбилиси,5 гр,0.0071,4275,1521,141,55,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
41,05-04-2020 09:43:58,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,True,1,нет,Тбилиси,6 гр,0.0103,6219,2212,206,80,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
42,05-04-2020 09:43:58,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,,1,нет,Тбилиси,10 гр,0.0515,28372,10092,939,365,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
43,05-04-2020 09:43:58,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,,1,нет,Тбилиси,10 гр,0.0377,20755,7383,687,267,,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
44,05-04-2020 09:43:58,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,,2,3,Тбилиси,10 гр,0.0142,8574,2986,278,,True,True,,100,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
45,05-04-2020 09:43:58,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,,1,нет,Тбилиси,10 гр,0.0109,6607,2350,219,85,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
46,05-04-2020 09:43:58,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,,2,нет,Тбилиси,10 гр,0.0542,31093,11060,1029,400,,True,,,,,,,,gashish evro 10g
47,05-04-2020 09:43:58,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,,1,нет,Тбилиси,20 гр,0.1053,60398,21484,1999,777,,True,,,,,,,,Gashish Evro 20gr
48,05-04-2020 09:43:58,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.2567,155465,55300,5144,2000,,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
49,05-04-2020 09:43:58,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,,,нет,15,Тбилиси,0.25 гр,0.0315,17148,5972,556,,,True,,200,,,,,,METADON - 0.25 G.
50,05-04-2020 09:43:58,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,,нет,2,Тбилиси,2 гр,0.0285,15547,5530,514,200,,True,,,,,,,,✨✨2gram. MDMA✨✨
51,05-04-2020 09:43:58,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,,нет,3,Тбилиси,2 гр,0.0526,28683,10203,949,369,,True,,,,,,,,❄❄2g HQ COCAINE❄❄
52,05-04-2020 09:43:58,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,3,Тбилиси,3 гр,0.0841,45862,16314,1518,590,,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
53,05-04-2020 09:43:58,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,7,Тбилиси,4 гр,0.0565,31093,11060,1029,400,,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
54,05-04-2020 09:43:58,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,,нет,4,Тбилиси,5 гр,0.0226,12437,4424,412,160,,True,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
55,05-04-2020 09:43:58,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0776,42753,15208,1415,550,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
56,05-04-2020 09:43:58,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,,нет,1,Тбилиси,5 гр,0.0239,13137,4673,435,169,,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
57,05-04-2020 09:43:58,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,,нет,8,Тбилиси,5 гр,0.024,13215,4701,437,170,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
58,05-04-2020 09:43:58,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,10,Тбилиси,5 гр,0.0281,15469,5502,512,199,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,05-04-2020 09:43:58,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,7,Тбилиси,5 гр,0.0281,15469,5502,512,199,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,05-04-2020 09:43:58,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0281,17023,6055,563,219,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,05-04-2020 09:43:58,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,,нет,5,Тбилиси,5 гр,0.0428,23320,8295,772,300,,True,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
62,05-04-2020 09:43:58,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,7,Тбилиси,5 гр,0.0281,15469,5502,512,199,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,05-04-2020 09:43:58,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,,,нет,2,Тбилиси,5 гр,0.0425,25722,8958,834,,,True,,300,,,,,,MDMA 5 gr!!!
64,05-04-2020 09:43:58,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,,нет,12,Тбилиси,5 гр,0.0257,15547,5530,514,200,,True,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
65,05-04-2020 09:43:58,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.3137,190000,87429,6381,,,True,,,,,,,,reagent 25i nbome. 5gr
66,05-04-2020 09:45:04,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.3854,233198,82950,7717,3000,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,05-04-2020 09:45:04,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,,нет,2,Тбилиси,5 гр,0.124,67550,24028,2235,869,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
68,05-04-2020 09:45:04,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,,нет,5,Тбилиси,5 гр,0.0271,14769,5254,489,190,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,05-04-2020 09:45:04,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,,нет,5,Тбилиси,5 гр,0.0698,38011,13521,1258,489,,True,,,,,,,,💘✨5g. MDMA ✨💘
70,05-04-2020 09:45:04,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,,нет,5,Тбилиси,5 гр,0.027,14691,5226,486,189,,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
71,05-04-2020 09:45:04,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.1272,69959,24885,2315,900,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
72,05-04-2020 09:45:04,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,5,Тбилиси,10 гр,0.0989,54413,19355,1801,700,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
73,05-04-2020 09:45:04,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,6,Тбилиси,10 гр,0.0452,24874,8848,823,320,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,05-04-2020 09:45:04,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,5,Тбилиси,10 гр,0.1131,62186,22120,2058,800,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,05-04-2020 09:45:04,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.3144,172955,61521,5723,2225,,True,,,,,,,,Amfetamin [White] [Import] 10G
76,05-04-2020 09:45:04,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,,нет,8,Тбилиси,10 гр,0.2068,112634,40065,3727,1449,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,05-04-2020 09:45:04,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,,нет,10,Тбилиси,10 гр,0.0527,28683,10203,949,369,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
78,05-04-2020 09:45:04,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,,нет,2,Тбилиси,10 гр,0.0427,23242,8267,769,299,,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
79,05-04-2020 09:45:04,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,,нет,8,Тбилиси,20 гр,0.0705,38789,13797,1284,499,,True,,,,,,,,20 gr Indica marijuana buds (hight quality)
80,05-04-2020 09:45:04,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,,нет,9,Тбилиси,20 гр,0.0855,46562,16562,1541,599,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
81,05-04-2020 09:45:04,Tbilisi,8B31,GEOWEEDSHOP,50gr Georgian Indica dominant buds. The Best PRICE,True,,нет,13,Тбилиси,50 гр,0.1412,77655,27622,2570,999,,True,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
82,05-04-2020 09:45:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,,нет,1,Тбилиси,50 гр,0.1554,85506,30415,2829,1100,,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
83,05-04-2020 09:45:04,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.3392,186558,66360,6173,2400,,True,,,,,,,,100 gr marijuana buds
84,05-04-2020 09:45:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,,нет,1,Тбилиси,100 гр,0.2826,155465,55300,5144,2000,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
85,05-04-2020 09:45:04,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,,нет,1,Тбилиси,100 гр,0.2855,155465,55300,5144,2000,,True,,,,,,,,SUBOXIN - HQ - 100 G.
86,05-04-2020 09:45:04,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.3533,194331,69125,6431,2500,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
87,05-04-2020 09:45:04,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,,нет,1,Тбилиси,150 гр,0.2141,116599,41475,3858,1500,,True,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
88,05-04-2020 09:45:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,,нет,1,Тбилиси,250 гр,0.65,357570,127190,11832,4600,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
89,05-04-2020 09:45:04,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,,нет,1,Тбилиси,500 гр,1.0598,582994,207375,19292,7500,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
90,05-04-2020 09:45:04,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,1.2012,660726,235025,21864,8500,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
91,05-04-2020 09:45:04,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0257,15547,5530,514,200,,True,,,,,,,,KURYER..500RUB.+BONUS
92,05-04-2020 09:45:04,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,,1,нет,Тбилиси,1 гр,0.0283,15547,5530,514,200,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
93,05-04-2020 09:45:04,Tbilisi,H9FHF,OldStar,Требуется курьер,,,1,нет,Тбилиси,1 гр,0.0165,10000,4602,336,,,True,,,,,,,,Trebuetsja kur'er
94,05-04-2020 09:45:04,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,2,Тбилиси,1 гр,0.0283,15547,5530,514,200,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
95,05-04-2020 09:45:04,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,нет,1,Тбилиси,1 гр,0.0353,19433,6913,643,250,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
96,05-04-2020 09:45:04,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,2.139,1165988,414750,38583,15000,,True,,,,,,,,Vakansija optovogo kur'era na mef
97,05-04-2020 09:46:30,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,,1,нет,Батуми,0.5 гр,0.0078,4275,1521,141,55,,,,,,,True,,,MEPHEDRONE 0.5 gr
98,05-04-2020 09:46:30,Batumi,V4T,COCAcoLA,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,,1,нет,Батуми,1 гр,0.0143,7851,2793,260,101,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
99,05-04-2020 09:46:30,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,,7,нет,Батуми,2 гр,0.0049,2954,1051,98,38,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
100,05-04-2020 09:46:30,Batumi,XHR,420Factory,Power Africa 2.5 g,,,1,нет,Батуми,2.5 гр,0.0135,8162,2903,270,105,,,,,,,,True,,Power Africa 2.5 g
101,05-04-2020 09:46:30,Batumi,CL7K,go420times,[100g] SPAIN HASH,,,1,нет,Батуми,105 гр,0.3109,171012,60830,5659,2200,,,,,,,,True,,[100g] SPAIN HASH
102,05-04-2020 09:46:30,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,,1,13,Батуми,5 гр,0.0257,15547,5530,514,200,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
103,05-04-2020 09:46:30,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,,нет,2,Батуми,100 гр,0.2855,155465,55300,5144,2000,,,,,,,,True,,SUBOXIN - HQ - 100 G.
