,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
19,19,11-02-2020 20:39:50,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,5,нет,Тбилиси,1 гр,0.0214,14069,5421,481,220.0,,,,,,,,,,"Cocaine, 1g"
20,20,11-02-2020 20:39:50,Tbilisi,8219f5e7b8,Ketamine 1g,True,7,нет,Тбилиси,1 гр,0.0097,6395,2464,218,100.0,,,,,,,,,,Ketamine 1g
21,21,11-02-2020 20:39:50,Tbilisi,366326d4d6,Ketamine 1g.,True,6,нет,Тбилиси,1 гр,0.0087,5691,2193,194,89.0,,,,,,,,,,Ketamine 1g.
22,22,11-02-2020 20:39:50,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,3,нет,Тбилиси,1 гр,0.0039,2558,986,87,40.0,,,,,,,,,,"LSD - 250 ug, 1piece"
23,23,11-02-2020 20:39:50,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0439,31975,12320,1092,500.0,,,,,,,,,,Metadon VHQ 1 24/7
24,24,11-02-2020 20:39:50,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,7,нет,Тбилиси,1 гр,0.0175,12726,4903,435,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
25,25,11-02-2020 20:39:50,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,3,нет,Тбилиси,1 гр,0.0139,9592,3696,328,150.0,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
26,26,11-02-2020 20:39:50,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0192,12726,4903,435,199.0,,,True,,,,,,,Kokain KOLUMBIA 1g
27,27,11-02-2020 20:39:50,Tbilisi,61df6a1c90,Метадон 1гр,True,2,нет,Тбилиси,1 гр,0.0417,28777,11088,983,450.0,,,,,,,,,,Metadon 1gr
28,28,11-02-2020 20:39:50,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0386,25580,9856,874,400.0,,,,,,,,,,"Metadon, 1gr"
29,29,11-02-2020 20:39:50,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,6,нет,Тбилиси,1.3 гр,0.0531,35172,13552,1202,550.0,,,,,,,,,,Methadone HQ in city 1.3g
30,30,11-02-2020 20:39:50,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,10,нет,Тбилиси,2 гр,0.0068,4476,1725,153,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
31,31,11-02-2020 20:40:30,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0365,24620,9486,841,385.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
32,32,11-02-2020 20:40:30,Tbilisi,ae784bef73,Gorilla Glue! 2G! NEW !,True,1,нет,Тбилиси,2 гр,0.0072,4796,1848,164,75.0,,,,,,,,,,Gorilla Glue! 2G! NEW !
33,33,11-02-2020 20:40:30,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0202,14708,5667,502,230.0,,,,,,,,,,NZT-52 mind storm limited 2g muka
34,34,11-02-2020 20:40:30,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0386,25516,9831,872,399.0,,,True,,,,,,,Kokain KOLUMBIA 2g
35,35,11-02-2020 20:40:30,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,3,нет,Тбилиси,3 гр,0.0193,14069,5421,481,220.0,,,,,,,,,,"3 Grm Mdma , Purity A +++"
36,36,11-02-2020 20:40:30,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.028999999999999998,21103,8131,721,330.0,,,,,,,,,,NZT-52 mind storm limited 3g muka
37,37,11-02-2020 20:40:30,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,3,нет,Тбилиси,3 гр,0.0116,7610,2932,260,119.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
38,38,11-02-2020 20:40:30,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0851,61954,23878,2124,,,,,888.0,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
39,39,11-02-2020 20:40:30,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0057,4157,1602,142,65.0,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
40,40,11-02-2020 20:40:30,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0195,13429,5174,459,210.0,,,,,,,,,,gashish evro 5g
41,41,11-02-2020 20:40:30,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0703,51159,19712,1748,800.0,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
42,42,11-02-2020 20:40:30,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0371,25580,9856,874,400.0,,,,,,,,,,gashish evro 10g
43,43,11-02-2020 20:40:30,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,23,нет,Тбилиси,10 гр,0.0088,6395,2464,218,100.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
44,44,11-02-2020 20:40:30,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0887,116234,44799,3985,,,,,1666.0,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
45,45,11-02-2020 20:40:30,Tbilisi,436325081c,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.0058,4221,1626,144,66.0,,,,,,,,,,weed leaves 13gr +
46,46,11-02-2020 20:40:30,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.012,8761,3376,299,137.0,,,,,,,,,,georgian weed 15 gr salee !!!
47,47,11-02-2020 20:40:30,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0721,49688,19145,1698,777.0,,,,,,,,,,Gashish Evro 20gr
48,48,11-02-2020 20:40:30,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1479,193747,74674,6643,,,,,2777.0,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
49,49,11-02-2020 20:40:30,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0244,15987,6160,546,250.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
50,50,11-02-2020 20:40:30,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.0342,22382,8624,765,350.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
51,51,11-02-2020 20:40:30,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0586,38369,14784,1311,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
52,52,11-02-2020 20:40:30,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0213,14069,5421,481,220.0,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
53,53,11-02-2020 20:40:30,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0387,25580,9856,874,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
54,54,11-02-2020 20:40:30,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0232,15348,5914,524,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
55,55,11-02-2020 20:40:30,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0242,15987,6160,546,250.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
56,56,11-02-2020 20:40:30,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1318,95924,36960,3277,1500.0,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
57,57,11-02-2020 20:40:30,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0242,15987,6160,546,250.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
58,58,11-02-2020 20:40:30,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0242,15987,6160,546,250.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,59,11-02-2020 20:40:30,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0192,12726,4903,435,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
60,60,11-02-2020 20:40:30,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0242,15987,6160,546,250.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,61,11-02-2020 20:40:30,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0192,14005,5396,478,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,62,11-02-2020 20:40:30,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0184,13365,5150,457,209.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
63,63,11-02-2020 20:40:30,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0184,13365,5150,457,209.0,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
64,64,11-02-2020 20:41:22,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0184,13365,5150,457,209.0,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
65,65,11-02-2020 20:41:22,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0242,15987,6160,546,250.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
66,66,11-02-2020 20:41:22,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0176,12790,4928,437,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
67,67,11-02-2020 20:41:22,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1923,140000,64421,4794,,,,,,,,,,,reagent 25i nbome. 5gr
68,68,11-02-2020 20:41:22,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2635,191847,73920,6554,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
69,69,11-02-2020 20:41:22,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0477,31271,12049,1068,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
70,70,11-02-2020 20:41:22,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.0176,11511,4435,393,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
71,71,11-02-2020 20:41:22,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0386,25516,9831,872,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
72,72,11-02-2020 20:41:22,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1757,127898,49280,4369,2000.0,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
73,73,11-02-2020 20:41:22,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0773,51159,19712,1748,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
74,74,11-02-2020 20:41:22,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0351,25516,9831,872,399.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
75,75,11-02-2020 20:41:22,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.215,142287,54824,4861,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
76,76,11-02-2020 20:41:22,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0789,51671,19909,1765,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
77,77,11-02-2020 20:41:22,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0292,19121,7367,653,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
78,78,11-02-2020 20:41:22,Tbilisi,84c8f0bee0,SALE 50%. Шишки 11гр (лсд феминиз),True,2,2,Тбилиси,11 гр,0.0145,9592,3696,328,150.0,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
79,79,11-02-2020 20:41:22,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0439,28777,11088,983,450.0,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
80,80,11-02-2020 20:41:22,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2899,211032,81312,7210,3300.0,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
81,81,11-02-2020 20:41:22,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0556,38369,14784,1311,600.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
82,82,11-02-2020 20:41:22,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1054,76739,29568,2622,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
83,83,11-02-2020 20:41:22,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0835,57554,22176,1966,900.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
84,84,11-02-2020 20:41:22,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0918,60752,23408,2075,950.0,,,,,,,,,,Hybrid Skunk! 50 gr
85,85,11-02-2020 20:41:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1933,127898,49280,4369,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
86,86,11-02-2020 20:41:22,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1739,115108,44352,3932,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
87,87,11-02-2020 20:41:22,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2416,159873,61600,5462,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
88,88,11-02-2020 20:41:22,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0378,27498,10595,939,430.0,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
89,89,11-02-2020 20:41:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4445,294165,113344,10050,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
90,90,11-02-2020 20:41:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7248,479618,184800,16385,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
91,91,11-02-2020 20:41:22,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8214,543567,209440,18570,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
92,92,11-02-2020 20:41:22,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0176,12790,4928,437,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
93,93,11-02-2020 20:41:22,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0176,12790,4928,437,200.0,,,,,,,,,,Trebuetsja Kur'er
94,94,11-02-2020 20:41:22,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0193,12790,4928,437,200.0,,,,,,,,,,Trebuetsja sotrudnik
95,95,11-02-2020 20:41:22,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0193,12790,4928,437,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
96,96,11-02-2020 20:41:22,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0242,15987,6160,546,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
97,97,11-02-2020 20:42:11,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4607,959235,369600,32771,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
98,98,11-02-2020 20:43:33,Batumi,d4df7908c3,"Шишки / weeds OGKZ, 2г",,2,нет,Батуми,2 гр,0.0097,6331,2439,216,99.0,,,,,,,True,,,"Shishki / weeds OGKZ, 2g"
99,99,11-02-2020 20:43:33,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,7,10,Батуми,0.27 гр,0.0221,14516,5593,496,227.0,,,,,,,,True,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
100,100,11-02-2020 20:43:33,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0176,12790,4928,437,200.0,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
101,101,11-02-2020 20:43:33,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0917,60752,23408,2075,950.0,,,,,,,,True,,Hybrid Skunk! 50 gr
102,102,11-02-2020 20:43:33,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1738,115108,44352,3932,1800.0,,,,,,,,True,,Hybrid Skunk! 100 gr
103,103,11-02-2020 20:43:33,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2926,191847,73920,6554,3000.0,,,,,,,,True,,SUBOXIN - HQ - 100 G.
104,104,11-02-2020 20:43:33,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2439,159873,61600,5462,2500.0,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
105,105,11-02-2020 20:43:33,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0098,6395,2464,218,100.0,,,,,,,,True,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
106,106,11-02-2020 20:43:33,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0044,3197,1232,109,50.0,,,,,,,,True,,kur'er v Batumi
