,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
31,31,16-02-2020 12:22:14,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,2,нет,Тбилиси,1 гр,0.0107,6916,2686,240,109.0,,,,,,,,,✨ 1g. MDMA ✨
32,32,16-02-2020 12:22:14,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,8,нет,Тбилиси,2 гр,0.0078,5013,1947,174,79.0,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
33,33,16-02-2020 12:22:14,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,,7,нет,Тбилиси,2 гр,0.0076,5076,1971,176,80.0,True,,,,,,,,2G -- AK-47 -> Sativa
34,34,16-02-2020 12:22:14,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,8,нет,Тбилиси,2 гр,0.0078,5013,1947,174,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
35,35,16-02-2020 12:22:14,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,5,нет,Тбилиси,2 гр,0.0354,22843,8870,792,360.0,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
36,36,16-02-2020 12:22:14,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0339,22526,8747,781,355.0,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
37,37,16-02-2020 12:22:14,Tbilisi,3c4662c591,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0097,6345,2464,220,100.0,True,,,,,,,,KALI MIST 2G
38,38,16-02-2020 12:22:14,Tbilisi,8219f5e7b8,Ketamine 2 g,True,1,нет,Тбилиси,2 гр,0.0177,11422,4435,396,180.0,,,,,,,,,Ketamine 2 g
39,39,16-02-2020 12:22:14,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,1,нет,Тбилиси,2 гр,0.0069,4442,1725,154,70.0,,,,,,,,,"LSD - 250 ug, 2 pieces"
40,40,16-02-2020 12:22:14,Tbilisi,be97026d1d,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,3,нет,Тбилиси,2 гр,0.0186,12373,4805,429,195.0,,True,,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
41,41,16-02-2020 12:22:14,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,10,нет,Тбилиси,2 гр,0.0195,13960,5421,484,220.0,,,,,,,,,NZT-52 mind storm limited 2g muka
42,42,16-02-2020 12:22:14,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0354,24049,9339,833,379.0,,,,,,,,,Kokain HQ 2g.
43,43,16-02-2020 12:22:14,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.034,22145,8599,767,349.0,,,True,,,,,,Kokain KOLUMBIA 2g
44,44,16-02-2020 12:22:14,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,2,нет,Тбилиси,3 гр,0.0107,6916,2686,240,109.0,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
45,45,16-02-2020 12:22:14,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0239,15546,6037,539,245.0,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
46,46,16-02-2020 12:22:14,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0103,6663,2587,231,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
47,47,16-02-2020 12:22:14,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0275,19671,7638,682,310.0,,,,,,,,,NZT-52 mind storm limited 3g muka
48,48,16-02-2020 12:22:14,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0156,10089,3918,350,159.0,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
49,49,16-02-2020 12:22:14,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0172,11104,4312,385,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
50,50,16-02-2020 12:22:14,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,6,нет,Тбилиси,5 гр,0.0145,9518,3696,330,150.0,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
51,51,16-02-2020 12:22:14,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0156,10089,3918,350,159.0,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
52,52,16-02-2020 12:22:14,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0152,9772,3795,339,154.0,,,,,,,,,NEW !!! 5G White Widow !!! NEW
53,53,16-02-2020 12:22:14,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.0196,13325,5174,462,210.0,,,,,,,,,gashish evro 5g
54,54,16-02-2020 12:22:14,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0374,25381,9856,879,400.0,,,,,,,,,gashish evro 10g
55,55,16-02-2020 12:22:14,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,18,нет,Тбилиси,10 гр,0.0089,6345,2464,220,100.0,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
56,56,16-02-2020 12:22:14,Tbilisi,84c8f0bee0,шишки 11гр. (наркуш феминиз),True,2,нет,Тбилиси,11 гр,0.0097,6345,2464,220,100.0,,,,,,,,,shishki 11gr. (narkush feminiz)
57,57,16-02-2020 12:22:14,Tbilisi,436325081c,weed leaves 13gr +,True,2,нет,Тбилиси,13 гр,0.0051,3680,1429,128,58.0,,,,,,,,,weed leaves 13gr +
58,58,16-02-2020 12:22:14,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0148,10597,4115,367,167.0,,,,,,,,,georgian weed 15 gr salee !!!
59,59,16-02-2020 12:22:14,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0726,49303,19145,1708,777.0,,,,,,,,,Gashish Evro 20gr
60,60,16-02-2020 12:22:14,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0223,14404,5593,499,227.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
61,61,16-02-2020 12:22:14,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.0294,18973,7367,657,299.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
62,62,16-02-2020 12:22:14,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.059000000000000004,38072,14784,1319,600.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
63,63,16-02-2020 12:22:14,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.039,25381,9856,879,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
64,64,16-02-2020 12:22:43,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.039,25381,9856,879,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
65,65,16-02-2020 12:22:43,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0234,15229,5914,528,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
66,66,16-02-2020 12:22:43,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0244,15863,6160,550,250.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
67,67,16-02-2020 12:22:43,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1329,95180,36960,3298,1500.0,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
68,68,16-02-2020 12:22:43,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0244,15863,6160,550,250.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
69,69,16-02-2020 12:22:43,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0244,15863,6160,550,250.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
70,70,16-02-2020 12:22:43,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0194,12627,4903,438,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
71,71,16-02-2020 12:22:43,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0244,15863,6160,550,250.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
72,72,16-02-2020 12:22:43,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0194,13896,5396,482,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
73,73,16-02-2020 12:22:43,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0185,13262,5150,460,209.0,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
74,74,16-02-2020 12:22:43,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0185,13262,5150,460,209.0,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
75,75,16-02-2020 12:22:43,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0244,15863,6160,550,250.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
76,76,16-02-2020 12:22:43,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0177,12691,4928,440,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
77,77,16-02-2020 12:22:43,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1954,140000,64421,4851,,,,,,,,,,reagent 25i nbome. 5gr
78,78,16-02-2020 12:22:43,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2657,190361,73920,6596,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
79,79,16-02-2020 12:22:43,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0481,31029,12049,1075,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
80,80,16-02-2020 12:22:43,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0798,52000,23928,1802,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
81,81,16-02-2020 12:22:43,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0389,25318,9831,877,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
82,82,16-02-2020 12:22:43,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1772,126907,49280,4397,2000.0,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
83,83,16-02-2020 12:22:43,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0779,50763,19712,1759,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
84,84,16-02-2020 12:22:43,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0353,25318,9831,877,399.0,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
85,85,16-02-2020 12:22:43,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2168,141184,54824,4892,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
86,86,16-02-2020 12:22:43,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0294,18973,7367,657,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
87,87,16-02-2020 12:22:43,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0443,28554,11088,989,450.0,,,,,,,,,15x Extasy Duracell 223mg MDMA.
88,88,16-02-2020 12:22:43,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2923,209397,81312,7255,3300.0,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
89,89,16-02-2020 12:22:43,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0561,38072,14784,1319,600.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
90,90,16-02-2020 12:22:43,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1063,76144,29568,2638,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
91,91,16-02-2020 12:22:43,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0926,60281,23408,2089,950.0,,,,,,,,,Hybrid Skunk! 50 gr
92,92,16-02-2020 12:22:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1949,126907,49280,4397,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
93,93,16-02-2020 12:22:43,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1754,114216,44352,3957,1800.0,,,,,,,,,Hybrid Skunk! 100 gr
94,94,16-02-2020 12:22:43,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2436,158634,61600,5497,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
95,95,16-02-2020 12:22:43,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0381,27285,10595,945,430.0,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
96,96,16-02-2020 12:22:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4482,291887,113344,10114,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
97,97,16-02-2020 12:22:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7308,475902,184800,16490,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
98,98,16-02-2020 12:22:43,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8282,539356,209440,18688,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
99,99,16-02-2020 12:23:27,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0177,12691,4928,440,200.0,,,,,,,,,Trebuetsja Kur'er
100,100,16-02-2020 12:23:27,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0195,12691,4928,440,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
101,101,16-02-2020 12:23:27,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0244,15863,6160,550,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
102,102,16-02-2020 12:23:27,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4766,951804,369600,32979,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
103,103,16-02-2020 12:24:47,Batumi,ea97036e14,Метамфетамин рацемат 2г (MQ),,1,нет,Батуми,2 гр,0.0084,5394,2094,187,85.0,,,,,,True,,,Metamfetamin ratsemat 2g (MQ)
104,104,16-02-2020 12:24:47,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,7,10,Батуми,0.27 гр,0.0224,14404,5593,499,227.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
105,105,16-02-2020 12:24:47,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0177,12691,4928,440,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
106,106,16-02-2020 12:24:47,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0927,60281,23408,2089,950.0,,,,,,True,,,Hybrid Skunk! 50 gr
107,107,16-02-2020 12:24:47,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1756,114216,44352,3957,1800.0,,,,,,True,,,Hybrid Skunk! 100 gr
