,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
36,36,26-02-2020 10:01:31,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0166,10063,3808,345,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
37,37,26-02-2020 10:01:31,Tbilisi,7ee4f68218,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0183,11626,4401,399,,,165.0,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
38,38,26-02-2020 10:01:31,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0161,9738,3686,334,150.0,,,,,,,,,"LSD - 250 ug, 5 pieces"
39,39,26-02-2020 10:01:31,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0171,10322,3907,354,159.0,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
40,40,26-02-2020 10:01:31,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0165,9998,3784,343,154.0,,,,,,,,,NEW !!! 5G White Widow !!! NEW
41,41,26-02-2020 10:01:31,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0063,4220,1597,145,65.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,26-02-2020 10:01:31,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0214,13633,5160,468,210.0,,,,,,,,,gashish evro 5g
43,43,26-02-2020 10:01:31,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,3,нет,Тбилиси,5 гр,0.0275,17529,6634,601,270.0,,,,,,,,,🍃 5gr GAShISh 🍃
44,44,26-02-2020 10:01:31,Tbilisi,7ee4f68218,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0332,21138,8001,725,,,300.0,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
45,45,26-02-2020 10:01:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,11,нет,Тбилиси,10 гр,0.0284,17334,6560,595,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
