,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Varketili,Vazisubani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
10,10,26-05-2020 15:39:28,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0195,12529,4744,420,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
11,11,26-05-2020 15:39:28,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0482,32218,12200,1080,450.0,True,,,,,,,,,,,Gashish Evro 10gr
12,12,26-05-2020 15:39:28,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0823,55630,21064,1864,777.0,True,,,,,,,,,,,Gashish Evro 20gr
13,13,26-05-2020 15:39:28,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.008,5728,2169,192,80.0,True,,,,,,,,,,,GABAGAMA 50 SHTUK
14,14,26-05-2020 15:39:28,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2006,143192,54220,4799,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
15,15,26-05-2020 15:39:28,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0186,13245,5015,444,185.0,True,,,,,,,,,,,GABAGAMA 150 shtuk
16,16,26-05-2020 15:39:28,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,,нет,4,Тбилиси,0.2 гр,0.0108,7009,2664,235,,True,,,,90.0,,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
17,17,26-05-2020 15:39:28,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0234,15035,5693,504,210.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
18,18,26-05-2020 15:39:28,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.0411,26419,10004,885,369.0,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
19,19,26-05-2020 15:39:28,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0645,41454,15697,1389,579.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
20,20,26-05-2020 15:39:28,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0441,28638,10844,960,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,21,26-05-2020 15:39:28,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,нет,2,Тбилиси,4 гр,0.0154,10023,3795,336,140.0,,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
22,22,26-05-2020 15:39:28,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0607,39378,14911,1320,550.0,True,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
23,23,26-05-2020 15:39:28,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0607,39378,14911,1320,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
24,24,26-05-2020 15:39:28,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0259,16825,6371,564,235.0,True,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
25,25,26-05-2020 15:39:28,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0265,17183,6506,576,240.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
26,26,26-05-2020 15:39:28,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0254,16467,6235,552,230.0,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
27,27,26-05-2020 15:39:28,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,1,Тбилиси,5 гр,0.0175,11384,4310,382,159.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
28,28,26-05-2020 15:39:28,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0265,17183,6506,576,240.0,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
29,29,26-05-2020 15:39:28,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0265,17183,6506,576,240.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
30,30,26-05-2020 15:39:28,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0254,16467,6235,552,230.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
31,31,26-05-2020 15:39:28,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.022000000000000002,15680,5937,526,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
32,32,26-05-2020 15:39:28,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0259,16825,6371,564,235.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,33,26-05-2020 15:40:23,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.022000000000000002,15680,5937,526,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,26-05-2020 15:40:23,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.026000000000000002,16825,6371,564,235.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,26-05-2020 15:40:23,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0276,17899,6778,600,250.0,,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
36,36,26-05-2020 15:40:23,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2664,190000,87429,6368,,True,,,,,,,,,,,reagent 25i nbome. 5gr
37,37,26-05-2020 15:40:23,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3012,214789,81330,7199,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,38,26-05-2020 15:40:23,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.107,68661,25998,2301,959.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,39,26-05-2020 15:40:23,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0212,13603,5151,456,190.0,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,40,26-05-2020 15:40:23,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0545,35011,13257,1173,489.0,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
41,41,26-05-2020 15:40:23,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,10,Тбилиси,5 гр,0.0211,13532,5124,454,189.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
42,42,26-05-2020 15:40:23,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0994,64437,24399,2160,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
43,43,26-05-2020 15:40:23,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0442,28638,10844,960,400.0,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
44,44,26-05-2020 15:40:23,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0773,50117,18977,1680,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,45,26-05-2020 15:40:23,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0464,30070,11386,1008,420.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,46,26-05-2020 15:40:23,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,1,38,Тбилиси,10 гр,0.0149,9665,3660,324,135.0,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
47,47,26-05-2020 15:40:23,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0883,57277,21688,1920,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,48,26-05-2020 15:40:23,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2457,159302,60320,5339,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
49,49,26-05-2020 15:40:23,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1739,111618,42264,3741,1559.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,50,26-05-2020 15:40:23,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0412,26419,10004,885,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
51,51,26-05-2020 15:40:23,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0351,22553,8540,756,315.0,True,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
52,52,26-05-2020 15:40:23,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,,нет,11,Тбилиси,20 гр,0.0441,28567,10817,957,399.0,True,,,,,,,,,,,20 gr georgian weed. Package on magnet
53,53,26-05-2020 15:40:23,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5577,357981,135550,11998,5000.0,True,,,,,,,,,,,METADON - 20 G.
54,54,26-05-2020 15:40:23,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0668,42886,16239,1437,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,55,26-05-2020 15:40:23,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1435,93003,35216,3117,1299.0,True,,,,,,,,,,,50 gr georgian weed. Package on magnet
56,56,26-05-2020 15:40:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1215,78756,29821,2639,1100.0,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
57,57,26-05-2020 15:40:23,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.276,178919,67748,5996,2499.0,True,,,,,,,,,,,100 gr georgian weed. Package on magnet
58,58,26-05-2020 15:40:23,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.265,171831,65064,5759,2400.0,True,,,,,,,,,,,100 gr marijuana buds
59,59,26-05-2020 15:40:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2209,143192,54220,4799,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,60,26-05-2020 15:40:23,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2761,178991,67775,5999,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,61,26-05-2020 15:40:23,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6516,422418,159949,14157,5900.0,True,,,,,,,,,,,180 gr marihuana persoalno
62,62,26-05-2020 15:40:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.508,329343,124706,11038,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,63,26-05-2020 15:40:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8283,536972,203325,17996,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,64,26-05-2020 15:40:23,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9387,608568,230435,20396,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,65,26-05-2020 15:40:23,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0201,14319,5422,480,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
66,66,26-05-2020 15:40:23,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0221,14319,5422,480,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,67,26-05-2020 15:40:23,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0276,17899,6778,600,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,68,26-05-2020 15:41:35,Batumi,3c4662c591,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.0331,21479,8133,720,300.0,,,,,,,,,True,,,shishki marihuany 5G
69,69,26-05-2020 15:41:35,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2429,157512,59642,5279,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
70,70,26-05-2020 15:41:35,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0094,6086,2304,204,85.0,,,,,,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
71,71,26-05-2020 15:41:35,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1743,112990,51992,3787,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
72,72,26-05-2020 15:41:35,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2759,178900,82321,5996,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
73,73,26-05-2020 15:41:35,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.01,7160,2711,240,100.0,,,,,,,,,,True,,kur'er v Batumi
74,74,26-05-2020 15:41:35,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0251,17899,6778,600,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
75,75,26-05-2020 15:41:35,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0251,17899,6778,600,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
76,76,26-05-2020 15:41:35,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.012,7788,2960,261,,,,,,100.0,,,,,True,,Rabota na marki (kur'er)
77,77,26-05-2020 15:41:35,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.671,1073943,406650,35993,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
78,78,26-05-2020 15:41:35,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0552,35798,13555,1200,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
79,79,26-05-2020 15:43:10,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.053,34724,13148,1164,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
80,80,26-05-2020 15:43:10,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,3 гр,0.0357,23627,8946,792,330.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
81,81,26-05-2020 15:43:10,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0075,5370,2033,180,75.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
82,82,26-05-2020 15:43:10,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.012,7788,2960,261,,,,,,100.0,,,,,,True,Rabota na marki (kur'er)
