,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Gldani,Saburtalo,Vake,Дигоми,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
52,14-03-2020 13:14:36,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0328,14564,5351,466,199,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
53,14-03-2020 13:14:36,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0264,11710,4302,374,160,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
54,14-03-2020 13:14:36,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0328,14564,5351,466,199,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
55,14-03-2020 13:14:36,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0328,14564,5351,466,199,,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
56,14-03-2020 13:14:36,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0239,10612,3899,339,145,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
57,14-03-2020 13:14:36,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0328,16028,5889,513,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
58,14-03-2020 13:14:36,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0499,21956,8067,702,300,,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
59,14-03-2020 13:14:36,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0247,10978,4034,351,150,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
60,14-03-2020 13:14:36,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.03,14638,5378,468,200,,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
61,14-03-2020 13:14:36,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3888,190000,87429,6072,,,,,,,,,,,,,,reagent 25i nbome. 5gr
