,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
39,10-07-2020 15:51:13,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0288,19232,7344,657,,270,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
40,10-07-2020 15:51:13,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 5грам,True,нет,10,Тбилиси,5 гр,0.0078,5698,2176,195,,80,,,,,,,,,marihuana pudra vysokoe kachestvo 5gram
41,10-07-2020 15:51:13,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2587,190000,87429,6521,,,,,,,,,,,reagent 25i nbome. 5gr
42,10-07-2020 15:51:13,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.291,213689,81600,7300,,3000,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,10-07-2020 15:51:13,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.0243,16054,6140,551,200,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
44,10-07-2020 15:51:13,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.096,64107,24480,2190,,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,10-07-2020 15:51:13,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0587,39176,14960,1338,,550,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
46,10-07-2020 15:51:13,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0747,49861,19040,1703,,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,10-07-2020 15:51:13,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0448,29917,11424,1022,,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,10-07-2020 15:51:13,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0854,56984,21760,1947,,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,10-07-2020 15:51:13,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2374,158486,60520,5414,,2225,,,,,,,,,Amfetamin [White] [Import] 10G
50,10-07-2020 15:51:13,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0534,35318,13508,1212,440,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
51,10-07-2020 15:51:13,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0473,31305,11973,1074,390,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
52,10-07-2020 15:51:13,Tbilisi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,4,Тбилиси,11 гр,0.0484,32027,12249,1099,399,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
53,10-07-2020 15:51:13,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.063,46299,17680,1582,,650,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
54,10-07-2020 15:51:13,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.256,170952,65280,5840,,2400,,,,,,,,,100 gr marijuana buds
55,10-07-2020 15:51:13,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2667,178075,68000,6083,,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,10-07-2020 15:51:13,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6295,420256,160480,14356,,5900,,,,,,,,,180 gr marihuana persoalno
57,10-07-2020 15:51:13,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9068,605453,231200,20682,,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
58,10-07-2020 15:51:13,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0194,14246,5440,487,,200,,,,,,,,,KURYER..500RUB.+BONUS
59,10-07-2020 15:51:13,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0267,17807,6800,608,,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
