,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
36,36,19-04-2020 09:14:09,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0517,29578,10960,978,400.0,,,,,,,,,,,gashish evro 10g
37,37,19-04-2020 09:14:09,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1004,57455,21290,1900,777.0,,,,,,,,,,,Gashish Evro 20gr
38,38,19-04-2020 09:14:09,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2448,147888,54800,4890,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,39,19-04-2020 09:14:09,Tbilisi,2f51af8159,NEW MDMA 0.25 G MELKIE KRISTALI,,нет,2,Тбилиси,0.25 гр,0.0047,2588,959,86,35.0,,,,,,True,,,,,NEW MDMA 0.25 G MELKIE KRISTALI
40,40,19-04-2020 09:14:09,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3106,1151,103,42.0,,,,,,True,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
41,41,19-04-2020 09:14:09,Tbilisi,2f51af8159,25i-nbome 1 piece 2.5mg SALE SALE,,нет,6,Тбилиси,1 гр,0.0019,1035,384,34,14.0,,,,,,True,,,,,25i-nbome 1 piece 2.5mg SALE SALE
42,42,19-04-2020 09:14:09,Tbilisi,2f51af8159,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE,,нет,3,Тбилиси,1 гр,0.0053,2884,1069,95,39.0,,,,,,True,,,,,ECSTASY BLUE GUCCI 1 PiECE 240 MG NEW SALE SALE
43,43,19-04-2020 09:14:09,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0502,27285,10111,902,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
44,44,19-04-2020 09:14:09,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0802,43627,16166,1443,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,45,19-04-2020 09:14:09,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0539,29578,10960,978,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,19-04-2020 09:14:09,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0215,11831,4384,391,160.0,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
47,47,19-04-2020 09:14:09,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.07400000000000001,40669,15070,1345,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,48,19-04-2020 09:14:09,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0229,12571,4658,416,170.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
49,49,19-04-2020 09:14:09,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0268,14715,5453,487,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,50,19-04-2020 09:14:09,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0268,14715,5453,487,199.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,51,19-04-2020 09:14:09,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0268,16194,6001,535,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,52,19-04-2020 09:14:09,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0268,14715,5453,487,199.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,53,19-04-2020 09:14:09,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3145,190000,87429,6279,,,,,,,,,,,,reagent 25i nbome. 5gr
