,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
39,39,06-02-2020 09:12:29,Tbilisi,99accec7c7,Гашиш gashish 2 грамма лучшая цена 10% при покупки биткойном!,True,1,нет,Тбилиси,2 гр,0.0109,6886,2714,235,109.0,,,,,,,,,,Gashish gashish 2 gramma luchshaja tsena 10% pri pokupki bitkojnom!
40,40,06-02-2020 09:12:29,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.037000000000000005,23943,9437,816,379.0,,,,,,,,,,Kokain HQ 2g.
41,41,06-02-2020 09:12:29,Tbilisi,013e75d78f,C O C A i N E 2 g +0.1 g падарка.,True,5,нет,Тбилиси,2.1 гр,0.0341,21163,8342,722,335.0,,,,,,,,,,C O C A i N E 2 g +0.1 g padarka.
42,42,06-02-2020 09:12:29,Tbilisi,7ee4f68218,3 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,3 гр,0.0102,6974,2743,238,,,100.0,,,,,,,,3 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
43,43,06-02-2020 09:12:29,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0102,6254,2465,213,99.0,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
44,44,06-02-2020 09:12:29,Tbilisi,c9a56b2b4a,3x Extasy Duracell 280mg,True,4,нет,Тбилиси,3 гр,0.0108,6633,2615,226,105.0,,,,,,,,,,3x Extasy Duracell 280mg
45,45,06-02-2020 09:12:29,Tbilisi,dd631c4acf,3г. SPEED Амфетамин стимулятор,True,2,нет,Тбилиси,3 гр,0.0102,6254,2465,213,99.0,,,,,,,,,,3g. SPEED Amfetamin stimuljator
46,46,06-02-2020 09:12:29,Tbilisi,99accec7c7,GASHISH 3 gr лучшая цена,True,2,нет,Тбилиси,3 гр,0.0164,10424,4109,355,165.0,True,,,,,,,,,GASHISH 3 gr luchshaja tsena
47,47,06-02-2020 09:12:29,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g,,2,нет,Тбилиси,3 гр,0.0035,2148,847,73,34.0,,,,True,,,,,,Marijuana Super Skunk leaves 3g
48,48,06-02-2020 09:12:29,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0314,21479,8466,732,340.0,,,,,,,,,,NZT-52 mind storm limited 3g muka
49,49,06-02-2020 09:12:29,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0102,6254,2465,213,99.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
50,50,06-02-2020 09:12:29,Tbilisi,4be7861731,metadon sirop 4ml,,2,нет,Тбилиси,4 гр,0.0065,4233,1668,144,67.0,True,,,,,,,,,metadon sirop 4ml
51,51,06-02-2020 09:12:29,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.0786,53698,21165,1831,850.0,,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
52,52,06-02-2020 09:12:29,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0314,21479,8466,732,340.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
53,53,06-02-2020 09:12:29,Tbilisi,7ee4f68218,5 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,5 гр,0.0168,11508,4526,392,,,165.0,,,,,,,,5 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
54,54,06-02-2020 09:12:29,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0873,53698,21165,1831,850.0,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
55,55,06-02-2020 09:12:29,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,4,нет,Тбилиси,5 гр,0.0154,9476,3735,323,150.0,,,,,,,,,,"LSD - 250 ug, 5 pieces"
56,56,06-02-2020 09:12:29,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,2,нет,Тбилиси,5 гр,0.0158,9729,3835,332,154.0,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
57,57,06-02-2020 09:12:29,Tbilisi,e501bd0ada,gorilla glue 5 g,,2,нет,Тбилиси,5 гр,0.0162,11055,4358,377,175.0,True,,,,,,,,,gorilla glue 5 g
58,58,06-02-2020 09:12:29,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0205,13267,5229,452,210.0,,,,,,,,,,gashish evro 5g
59,59,06-02-2020 09:12:29,Tbilisi,dd631c4acf,❄❄5g. HQ coco Best OFFER❄❄,True,1,нет,Тбилиси,5 гр,0.0935,57552,22684,1962,911.0,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
60,60,06-02-2020 09:12:29,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0406,25207,9935,859,399.0,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
61,61,06-02-2020 09:12:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,6,нет,Тбилиси,10 гр,0.0271,16868,6648,575,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
62,62,06-02-2020 09:12:29,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",,1,нет,Тбилиси,10 гр,0.0231,15794,6225,539,250.0,True,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
63,63,06-02-2020 09:12:29,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.039,25270,9960,862,400.0,,,,,,,,,,gashish evro 10g
64,64,06-02-2020 09:12:29,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,22,нет,Тбилиси,10 гр,0.0092,6317,2490,215,100.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
65,65,06-02-2020 09:12:29,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -30 %,True,2,нет,Тбилиси,11 гр,0.11900000000000001,104616,41145,3565,,,1500.0,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -30 %
66,66,06-02-2020 09:12:29,Tbilisi,c9a56b2b4a,15x Extasy Duracell 280mg MDMA.,True,1,10,Тбилиси,15 гр,0.0457,28428,11205,969,450.0,,,,,,,,,,15x Extasy Duracell 280mg MDMA.
67,67,06-02-2020 09:12:29,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0758,49086,19347,1674,777.0,,,,,,,,,,Gashish Evro 20gr
68,68,06-02-2020 09:12:29,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr,True,2,нет,Тбилиси,22 гр,0.2063,181335,71318,6180,,,2600.0,,,,,,,,* SALE *COCAINE Peru 20+2 gr
69,69,06-02-2020 09:13:14,Tbilisi,9795761a65,Exstasy blue punisher 25 шт BTC -10%,True,1,нет,Тбилиси,25 гр,0.0786,53698,21165,1831,850.0,,,,,,,,,,Exstasy blue punisher 25 sht BTC -10%
70,70,06-02-2020 09:13:14,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0257,15794,6225,539,250.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
71,71,06-02-2020 09:13:14,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0359,22111,8715,754,350.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
72,72,06-02-2020 09:13:14,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0616,37905,14940,1292,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
73,73,06-02-2020 09:13:14,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0224,13898,5478,474,220.0,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
74,74,06-02-2020 09:13:14,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0407,25270,9960,862,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
75,75,06-02-2020 09:13:14,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0244,15162,5976,517,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
76,76,06-02-2020 09:13:14,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0254,15794,6225,539,250.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
77,77,06-02-2020 09:13:14,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1386,94761,37350,3231,1500.0,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
78,78,06-02-2020 09:13:14,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0254,15794,6225,539,250.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
