,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
43,43,02-07-2020 11:35:02,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,нет,1,Тбилиси,3 гр,0.0127,8453,3264,291,120.0,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
44,44,02-07-2020 11:35:02,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,6,Тбилиси,4 гр,0.0421,28177,10880,970,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,02-07-2020 11:35:02,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),True,нет,9,Тбилиси,4 гр,0.0126,8453,3264,291,120.0,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
46,46,02-07-2020 11:35:02,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0263,17610,6800,606,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
47,47,02-07-2020 11:35:02,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0578,38743,14960,1333,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,48,02-07-2020 11:35:02,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0284,19019,7344,655,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
49,49,02-07-2020 11:35:02,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0294,19724,7616,679,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
50,50,02-07-2020 11:35:02,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0289,19371,7480,667,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
51,51,02-07-2020 11:35:02,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0252,16906,6528,582,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
52,52,02-07-2020 11:35:02,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0294,19724,7616,679,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,53,02-07-2020 11:35:02,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0284,19019,7344,655,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
54,54,02-07-2020 11:35:02,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,15427,5957,531,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
55,55,02-07-2020 11:35:02,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,6,Тбилиси,5 гр,0.0184,12327,4760,424,175.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
56,56,02-07-2020 11:35:02,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0284,19019,7344,655,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
57,57,02-07-2020 11:35:02,Tbilisi,54915c4374,Геройн (сирец) 5 гр,True,нет,2,Тбилиси,5 гр,0.1577,105662,40800,3636,1500.0,,,,,,,,,,Gerojn (sirets) 5 gr
58,58,02-07-2020 11:35:02,Tbilisi,54915c4374,марки н-боом 5шт.,True,нет,9,Тбилиси,5 гр,0.0068,4579,1768,158,65.0,,,,,,,,,,marki n-boom 5sht.
59,59,02-07-2020 11:35:02,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2579,190000,87429,6490,,,,,,,,,,,reagent 25i nbome. 5gr
60,60,02-07-2020 11:35:02,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2868,211324,81600,7273,3000.0,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
61,61,02-07-2020 11:35:02,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,7,Тбилиси,5 гр,0.1327,87981,33973,3028,1249.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
62,62,02-07-2020 11:35:02,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,13,Тбилиси,5 гр,0.0212,14088,5440,485,200.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
63,63,02-07-2020 11:35:02,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0946,63397,24480,2182,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,02-07-2020 11:35:02,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0578,38743,14960,1333,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
65,65,02-07-2020 11:35:02,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0736,49309,19040,1697,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,02-07-2020 11:35:02,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0442,29585,11424,1018,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,67,02-07-2020 11:35:02,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0841,56353,21760,1939,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,68,02-07-2020 11:36:35,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0841,56353,21760,1939,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,69,02-07-2020 11:36:35,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,9,Тбилиси,10 гр,0.0347,23246,8976,800,330.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
70,70,02-07-2020 11:36:35,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2339,156732,60520,5394,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
71,71,02-07-2020 11:36:35,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,True,нет,2,Тбилиси,10 гр,0.2313,154971,59840,5333,2200.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
72,72,02-07-2020 11:36:35,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2653,176033,67973,6058,2499.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
73,73,02-07-2020 11:36:35,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,15,Тбилиси,10 гр,0.0425,28177,10880,970,400.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,74,02-07-2020 11:36:35,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,20,Тбилиси,20 гр,0.0849,56353,21760,1939,800.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
75,75,02-07-2020 11:36:35,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2523,169059,65280,5818,2400.0,,,,,,,,,,100 gr marijuana buds
76,76,02-07-2020 11:36:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2102,140883,54400,4849,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
77,77,02-07-2020 11:36:35,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2628,176103,68000,6061,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,78,02-07-2020 11:36:35,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6202,415604,160480,14303,5900.0,,,,,,,,,,180 gr marihuana persoalno
79,79,02-07-2020 11:36:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4835,324030,125120,11152,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
80,80,02-07-2020 11:36:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7884,528310,204000,18182,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
81,81,02-07-2020 11:36:35,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8935,598751,231200,20607,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
82,82,02-07-2020 11:36:35,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14088,5440,485,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
83,83,02-07-2020 11:36:35,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0263,17610,6800,606,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,84,02-07-2020 11:36:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.021,14088,5440,485,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,85,02-07-2020 11:36:35,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0263,17610,6800,606,250.0,,,,,,,,,,Rabota na marki (kur'er)
86,86,02-07-2020 11:36:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5911,1056620,408000,36365,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
87,87,02-07-2020 11:38:50,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,21,нет,Батуми,2 гр,0.0119,7919,3060,272,,,,,,100.0,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
88,88,02-07-2020 11:38:50,Batumi,3c4662c591,Super Critical 10G,,4,нет,Батуми,10 гр,0.0473,31699,12240,1091,450.0,,,,,,,,,True,Super Critical 10G
89,89,02-07-2020 11:38:50,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,10,Батуми,0.25 гр,0.0266,17610,6800,606,250.0,,,,,,,,True,,METADON - 0.25 - SALE
90,90,02-07-2020 11:38:50,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1577,105662,40800,3636,1500.0,,,,,,,,True,,Gerojn (sirets) 5 gr
91,91,02-07-2020 11:38:50,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2314,154971,59840,5333,2200.0,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
92,92,02-07-2020 11:38:50,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0465,30884,11934,1062,,,,,,390.0,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
93,93,02-07-2020 11:38:50,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0501,33260,12852,1144,,,,,,420.0,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
94,94,02-07-2020 11:38:50,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1687,112990,51992,3860,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
95,95,02-07-2020 11:38:50,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2671,178900,82321,6111,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
96,96,02-07-2020 11:38:50,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7044,2720,242,100.0,,,,,,,,True,,kur'er v Batumi
97,97,02-07-2020 11:38:50,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17610,6800,606,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
98,98,02-07-2020 11:38:50,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17610,6800,606,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
99,99,02-07-2020 11:38:50,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.021,14088,5440,485,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
100,100,02-07-2020 11:38:50,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5917,1056620,408000,36365,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
101,101,02-07-2020 11:38:50,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0526,35221,13600,1212,500.0,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
