,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
35,09-03-2020 21:43:11,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0205,13504,5156,448,200,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
36,09-03-2020 21:43:11,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.289,190000,87429,6311,,,,,,,,,,reagent 25i nbome. 5gr
37,09-03-2020 21:43:11,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3081,202553,77340,6719,3000,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.098,57998,22145,1924,859,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0211,12491,4769,414,185,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0558,33016,12606,1095,489,,,,,,,,,💘✨5g. MDMA ✨💘
41,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0375,22213,8482,737,329,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
42,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0205,12153,4640,403,180,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
43,09-03-2020 21:43:11,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1017,60766,23202,2016,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,09-03-2020 21:43:11,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0791,47262,18046,1568,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,09-03-2020 21:43:11,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0451,26939,10286,894,399,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,09-03-2020 21:43:11,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0399,23631,9023,784,350,,,,,,,,,10x Extasy Duracell 223mg MDMA.
47,09-03-2020 21:43:11,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0904,54014,20624,1792,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,09-03-2020 21:43:11,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2514,150226,57361,4983,2225,,,,,,,,,Amfetamin [White] [Import] 10G
49,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1653,97833,37355,3245,1449,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0421,24914,9513,826,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
51,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0341,20188,7708,670,299,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
52,09-03-2020 21:43:11,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0683,40443,15442,1342,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,09-03-2020 21:43:11,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0759,47262,18046,1568,700,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
54,09-03-2020 21:43:11,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 40g,True,нет,1,Тбилиси,40 гр,0.3615,216056,82496,7167,3200,,,,,,,,,MDMA from Europe!!! 40g
55,09-03-2020 21:43:11,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1232,81021,30936,2688,1200,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
56,09-03-2020 21:43:11,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1083,67450,25754,2237,999,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
57,09-03-2020 21:43:11,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 50g,True,нет,1,Тбилиси,50 гр,0.4519,270070,103120,8958,4000,,,,,,,,,MDMA from Europe!!! 50g
58,09-03-2020 21:43:11,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 70g,True,нет,1,Тбилиси,70 гр,1.1862,708934,270690,23516,10500,,,,,,,,,Columbia Cocaine VHQ 70g
59,09-03-2020 21:43:11,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2259,135035,51560,4479,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,09-03-2020 21:43:11,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2282,135035,51560,4479,2000,,,,,,,,,SUBOXIN - HQ - 100 G.
61,09-03-2020 21:43:11,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2824,168794,64450,5599,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,09-03-2020 21:43:11,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1712,101276,38670,3359,1500,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
63,09-03-2020 21:43:11,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5197,310581,118588,10302,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,09-03-2020 21:43:11,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8473,506381,193350,16797,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,09-03-2020 21:43:11,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9603,573899,219130,19037,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,09-03-2020 21:43:11,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0205,13504,5156,448,200,,,,,,,,,KURYER..500RUB.+BONUS
67,09-03-2020 21:43:11,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0154,10128,3867,336,150,,,,,,,,,Rabota na marki (kur'er)
