,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
35,35,27-05-2020 00:17:01,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0253,16362,6235,552,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,36,27-05-2020 00:17:01,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0219,15580,5937,526,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,37,27-05-2020 00:17:01,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0259,16718,6371,564,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,38,27-05-2020 00:17:01,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0275,17785,6778,600,250.0,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
39,39,27-05-2020 00:17:01,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2673,190000,87429,6368,,,,,,,,,,,,,reagent 25i nbome. 5gr
40,40,27-05-2020 00:17:01,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3003,213422,81330,7199,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,41,27-05-2020 00:17:01,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1066,68224,25998,2301,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
42,42,27-05-2020 00:17:01,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0211,13517,5151,456,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,43,27-05-2020 00:17:01,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0544,34788,13257,1173,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
44,44,27-05-2020 00:17:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.021,13446,5124,454,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
45,45,27-05-2020 00:17:01,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0991,64027,24399,2160,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,46,27-05-2020 00:17:01,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.044000000000000004,28456,10844,960,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
47,47,27-05-2020 00:17:01,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0771,49799,18977,1680,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,48,27-05-2020 00:17:01,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0462,29879,11386,1008,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,49,27-05-2020 00:17:01,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0149,9604,3660,324,135.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
50,50,27-05-2020 00:17:01,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0881,56913,21688,1920,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,51,27-05-2020 00:17:01,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.245,158288,60320,5339,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
52,52,27-05-2020 00:17:01,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1734,110909,42264,3741,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
53,53,27-05-2020 00:17:01,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.040999999999999995,26251,10004,885,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,54,27-05-2020 00:17:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.035,22409,8540,756,315.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
55,55,27-05-2020 00:17:01,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0439,28385,10817,957,399.0,,,,,,,,,,,,20 gr georgian weed. Package on magnet
56,56,27-05-2020 00:17:01,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.556,355704,135550,11998,5000.0,,,,,,,,,,,,METADON - 20 G.
57,57,27-05-2020 00:17:01,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0666,42613,16239,1437,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,58,27-05-2020 00:17:01,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.14300000000000002,92412,35216,3117,1299.0,,,,,,,,,,,,50 gr georgian weed. Package on magnet
59,59,27-05-2020 00:17:01,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2751,177781,67748,5996,2499.0,,,,,,,,,,,,100 gr georgian weed. Package on magnet
60,60,27-05-2020 00:17:01,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2642,170738,65064,5759,2400.0,,,,,,,,,,,,100 gr marijuana buds
61,61,27-05-2020 00:17:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2202,142282,54220,4799,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,62,27-05-2020 00:17:01,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2752,177852,67775,5999,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,27-05-2020 00:17:01,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6496,419731,159949,14157,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
64,64,27-05-2020 00:17:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5064,327248,124706,11038,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,27-05-2020 00:17:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8257,533556,203325,17996,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,27-05-2020 00:17:01,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9358,604697,230435,20396,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,27-05-2020 00:17:01,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.02,14228,5422,480,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
