,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Тбилиси,Vake,Дигоми,Авлобари,Gldani,Varketili,Didube,€,Центр,Батуми,Кутаиси,desc_en
32,32,04-05-2020 22:25:09,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0327,23272,8688,773,320.0,,True,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
33,33,04-05-2020 22:25:09,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0316,21818,8145,724,300.0,,True,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
34,34,04-05-2020 22:25:09,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0188,12727,4751,423,175.0,,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
35,35,04-05-2020 22:25:09,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,,1,нет,Тбилиси,5 гр,0.0171,11636,4344,386,160.0,,True,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
36,36,04-05-2020 22:25:36,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0409,29091,10860,966,400.0,,True,,,,,,,,,,,gashish evro 10g
37,37,04-05-2020 22:25:36,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.0432,29454,10996,978,405.0,,True,,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
38,38,04-05-2020 22:25:36,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0795,56508,21096,1876,777.0,,True,,,,,,,,,,,Gashish Evro 20gr
39,39,04-05-2020 22:25:36,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1937,145453,54300,4829,2000.0,,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,40,04-05-2020 22:25:36,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,True,1,нет,Тбилиси,100 гр,0.18100000000000002,123562,46128,4102,1699.0,,,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
41,41,04-05-2020 22:25:36,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",,нет,13,Тбилиси,0.2 гр,0.0042,2836,1059,94,39.0,,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
42,42,04-05-2020 22:25:36,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",,нет,7,Тбилиси,1 гр,0.0171,11636,4344,386,160.0,,True,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
43,43,04-05-2020 22:25:36,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,2,Тбилиси,1 гр,0.0144,9818,3665,326,135.0,,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
44,44,04-05-2020 22:25:36,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Тбилиси,1 гр,0.0348,26109,9768,867,,,True,,,,,,,330.0,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
45,45,04-05-2020 22:25:36,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",,нет,41,Тбилиси,2 гр,0.0037,2545,950,85,35.0,,True,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
46,46,04-05-2020 22:25:36,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0226,15273,5702,507,210.0,,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
47,47,04-05-2020 22:25:36,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0397,26836,10018,891,369.0,,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
48,48,04-05-2020 22:25:36,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0623,42109,15720,1398,579.0,,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
49,49,04-05-2020 22:25:36,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0426,29091,10860,966,400.0,,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
50,50,04-05-2020 22:25:36,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,,нет,6,Тбилиси,4 гр,0.0064,4364,1629,145,60.0,,True,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
51,51,04-05-2020 22:25:36,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0586,39999,14933,1328,550.0,,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
52,52,04-05-2020 22:25:36,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,10,Тбилиси,5 гр,0.025,17091,6380,567,235.0,,True,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
53,53,04-05-2020 22:25:36,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,7,Тбилиси,5 гр,0.0256,17454,6516,579,240.0,,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
54,54,04-05-2020 22:25:36,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,5 гр,0.0245,16727,6245,555,230.0,,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
55,55,04-05-2020 22:25:36,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,3,Тбилиси,5 гр,0.0256,17454,6516,579,240.0,,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
56,56,04-05-2020 22:25:36,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,5,Тбилиси,5 гр,0.0256,17454,6516,579,240.0,,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
57,57,04-05-2020 22:25:36,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0256,17454,6516,579,240.0,,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
58,58,04-05-2020 22:25:36,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,нет,10,Тбилиси,5 гр,0.0256,17454,6516,579,240.0,,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
59,59,04-05-2020 22:25:36,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0245,16727,6245,555,230.0,,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,60,04-05-2020 22:25:36,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0212,15927,5946,529,219.0,,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,61,04-05-2020 22:25:36,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.025,17091,6380,567,235.0,,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
62,62,04-05-2020 22:25:36,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,,нет,1,Тбилиси,5 гр,0.0171,11636,4344,386,160.0,,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
63,63,04-05-2020 22:25:36,Tbilisi,54915c4374,"Марки Н-ВоооооМ!!!! ""Джокер экспресс"" 5 штук",,нет,73,Тбилиси,5 гр,0.0053,3636,1358,121,50.0,,True,,,,,,,,,,,"Marki N-VoooooM!!!! ""Dzhoker ekspress"" 5 shtuk"
64,64,04-05-2020 22:25:36,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2531,190000,87429,6306,,,True,,,,,,,,,,,reagent 25i nbome. 5gr
65,65,04-05-2020 22:25:36,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2906,218179,81450,7243,3000.0,True,,,,True,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
66,66,04-05-2020 22:25:36,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.1032,69745,26037,2315,959.0,,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
67,67,04-05-2020 22:25:36,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,3,Тбилиси,5 гр,0.0203,13745,5131,456,189.0,,True,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
68,68,04-05-2020 22:25:36,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0204,13818,5159,459,190.0,,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,69,04-05-2020 22:25:36,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0526,35563,13276,1181,489.0,,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
70,70,04-05-2020 22:26:21,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0204,13818,5159,459,190.0,,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
71,71,04-05-2020 22:26:21,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0526,35563,13276,1181,489.0,,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
72,72,04-05-2020 22:26:21,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0203,13745,5131,456,189.0,,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
73,73,04-05-2020 22:26:21,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,8,Тбилиси,10 гр,0.0117,8000,2987,266,110.0,,True,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
74,74,04-05-2020 22:26:21,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0958,65454,24435,2173,900.0,,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
75,75,04-05-2020 22:26:21,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0426,29091,10860,966,400.0,,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
76,76,04-05-2020 22:26:21,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0745,50908,19005,1690,700.0,,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
77,77,04-05-2020 22:26:21,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0341,23272,8688,773,320.0,,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
78,78,04-05-2020 22:26:21,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.0106,7273,2715,241,100.0,,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
79,79,04-05-2020 22:26:21,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.0851,58181,21720,1931,800.0,,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
80,80,04-05-2020 22:26:21,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,1,Тбилиси,10 гр,0.0309,21091,7874,700,290.0,,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
81,81,04-05-2020 22:26:21,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2368,161816,60409,5372,2225.0,,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
82,82,04-05-2020 22:26:21,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1676,113380,42327,3764,1559.0,,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
83,83,04-05-2020 22:26:21,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0397,26836,10018,891,369.0,,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
84,84,04-05-2020 22:26:21,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5374,363632,135750,12072,5000.0,,True,,,,,,,,,,,METADON - 20 G.
85,85,04-05-2020 22:26:21,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0644,43563,16263,1446,599.0,,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
86,86,04-05-2020 22:26:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1171,79999,29865,2656,1100.0,,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
87,87,04-05-2020 22:26:21,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2554,174543,65160,5794,2400.0,,True,,,,,,,,,,,100 gr marijuana buds
88,88,04-05-2020 22:26:21,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,2,Тбилиси,100 гр,0.3192,218179,81450,7243,3000.0,,True,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
89,89,04-05-2020 22:26:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2128,145453,54300,4829,2000.0,,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
90,90,04-05-2020 22:26:21,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.266,181816,67875,6036,2500.0,,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
91,91,04-05-2020 22:26:21,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6278,429085,160185,14244,5900.0,,True,,,,,,,,,,,180 gr marihuana persoalno
92,92,04-05-2020 22:26:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4895,334541,124890,11106,4600.0,,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
93,93,04-05-2020 22:26:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7981,545447,203625,18107,7500.0,,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
94,94,04-05-2020 22:26:21,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9045,618174,230775,20522,8500.0,,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
95,95,04-05-2020 22:26:21,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0193,14545,5430,483,200.0,,True,,,,,,,,,,,KURYER..500RUB.+BONUS
96,96,04-05-2020 22:26:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0213,14545,5430,483,200.0,,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
97,97,04-05-2020 22:26:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0266,18182,6788,604,250.0,,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
98,98,04-05-2020 22:26:21,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0213,14545,5430,483,200.0,,True,,,,,,,,,,,Rabota na marki (kur'er)
99,99,04-05-2020 22:26:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6107,1090895,407250,36215,15000.0,,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
100,100,04-05-2020 22:27:34,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0037,2532,947,84,,,,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
101,101,04-05-2020 22:27:34,Batumi,54915c4374,Батуми н-бооом 3 штуки,,2,нет,Батуми,3 гр,0.0052,3560,1332,118,,,,,,,,,,45.0,True,,,Batumi n-booom 3 shtuki
102,102,04-05-2020 22:27:34,Batumi,54915c4374,Батуми н-бооом 5 штук,,1,нет,Батуми,5 гр,0.0063,4747,1776,158,,,,,,,,,,60.0,,True,,Batumi n-booom 5 shtuk
