,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
49,49,09-03-2020 10:15:13,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0215,12491,4649,414,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,50,09-03-2020 10:15:13,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0568,33016,12289,1095,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
51,51,09-03-2020 10:15:13,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0382,22213,8268,737,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
52,52,09-03-2020 10:15:13,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0209,12153,4523,403,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
53,53,09-03-2020 10:15:13,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1034,60766,22617,2016,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,09-03-2020 10:15:13,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0804,47262,17591,1568,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,55,09-03-2020 10:15:13,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0459,26939,10027,894,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,56,09-03-2020 10:15:13,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0406,23631,8796,784,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
57,57,09-03-2020 10:15:13,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0919,54014,20104,1792,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,09-03-2020 10:15:13,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2557,150226,55914,4983,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,09-03-2020 10:15:13,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1682,97833,36413,3245,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,60,09-03-2020 10:15:13,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0428,24914,9273,826,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,61,09-03-2020 10:15:13,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0347,20188,7514,670,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
