,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Gldani,Old Tbilisi (Старый город),Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
20,20,04-05-2020 03:44:08,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%",,2,нет,Тбилиси,1 гр,0.0047,3564,1333,118,49.0,,,True,True,,,,,,,,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%"
21,21,04-05-2020 03:44:08,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0253,17454,6528,579,240.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
22,22,04-05-2020 03:44:08,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,7,нет,Тбилиси,1 гр,0.0044,2982,1115,99,41.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
23,23,04-05-2020 03:44:08,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0243,16654,6229,553,229.0,,,,,True,,,,,,,Kokain KOLUMBIA 1g
24,24,04-05-2020 03:44:08,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.087,65454,24480,2173,900.0,,,,,,,,,,,,Metadon 1gr
25,25,04-05-2020 03:44:08,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0257,17382,6501,577,239.0,,True,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
26,26,04-05-2020 03:44:08,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,5,нет,Тбилиси,1.5 гр,0.0068,5091,1904,169,70.0,,,True,True,,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
27,27,04-05-2020 03:44:08,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,5,нет,Тбилиси,2 гр,0.0096,6473,2421,215,89.0,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
28,28,04-05-2020 03:44:08,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,2 гр,0.0096,6473,2421,215,89.0,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
29,29,04-05-2020 03:44:08,Tbilisi,4659482266,2g super Skunk top class buds.,,7,нет,Тбилиси,2 гр,0.0091,6182,2312,205,85.0,,,,True,,,,,,,,2g super Skunk top class buds.
30,30,04-05-2020 03:44:08,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0075,5091,1904,169,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
31,31,04-05-2020 03:44:08,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,7,нет,Тбилиси,2 гр,0.0095,6473,2421,215,89.0,,,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
32,32,04-05-2020 03:44:08,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,4,нет,Тбилиси,2 гр,0.0505,34909,13056,1159,480.0,,,,,,,,,,,,VHQ BEST Cocaine 2g.
33,33,04-05-2020 03:44:08,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.009000000000000001,6182,2312,205,85.0,,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
34,34,04-05-2020 03:44:08,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0128,8654,3237,287,119.0,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
35,35,04-05-2020 03:44:08,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0128,8654,3237,287,119.0,,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
36,36,04-05-2020 03:44:52,Tbilisi,4659482266,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0128,8654,3237,287,119.0,,,,True,,,,,,,,3g superskunk top class buds.
37,37,04-05-2020 03:44:52,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0113,7636,2856,254,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
38,38,04-05-2020 03:44:52,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,8,нет,Тбилиси,3 гр,0.0106,7273,2720,241,100.0,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
39,39,04-05-2020 03:44:52,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0128,8654,3237,287,119.0,,True,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
40,40,04-05-2020 03:44:52,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0039,2909,1088,97,40.0,,True,,,,,,,,,,Suboxene 4mg
41,41,04-05-2020 03:44:52,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0326,23272,8704,773,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
42,42,04-05-2020 03:44:52,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0316,21818,8160,724,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
43,43,04-05-2020 03:44:52,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0188,12727,4760,423,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
44,44,04-05-2020 03:44:52,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,4,нет,Тбилиси,5 гр,0.017,11636,4352,386,160.0,,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
45,45,04-05-2020 03:44:52,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,4,нет,Тбилиси,10 гр,0.0404,27636,10336,917,380.0,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
46,46,04-05-2020 03:44:52,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0408,29091,10880,966,400.0,,,,,,,,,,,,gashish evro 10g
47,47,04-05-2020 03:44:52,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,7,нет,Тбилиси,20 гр,0.0431,29454,11016,978,405.0,,,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
48,48,04-05-2020 03:44:52,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0793,56508,21134,1876,777.0,,,,,,,,,,,,Gashish Evro 20gr
49,49,04-05-2020 03:44:52,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1933,145453,54400,4829,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
50,50,04-05-2020 03:44:52,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,13,Тбилиси,0.2 гр,0.0041,2836,1061,94,39.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
51,51,04-05-2020 03:44:52,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.017,11636,4352,386,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
52,52,04-05-2020 03:44:52,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0144,9818,3672,326,135.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
53,53,04-05-2020 03:44:52,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0347,26109,9801,867,,,,,,,,330.0,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
54,54,04-05-2020 03:44:52,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,43,Тбилиси,2 гр,0.0037,2545,952,85,35.0,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
55,55,04-05-2020 03:44:52,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0225,15273,5712,507,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
56,56,04-05-2020 03:44:52,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0396,26836,10037,891,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
57,57,04-05-2020 03:44:52,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0622,42109,15749,1398,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
58,58,04-05-2020 03:44:52,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0425,29091,10880,966,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
59,59,04-05-2020 03:44:52,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,6,Тбилиси,4 гр,0.0064,4364,1632,145,60.0,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
60,60,04-05-2020 03:44:52,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0585,39999,14960,1328,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
61,61,04-05-2020 03:44:52,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.025,17091,6392,567,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
62,62,04-05-2020 03:44:52,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0255,17454,6528,579,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
63,63,04-05-2020 03:44:52,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0245,16727,6256,555,230.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
