,time_stamp,region,sell_code,sell_name,description,Тбилиси,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Vake,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,€,Авлобари,Батуми,Центр,desc_en
67,20-06-2020 01:38:44,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,True,,нет,3,Тбилиси,20 гр,0.1407,104359,40350,3573,1500,,,,,,,,,,,,✨💘20g MDMA💘✨
68,20-06-2020 01:38:44,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,,нет,9,Тбилиси,20 гр,0.0624,41674,16113,1427,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
69,20-06-2020 01:39:26,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,,нет,5,Тбилиси,50 гр,0.1341,90375,34943,3094,1299,,,,,,,,,,,,50 gr georgian weed. Package on magnet
70,20-06-2020 01:39:26,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,,нет,4,Тбилиси,100 гр,0.258,173862,67223,5952,2499,,,,,,,,,,,,100 gr georgian weed. Package on magnet
71,20-06-2020 01:39:26,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,,нет,1,Тбилиси,100 гр,0.2477,166974,64560,5716,2400,,,,,,,,,,,,100 gr marijuana buds
72,20-06-2020 01:39:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,,нет,1,Тбилиси,100 гр,0.2065,139145,53800,4763,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,20-06-2020 01:39:26,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,,1,1,Тбилиси,100 гр,0.2581,173931,67250,5954,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,20-06-2020 01:39:26,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,,нет,1,Тбилиси,180 гр,0.609,410478,158710,14052,5900,,,,,,,,,,,,180 gr marihuana persoalno
75,20-06-2020 01:39:26,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,,нет,4,Тбилиси,200 гр,0.4427,295683,114325,10122,4250,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
76,20-06-2020 01:39:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,,нет,1,Тбилиси,250 гр,0.4748,320034,123740,10956,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,20-06-2020 01:39:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,,нет,1,Тбилиси,500 гр,0.7742,521794,201750,17863,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
