,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
23,23,12-04-2020 18:39:57,Tbilisi,4659482266,3g superskunk top class buds. Indica,,2,нет,Тбилиси,3 гр,0.0165,8998,3343,302,122.0,,,True,,,,,,,3g superskunk top class buds. Indica
24,24,12-04-2020 18:39:57,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,1,нет,Тбилиси,4 гр,0.008,4844,1797,162,,,60.0,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
25,25,12-04-2020 18:39:57,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0268,14603,5425,490,198.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
26,26,12-04-2020 18:39:57,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.027000000000000003,14677,5453,493,199.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
27,27,12-04-2020 18:39:57,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0412,23600,8768,792,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
28,28,12-04-2020 18:39:57,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0398,22125,8220,743,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
29,29,12-04-2020 18:39:57,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,2,нет,Тбилиси,5 гр,0.0515,29501,10960,990,400.0,,,,,,,,,,5g MDMA (IMPORTED)
30,30,12-04-2020 18:39:57,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,3,нет,Тбилиси,5 гр,0.018000000000000002,9883,3672,332,134.0,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
31,31,12-04-2020 18:39:57,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0268,14603,5425,490,198.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
32,32,12-04-2020 18:39:57,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0263,14308,5316,480,194.0,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
33,33,12-04-2020 18:39:57,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,True,2,нет,Тбилиси,5 гр,0.0093,5652,2097,189,,,70.0,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
34,34,12-04-2020 18:39:57,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0067,4056,1507,136,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,12-04-2020 18:40:53,Tbilisi,f8a875c191,METADON - 0.27 G.,True,нет,8,Тбилиси,0.27 гр,0.0309,16742,6220,562,227.0,,,,,,,,,,METADON - 0.27 G.
36,36,12-04-2020 18:40:53,Tbilisi,2f51af8159,"VHQ Cocaine Medelins Cartel 0,5 g SALE",,нет,4,Тбилиси,0.5 гр,0.0112,6121,2274,205,83.0,True,,,,,,,,,"VHQ Cocaine Medelins Cartel 0,5 g SALE"
37,37,12-04-2020 18:40:53,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,5,Тбилиси,1 гр,0.005,2729,1014,92,37.0,True,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
38,38,12-04-2020 18:40:53,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,1,10,Тбилиси,1 гр,0.0398,26919,10001,903,365.0,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
39,39,12-04-2020 18:40:53,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 1.5 грамма (порошок),True,нет,1,Тбилиси,1.5 гр,0.0201,12110,4493,406,,,150.0,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1.5 gramma (poroshok)
40,40,12-04-2020 18:40:53,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0502,27214,10111,913,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,41,12-04-2020 18:40:53,Tbilisi,2f51af8159,Cocaine Medelins Cartel SALE!!! 2.5G,,нет,1,Тбилиси,2.5 гр,0.0485,26551,9864,891,360.0,True,,,,,,,,,Cocaine Medelins Cartel SALE!!! 2.5G
42,42,12-04-2020 18:40:53,Tbilisi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0404,24338,9042,817,330.0,True,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
43,43,12-04-2020 18:40:53,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0803,43513,16166,1460,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,44,12-04-2020 18:40:53,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0539,29501,10960,990,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,12-04-2020 18:40:53,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0216,11800,4384,396,160.0,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
46,46,12-04-2020 18:40:53,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0742,40563,15070,1361,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,47,12-04-2020 18:40:53,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0229,12538,4658,421,170.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,48,12-04-2020 18:40:53,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0268,14677,5453,493,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,49,12-04-2020 18:40:53,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0268,14677,5453,493,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,50,12-04-2020 18:40:53,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0268,16152,6001,542,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,51,12-04-2020 18:40:53,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0268,14677,5453,493,199.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,52,12-04-2020 18:40:53,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.047,28258,10483,947,,,350.0,,,,,,,,MDMA 5 gr!!!
53,53,12-04-2020 18:40:53,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3158,190000,87429,6379,,,,,,,,,,,reagent 25i nbome. 5gr
54,54,12-04-2020 18:40:53,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3677,221255,82200,7426,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,12-04-2020 18:40:53,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1183,64090,23811,2151,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,12-04-2020 18:40:53,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0259,14013,5206,470,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,57,12-04-2020 18:40:53,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0666,36064,13399,1210,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
58,58,12-04-2020 18:40:53,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0257,13939,5179,468,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
59,59,12-04-2020 18:40:53,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1213,66376,24660,2228,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
60,60,12-04-2020 18:40:53,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0944,51626,19180,1733,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,61,12-04-2020 18:40:53,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0431,23600,8768,792,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,62,12-04-2020 18:40:53,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1079,59001,21920,1980,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,63,12-04-2020 18:40:53,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3,164097,60965,5507,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
64,64,12-04-2020 18:40:53,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,нет,3,Тбилиси,10 гр,0.0134,8074,2995,271,,,100.0,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
65,65,12-04-2020 18:40:53,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1973,106866,39703,3587,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
66,66,12-04-2020 18:40:53,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0502,27214,10111,913,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
67,67,12-04-2020 18:41:45,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,2,7,Тбилиси,20 гр,0.0547,29869,11097,1002,405.0,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
68,68,12-04-2020 18:41:45,Tbilisi,28bf667d16,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4429,241831,89845,8116,3279.0,,,,,,,,,,Cocaine Fishscale 20g
69,69,12-04-2020 18:41:45,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0817,44177,16413,1483,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,12-04-2020 18:41:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1486,81127,30140,2723,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
71,71,12-04-2020 18:41:45,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3242,177004,65760,5940,2400.0,,,,,,,,,,100 gr marijuana buds
72,72,12-04-2020 18:41:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2702,147503,54800,4950,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,73,12-04-2020 18:41:45,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.2729,147503,54800,4950,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
74,74,12-04-2020 18:41:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3377,184379,68500,6188,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,12-04-2020 18:41:45,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,2,Тбилиси,200 гр,0.4255,232317,86310,7797,3150.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
76,76,12-04-2020 18:41:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6214,339257,126040,11386,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,77,12-04-2020 18:41:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0131,553136,205500,18564,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
78,78,12-04-2020 18:41:45,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1482,626888,232900,21039,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
79,79,12-04-2020 18:41:45,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0246,14750,5480,495,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
80,80,12-04-2020 18:41:45,Tbilisi,2f51af8159,Ищу Курьер с минимальним залогом только марихуана,True,1,нет,Тбилиси,1 гр,0.0162,8850,3288,297,120.0,,,,,,,,,,Ischu Kur'er s minimal'nim zalogom tol'ko marihuana
81,81,12-04-2020 18:41:45,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.027000000000000003,14750,5480,495,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
82,82,12-04-2020 18:41:45,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0338,18438,6850,619,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
83,83,12-04-2020 18:41:45,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0447,1106273,411000,37128,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
84,84,12-04-2020 18:43:25,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2936,162253,60280,5445,2200.0,,,,,,,True,,,[100g] SPAIN HASH
85,85,12-04-2020 18:43:25,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.04,24338,9042,817,330.0,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
86,86,12-04-2020 18:43:25,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2696,147503,54800,4950,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
87,87,12-04-2020 18:43:25,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0121,7375,2740,248,100.0,,,,,,,True,,,kur'er v Batumi
88,88,12-04-2020 18:43:25,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0303,18438,6850,619,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
89,89,12-04-2020 18:43:25,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0303,18438,6850,619,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
90,90,12-04-2020 18:43:25,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0199,1106273,411000,37128,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
91,91,12-04-2020 18:43:25,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0667,36876,13700,1238,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,92,12-04-2020 18:44:40,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0192,10694,3973,359,145.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,93,12-04-2020 18:44:40,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0482,26919,10001,903,365.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
94,94,12-04-2020 18:44:40,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0363,20282,7535,681,275.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
