,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Центр,Батуми,desc_en
26,26,04-08-2020 03:01:19,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬,True,1,нет,Тбилиси,1 гр,0.0049,4079,1537,135,55.0,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 1pc🍬🍬🍬
27,27,04-08-2020 03:01:19,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0106,8899,3354,294,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
28,28,04-08-2020 03:01:19,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0106,8899,3354,294,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,04-08-2020 03:01:19,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0078,6526,2460,215,88.0,,,,,,,,,,,2gr HYBRID buds
30,30,04-08-2020 03:01:19,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,1,нет,Тбилиси,2 гр,0.0088,8157,3075,269,110.0,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
31,31,04-08-2020 03:01:19,Tbilisi,ae784bef73,Maserati (ecstasy) 2шт,True,3,нет,Тбилиси,2 гр,0.0088,7416,2795,245,100.0,,,,,,,,,,,Maserati (ecstasy) 2sht
32,32,04-08-2020 03:01:19,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,5,нет,Тбилиси,2.2 гр,0.0221,18540,6988,612,250.0,,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
33,33,04-08-2020 03:01:19,Tbilisi,4a91350669,3 ecstasy red maseratti VHQ екстази импорт с США,True,2,нет,Тбилиси,3 гр,0.0133,11124,4193,367,150.0,,,,,,,,,,,3 ecstasy red maseratti VHQ ekstazi import s SShA
34,34,04-08-2020 03:01:19,Tbilisi,c47f675e02,3 gram + skunk auto шишки,,1,нет,Тбилиси,3 гр,0.0115,10011,3773,330,135.0,,,True,,,,,,,,3 gram + skunk auto shishki
35,35,04-08-2020 03:02:25,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0072,6674,2516,220,90.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
36,36,04-08-2020 03:02:25,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,8,нет,Тбилиси,5 гр,0.0221,18540,6988,612,250.0,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
37,37,04-08-2020 03:02:25,Tbilisi,c47f675e02,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0399,34855,13137,1150,470.0,,,,,,,,,,,LSD-25 shishki 10gram
38,38,04-08-2020 03:02:25,Tbilisi,fccfd69694,Мощные Кексы / Marijuana cupcakes (75g),True,2,нет,Тбилиси,75 гр,0.0022,1854,699,61,25.0,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
39,39,04-08-2020 03:02:25,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,нет,3,Тбилиси,1 гр,0.0052,4375,1649,144,59.0,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
40,40,04-08-2020 03:02:25,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,2,Тбилиси,4.4 гр,0.0425,35596,13416,1175,480.0,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
41,41,04-08-2020 03:02:25,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0221,18540,6988,612,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
42,42,04-08-2020 03:02:25,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0239,20023,7547,661,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
43,43,04-08-2020 03:02:25,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0243,20394,7686,673,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
44,44,04-08-2020 03:02:25,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0212,17798,6708,587,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
45,45,04-08-2020 03:02:25,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0248,20764,7826,685,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
46,46,04-08-2020 03:02:25,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0239,20023,7547,661,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,47,04-08-2020 03:02:25,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0176,16241,6121,536,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
48,48,04-08-2020 03:02:25,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0193,17798,6708,587,240.0,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
49,49,04-08-2020 03:02:25,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0239,20023,7547,661,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,50,04-08-2020 03:02:25,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.20600000000000002,190000,87429,6269,,,,,,,,,,,,reagent 25i nbome. 5gr
51,51,04-08-2020 03:02:25,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2413,222476,83850,7343,3000.0,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
52,52,04-08-2020 03:02:25,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0487,40787,15373,1346,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,04-08-2020 03:02:25,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0619,51911,19565,1713,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,04-08-2020 03:02:25,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0372,31147,11739,1028,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,04-08-2020 03:02:25,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0708,59327,22360,1958,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,04-08-2020 03:02:25,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,3,Тбилиси,10 гр,0.0372,31147,11739,1028,420.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
57,57,04-08-2020 03:02:25,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1968,165003,62189,5446,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
58,58,04-08-2020 03:02:25,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0462,38379,14432,1266,,,,,,,440.0,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
59,59,04-08-2020 03:02:25,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0409,34018,12792,1122,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,60,04-08-2020 03:02:25,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0523,48203,18168,1591,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
61,61,04-08-2020 03:02:25,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2123,177981,67080,5874,2400.0,,,,,,,,,,,100 gr marijuana buds
62,62,04-08-2020 03:02:25,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0088,7342,2767,242,99.0,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
63,63,04-08-2020 03:02:25,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2212,185397,69875,6119,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,04-08-2020 03:02:25,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5219,437536,164905,14440,5900.0,,,,,,,,,,,180 gr marihuana persoalno
65,65,04-08-2020 03:02:25,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0215,18000,8283,594,,,,,,,,True,,,,GABAGAMA 250 shtuk
66,66,04-08-2020 03:02:25,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.0885,74159,27950,2448,1000.0,,,True,,True,,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
67,67,04-08-2020 03:02:25,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7519,630348,237575,20804,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,04-08-2020 03:02:25,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0161,14832,5590,490,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,04-08-2020 03:03:21,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0221,18540,6988,612,250.0,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
70,70,04-08-2020 03:03:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0221,18540,6988,612,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,04-08-2020 03:03:21,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0483,44495,16770,1469,600.0,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
72,72,04-08-2020 03:03:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0177,14832,5590,490,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,04-08-2020 03:03:21,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,2,Тбилиси,1 гр,0.0221,18540,6988,612,250.0,,,,,,,,,,,Rabota na marki (kur'er)
74,74,04-08-2020 03:03:21,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0442,37079,13975,1224,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
75,75,04-08-2020 03:03:21,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0442,37079,13975,1224,500.0,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
76,76,04-08-2020 03:03:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.339,1112379,419250,36713,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,04-08-2020 03:03:21,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0442,37079,13975,1224,500.0,,,True,True,,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
78,78,04-08-2020 03:05:28,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,2,нет,Батуми,0.4 гр,0.0241,19975,7511,659,,,,,,,229.0,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
79,79,04-08-2020 03:05:28,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,9,нет,Батуми,2 гр,0.0029,2447,922,81,33.0,,,,,,,,,,True,Melkie shishki (Indica) 2g
80,80,04-08-2020 03:05:28,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0354,29663,11180,979,400.0,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
81,81,04-08-2020 03:05:28,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0463,38379,14432,1266,,,,,,,440.0,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
82,82,04-08-2020 03:05:28,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0268,22248,8385,734,300.0,,,,,,,,,,True,METADON - 0.30 - SALE
83,83,04-08-2020 03:05:28,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.040999999999999995,34018,12792,1122,,,,,,,390.0,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,84,04-08-2020 03:05:28,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0081,7416,2795,245,100.0,,,,,,,,,,True,kur'er v Batumi
85,85,04-08-2020 03:05:28,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0201,18540,6988,612,250.0,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
86,86,04-08-2020 03:05:28,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0201,18540,6988,612,250.0,,,,,,,,,,True,Ischu kur'era v Gruzii!
87,87,04-08-2020 03:05:28,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0177,14832,5590,490,200.0,,,,,,,,,,True,Kur'er Batumi na marihuanu
88,88,04-08-2020 03:05:28,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3405,1112379,419250,36713,15000.0,,,,,,,,,,True,Vakansija optovogo kur'era na mef
89,89,04-08-2020 03:05:28,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0443,37079,13975,1224,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
