,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
82,13-03-2020 22:23:52,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2478,106050,38848,3401,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
83,13-03-2020 22:23:52,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0631,27006,9893,866,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
84,13-03-2020 22:23:52,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0511,21883,8016,702,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
85,13-03-2020 22:23:52,Tbilisi,EIH4,San4oPan4o,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2878,124420,45577,3991,1700,,,,,,,,,,,MDMA 20 g
86,13-03-2020 22:23:52,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.1024,43840,16059,1406,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
87,13-03-2020 22:23:52,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1137,51232,18767,1643,700,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
88,13-03-2020 22:23:52,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1847,87826,32172,2817,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
89,13-03-2020 22:23:52,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1623,73115,26783,2345,999,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
90,13-03-2020 22:23:52,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3386,146376,53620,4695,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
91,13-03-2020 22:23:52,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.342,146376,53620,4695,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
92,13-03-2020 22:23:52,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4232,182971,67025,5869,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
93,13-03-2020 22:23:52,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2565,109782,40215,3521,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
94,13-03-2020 22:23:52,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7788,336666,123326,10798,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
95,13-03-2020 22:23:52,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2697,548912,201075,17606,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
96,13-03-2020 22:23:52,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.439,622100,227885,19953,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
97,13-03-2020 22:23:52,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0308,14638,5362,469,200,,,,,,,,,,,KURYER..500RUB.+BONUS
98,13-03-2020 22:23:52,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0231,10978,4022,352,150,,,,,,,,,,,Rabota na marki (kur'er)
99,13-03-2020 22:23:52,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0339,14638,5362,469,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
100,13-03-2020 22:23:52,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0423,18297,6703,587,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
101,13-03-2020 22:24:39,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.5626,1097823,402150,35211,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
102,13-03-2020 22:25:50,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,18,нет,Батуми,1 гр,0.0308,14638,5362,469,200,,,,,,,,True,,,NZT-52 limited 1 g muka
103,13-03-2020 22:25:50,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0554,26348,9652,845,360,,,,,,,,True,,,NZT-52 limited 2g muka
