,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
34,34,24-05-2020 22:54:31,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0217,15742,5924,525,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,35,24-05-2020 22:54:31,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0256,16892,6357,564,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,36,24-05-2020 22:54:31,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0272,17970,6763,600,250.0,,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
37,37,24-05-2020 22:54:31,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,1,Тбилиси,5 гр,0.2614,190000,87429,6351,,,,,,,,,,,,,reagent 25i nbome. 5gr
38,38,24-05-2020 22:54:31,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2966,215641,81150,7196,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
39,39,24-05-2020 22:54:31,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1053,68933,25941,2300,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
40,40,24-05-2020 22:54:31,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0209,13657,5140,456,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
41,41,24-05-2020 22:54:31,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0537,35150,13227,1173,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
42,42,24-05-2020 22:54:31,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0208,13585,5112,453,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
43,43,24-05-2020 22:54:31,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0979,64692,24345,2159,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,44,24-05-2020 22:54:31,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0435,28752,10820,959,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
45,45,24-05-2020 22:54:31,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0761,50316,18935,1679,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,46,24-05-2020 22:54:31,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0457,30190,11361,1007,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,47,24-05-2020 22:54:31,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0147,9704,3652,324,135.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
48,48,24-05-2020 22:54:31,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.087,57504,21640,1919,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,24-05-2020 22:54:31,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.242,159934,60186,5337,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
50,50,24-05-2020 22:54:31,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1713,112062,42171,3739,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
51,51,24-05-2020 22:54:31,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0405,26524,9981,885,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
