,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Батуми,Центр,desc_en
28,28,05-08-2020 11:08:59,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,15,нет,Тбилиси,1 гр,0.0035,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
29,29,05-08-2020 11:08:59,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.0032,3009,1146,100,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
30,30,05-08-2020 11:08:59,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.005,4256,1621,141,58.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
31,31,05-08-2020 11:08:59,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,5,нет,Тбилиси,1 гр,0.0055,4623,1761,154,63.0,,,True,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
32,32,05-08-2020 11:08:59,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0051,4329,1649,144,59.0,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
33,33,05-08-2020 11:08:59,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0044,3669,1398,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
34,34,05-08-2020 11:08:59,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,5,нет,Тбилиси,2 гр,0.0087,7265,2767,242,99.0,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
35,35,05-08-2020 11:08:59,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.0095,7998,3047,266,109.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
36,36,05-08-2020 11:10:18,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0076,6458,2460,215,88.0,,,,,,,,,,,,2gr HYBRID buds
37,37,05-08-2020 11:10:18,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0104,8806,3354,293,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
38,38,05-08-2020 11:10:18,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0087,8072,3075,268,110.0,,,,True,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
39,39,05-08-2020 11:10:18,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,5,нет,Тбилиси,2 гр,0.0087,7265,2767,242,99.0,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
40,40,05-08-2020 11:10:18,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,5,нет,Тбилиси,2 гр,0.0087,7265,2767,242,99.0,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
41,41,05-08-2020 11:10:18,Tbilisi,64284550d9,3G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,3 гр,0.0122,10273,3913,342,140.0,True,,,,,,,,,,,3G ---> Big Devil (BTC - Sale)
42,42,05-08-2020 11:10:18,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0071,6604,2516,220,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
43,43,05-08-2020 11:10:18,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,7,нет,Тбилиси,5 гр,0.0217,18345,6988,610,250.0,,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
44,44,05-08-2020 11:10:18,Tbilisi,c47f675e02,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0309,27151,10342,903,370.0,,,,,,,,,,,,LSD-25 shishki 10gram
45,45,05-08-2020 11:10:18,Tbilisi,7bd1a5deba,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.0165,15337,5842,510,209.0,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
46,46,05-08-2020 11:10:18,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (1 грамм)",True,нет,20,Тбилиси,1 гр,0.0043,3669,1398,122,50.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (1 gramm)"
47,47,05-08-2020 11:10:18,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,9,Тбилиси,3 гр,0.0122,10273,3913,342,140.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
48,48,05-08-2020 11:10:18,Tbilisi,54915c4374,марки н-боом 3 шт.,True,нет,47,Тбилиси,3 гр,0.0043,3596,1370,120,49.0,,,,,,,,,,,,marki n-boom 3 sht.
49,49,05-08-2020 11:10:18,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0217,18345,6988,610,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
50,50,05-08-2020 11:10:18,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0235,19813,7547,659,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
51,51,05-08-2020 11:10:18,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0239,20180,7686,671,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
52,52,05-08-2020 11:10:18,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0209,17611,6708,585,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
53,53,05-08-2020 11:10:18,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0243,20547,7826,683,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
54,54,05-08-2020 11:10:18,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0235,19813,7547,659,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
55,55,05-08-2020 11:10:18,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0173,16070,6121,534,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
56,56,05-08-2020 11:10:18,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.019,17611,6708,585,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
57,57,05-08-2020 11:10:18,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0235,19813,7547,659,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
58,58,05-08-2020 11:10:18,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2046,190000,87429,6311,,,,,,,,,,,,,reagent 25i nbome. 5gr
59,59,05-08-2020 11:10:18,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.237,220142,83850,7318,3000.0,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
60,60,05-08-2020 11:10:18,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0478,40359,15373,1342,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
61,61,05-08-2020 11:10:18,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0608,51366,19565,1708,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,05-08-2020 11:10:18,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0365,30820,11739,1025,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,05-08-2020 11:10:18,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0695,58704,22360,1952,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,64,05-08-2020 11:10:18,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,3,Тбилиси,10 гр,0.0365,30820,11739,1025,420.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
65,65,05-08-2020 11:10:18,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1934,163272,62189,5428,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
66,66,05-08-2020 11:10:18,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0403,33735,12831,1122,,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
