,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Old Tbilisi (Старый город),Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
31,31,10-03-2020 20:25:09,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0326,19230,6899,628,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
32,32,10-03-2020 20:25:09,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0468,28808,10336,941,400.0,,,,,,,,,gashish evro 10g
33,33,10-03-2020 20:25:09,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.091,55960,20078,1827,777.0,,,,,,,,,Gashish Evro 20gr
34,34,10-03-2020 20:25:09,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,8,5,Тбилиси,0.27 гр,0.0333,19446,6977,635,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
35,35,10-03-2020 20:25:42,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0729,42492,15246,1388,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
36,36,10-03-2020 20:25:42,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0489,28808,10336,941,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,37,10-03-2020 20:25:42,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0673,39611,14212,1293,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,38,10-03-2020 20:25:42,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0191,11235,4031,367,156.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
39,39,10-03-2020 20:25:42,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0244,14332,5142,468,199.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
40,40,10-03-2020 20:25:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0196,11523,4134,376,160.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
