,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Didube,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
38,38,12-05-2020 18:27:54,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0263,6480,584,17624,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,12-05-2020 18:27:54,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0263,6480,584,17624,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,12-05-2020 18:27:54,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0252,6210,560,16890,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,12-05-2020 18:27:54,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0218,5913,533,16082,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,12-05-2020 18:27:54,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0257,6345,572,17257,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,12-05-2020 18:27:54,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0175,4320,390,11749,160.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
44,44,12-05-2020 18:27:54,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2576,87429,6291,190000,,,,,,,,,,,reagent 25i nbome. 5gr
45,45,12-05-2020 18:27:54,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2986,81000,7306,220298,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,12-05-2020 18:27:54,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1061,25893,2335,70422,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,47,12-05-2020 18:27:54,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.021,5130,463,13952,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,48,12-05-2020 18:27:54,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0541,13203,1191,35909,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
49,49,12-05-2020 18:27:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0209,5103,460,13879,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,50,12-05-2020 18:27:54,Tbilisi,54915c4374,"""MDN-BooooMA"" - Марки 5 шт. + МДМА 0.5",True,нет,7,Тбилиси,5.5 гр,0.01,2700,244,7343,100.0,,,,,,,,,,"""MDN-BooooMA"" - Marki 5 sht. + MDMA 0.5"
51,51,12-05-2020 18:27:54,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,7,Тбилиси,8 гр,0.0088,2160,195,5875,80.0,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
52,52,12-05-2020 18:27:54,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0986,24300,2192,66089,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,53,12-05-2020 18:27:54,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0438,10800,974,29373,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,54,12-05-2020 18:27:54,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0767,18900,1705,51403,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,55,12-05-2020 18:27:54,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.046,11340,1023,30842,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,56,12-05-2020 18:27:54,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.011000000000000001,2700,244,7343,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
57,57,12-05-2020 18:27:54,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0876,21600,1948,58746,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,12-05-2020 18:27:54,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0318,7830,706,21295,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
59,59,12-05-2020 18:27:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2436,60075,5418,163388,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,12-05-2020 18:27:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1724,42093,3796,114481,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,61,12-05-2020 18:27:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0408,9963,899,27097,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,62,12-05-2020 18:27:54,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5529999999999999,135000,12176,367163,5000.0,,,,,,,,,,METADON - 20 G.
63,63,12-05-2020 18:27:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0662,16173,1459,43986,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
64,64,12-05-2020 18:27:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1205,29700,2679,80776,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
65,65,12-05-2020 18:27:54,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2628,64800,5844,176238,2400.0,,,,,,,,,,100 gr marijuana buds
66,66,12-05-2020 18:27:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.21899999999999997,54000,4870,146865,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,12-05-2020 18:27:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2738,67500,6088,183582,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,12-05-2020 18:27:54,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6461,159300,14368,433252,5900.0,,,,,,,,,,180 gr marihuana persoalno
69,69,12-05-2020 18:28:50,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9234,229500,20699,624177,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
70,70,12-05-2020 18:28:50,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0198,5400,487,14687,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
71,71,12-05-2020 18:28:50,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0217,5400,487,14687,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,72,12-05-2020 18:28:50,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0272,6750,609,18358,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
73,73,12-05-2020 18:28:50,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6443,405000,36528,1101489,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
74,74,12-05-2020 18:30:18,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.239,59400,5357,161552,2200.0,,,,,,,True,,,[100g] SPAIN HASH
75,75,12-05-2020 18:30:18,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1671,51992,3741,112990,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,76,12-05-2020 18:30:18,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2647,82321,5923,178900,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,77,12-05-2020 18:30:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,2700,244,7343,100.0,,,,,,,True,,,kur'er v Batumi
78,78,12-05-2020 18:30:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0247,6750,609,18358,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,79,12-05-2020 18:30:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0247,6750,609,18358,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
80,80,12-05-2020 18:30:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6443,405000,36528,1101489,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
81,81,12-05-2020 18:30:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0543,13500,1218,36716,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,82,12-05-2020 18:31:49,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0201,4995,451,13585,185.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
83,83,12-05-2020 18:31:49,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,6,нет,Кутаиси,2 гр,0.0527,13095,1181,35615,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
84,84,12-05-2020 18:31:49,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,8,нет,Кутаиси,3 гр,0.0358,8910,804,24233,330.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
85,85,12-05-2020 18:31:49,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0217,5400,487,14687,200.0,,,,,,,,,True,Rabota na marki (kur'er)
