,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,€,Nadzaladevi,Old Tbilisi (Старый город),Дигоми,Авлобари,Батуми,Центр,Кутаиси,desc_en
30,30,15-04-2020 20:35:16,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0541,29412,10973,979,399.0,,,,,,,True,,,,,"10g. Shishki Amnesia Haze, Sativa"
31,31,15-04-2020 20:35:16,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0105,6266,2338,209,85.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
32,32,15-04-2020 20:35:16,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.052000000000000005,29486,11000,981,400.0,,,,,,,,,,,,gashish evro 10g
33,33,15-04-2020 20:35:16,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.10099999999999999,57276,21368,1906,777.0,,,,,,,,,,,,Gashish Evro 20gr
34,34,15-04-2020 20:35:16,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2463,147429,55000,4907,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,35,15-04-2020 20:36:03,Tbilisi,2f51af8159,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE",True,нет,11,Тбилиси,0.2 гр,0.0051,2801,1045,93,38.0,True,,,,,,,,,,,"NEW NEW VHQ Cocaine Medelins Cartel 0,2g SALE SALE"
36,36,15-04-2020 20:36:03,Tbilisi,f8a875c191,METADON - 0.5 G.,True,нет,10,Тбилиси,0.5 гр,0.0479,25800,9625,859,350.0,,,,,,,,,,,,METADON - 0.5 G.
37,37,15-04-2020 20:36:03,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,3,Тбилиси,1 гр,0.0057,3096,1155,103,42.0,True,,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
38,38,15-04-2020 20:36:03,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 1 грамм (порошок),True,нет,1,Тбилиси,1 гр,0.0135,8067,2995,268,,,,,100.0,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1 gramm (poroshok)
39,39,15-04-2020 20:36:03,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0505,27201,10148,905,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
40,40,15-04-2020 20:36:03,Tbilisi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0406,24326,9075,810,330.0,True,,,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
41,41,15-04-2020 20:36:03,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0807,43492,16225,1448,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
42,42,15-04-2020 20:36:03,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0542,29486,11000,981,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,43,15-04-2020 20:36:03,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0217,11794,4400,393,160.0,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
44,44,15-04-2020 20:36:03,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0745,40543,15125,1349,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,45,15-04-2020 20:36:03,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.023,12531,4675,417,170.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
46,46,15-04-2020 20:36:03,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.027000000000000003,14669,5473,488,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,15-04-2020 20:36:03,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.027000000000000003,14669,5473,488,199.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,15-04-2020 20:36:03,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.027000000000000003,16143,6023,537,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,15-04-2020 20:36:03,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.027000000000000003,14669,5473,488,199.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,50,15-04-2020 20:36:03,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0519,28236,10483,939,,,,,350.0,,,,,,,,MDMA 5 gr!!!
51,51,15-04-2020 20:36:03,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3175,190000,87429,6355,,,,,,,,,,,,,reagent 25i nbome. 5gr
52,52,15-04-2020 20:36:03,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3695,221144,82500,7361,3000.0,,,,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,53,15-04-2020 20:36:03,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1189,64058,23898,2132,869.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,54,15-04-2020 20:36:03,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0259,13932,5198,464,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
55,55,15-04-2020 20:36:03,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.026000000000000002,14006,5225,466,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
56,56,15-04-2020 20:36:03,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0669,36046,13448,1200,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
57,57,15-04-2020 20:36:03,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0259,13932,5198,464,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
58,58,15-04-2020 20:36:03,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1219,66343,24750,2208,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
