,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Varketili,Vazisubani,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
22,22,25-05-2020 22:00:56,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0258,16825,6357,564,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
23,23,25-05-2020 22:00:56,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0264,17183,6492,576,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
24,24,25-05-2020 22:00:56,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0253,16467,6222,552,230.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
25,25,25-05-2020 22:00:56,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0175,11384,4301,381,159.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
26,26,25-05-2020 22:00:56,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0264,17183,6492,576,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
27,27,25-05-2020 22:00:56,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0264,17183,6492,576,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
28,28,25-05-2020 22:00:56,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0253,16467,6222,552,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
29,29,25-05-2020 22:00:56,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0219,15680,5924,525,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
30,30,25-05-2020 22:00:56,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0258,16825,6357,564,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
31,31,25-05-2020 22:00:56,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0275,17899,6763,600,250.0,,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
32,32,25-05-2020 22:00:56,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.265,190000,87429,6351,,,,,,,,,,,,,reagent 25i nbome. 5gr
33,33,25-05-2020 22:00:56,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2995,214789,81150,7196,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
34,34,25-05-2020 22:01:38,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1055,68661,25941,2300,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
35,35,25-05-2020 22:01:38,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0209,13603,5140,456,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,25-05-2020 22:01:38,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0538,35011,13227,1173,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
37,37,25-05-2020 22:01:38,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0208,13532,5112,453,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
38,38,25-05-2020 22:01:38,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.098,64437,24345,2159,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
39,39,25-05-2020 22:01:38,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0436,28638,10820,959,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
40,40,25-05-2020 22:01:38,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0762,50117,18935,1679,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,41,25-05-2020 22:01:38,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0457,30070,11361,1007,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,42,25-05-2020 22:01:38,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0147,9665,3652,324,135.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
43,43,25-05-2020 22:01:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0871,57277,21640,1919,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,25-05-2020 22:01:38,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2423,159302,60186,5337,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
45,45,25-05-2020 22:01:38,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1714,111618,42171,3739,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,46,25-05-2020 22:01:38,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0406,26419,9981,885,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,25-05-2020 22:01:38,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0346,22553,8521,756,315.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
48,48,25-05-2020 22:01:38,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5498,357981,135250,11993,5000.0,,,,,,,,,,,,METADON - 20 G.
49,49,25-05-2020 22:01:38,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0659,42886,16203,1437,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,25-05-2020 22:01:38,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1414,93003,35138,3116,1299.0,,,,,,,,,,,,50 gr georgian weed. Package on magnet
51,51,25-05-2020 22:01:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1198,78756,29755,2638,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
52,52,25-05-2020 22:01:38,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2721,178919,67598,5994,2499.0,,,,,,,,,,,,100 gr georgian weed. Package on magnet
53,53,25-05-2020 22:01:38,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2613,171831,64920,5757,2400.0,,,,,,,,,,,,100 gr marijuana buds
54,54,25-05-2020 22:01:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2178,143192,54100,4797,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,55,25-05-2020 22:01:38,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2722,178991,67625,5997,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,56,25-05-2020 22:01:38,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6424,422418,159595,14152,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
57,57,25-05-2020 22:01:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5008,329343,124430,11034,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,58,25-05-2020 22:01:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8166,536972,202875,17990,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,25-05-2020 22:01:38,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9255,608568,229925,20388,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,25-05-2020 22:01:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0198,14319,5410,480,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
61,61,25-05-2020 22:01:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0218,14319,5410,480,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,25-05-2020 22:01:38,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0272,17899,6763,600,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,63,25-05-2020 22:01:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6480000000000001,1073943,405750,35979,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
64,64,25-05-2020 22:02:57,Batumi,3c4662c591,шишки марихуаны 5G,,4,нет,Батуми,5 гр,0.0327,21479,8115,720,300.0,,,,,,,,,True,,,shishki marihuany 5G
65,65,25-05-2020 22:02:57,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2395,157512,59510,5277,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
66,66,25-05-2020 22:02:57,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0093,6086,2299,204,85.0,,,,,,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
67,67,25-05-2020 22:02:57,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0355,25701,9719,864,,,,,330.0,,,,,,True,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
68,68,25-05-2020 22:02:57,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.049,32218,12173,1079,450.0,,,,,,,,,,True,,MDMA !! 3 gramma
69,69,25-05-2020 22:02:57,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1718,112990,51992,3777,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,70,25-05-2020 22:02:57,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2721,178900,82321,5980,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,71,25-05-2020 22:02:57,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7160,2705,240,100.0,,,,,,,,,,True,,kur'er v Batumi
72,72,25-05-2020 22:02:57,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0247,17899,6763,600,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
73,73,25-05-2020 22:02:57,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0247,17899,6763,600,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
74,74,25-05-2020 22:02:57,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0118,7788,2945,262,,,,,100.0,,,,,,True,,Rabota na marki (kur'er)
75,75,25-05-2020 22:02:57,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6480000000000001,1073943,405750,35979,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
76,76,25-05-2020 22:02:57,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0544,35798,13525,1199,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,77,25-05-2020 22:04:47,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0523,34724,13119,1163,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,25-05-2020 22:04:47,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0267,17899,6763,600,250.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,79,25-05-2020 22:04:47,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0074,5370,2029,180,75.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
80,80,25-05-2020 22:04:47,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0114,8234,3111,276,115.0,,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
81,81,25-05-2020 22:04:47,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0118,7788,2945,262,,,,,100.0,,,,,,,True,Rabota na marki (kur'er)
