,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Центр,Батуми,desc_en
51,51,11-08-2020 18:39:11,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0229,19751,7506,661,270.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,11-08-2020 18:39:11,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0169,16020,6088,536,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,11-08-2020 18:39:11,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0185,17557,6672,588,240.0,,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
54,54,11-08-2020 18:39:11,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0229,19751,7506,661,270.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,11-08-2020 18:39:11,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2006,190000,87429,6317,,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,11-08-2020 18:39:11,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2317,219457,83400,7345,3000.0,,,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,11-08-2020 18:39:11,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0467,40234,15290,1347,550.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,58,11-08-2020 18:39:11,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0595,51207,19460,1714,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,59,11-08-2020 18:39:11,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0357,30724,11676,1028,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,60,11-08-2020 18:39:11,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.068,58522,22240,1959,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,61,11-08-2020 18:39:11,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,нет,8,Тбилиси,10 гр,0.0012,1024,389,34,14.0,,,,,,,,,,,,,GABAGAMA 10 shtuk
62,62,11-08-2020 18:39:11,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.18899999999999997,162764,61855,5447,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,63,11-08-2020 18:39:11,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0393,33511,12753,1130,,,,,,,,390.0,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
64,64,11-08-2020 18:39:11,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0502,47549,18070,1591,650.0,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
65,65,11-08-2020 18:39:11,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2039,175565,66720,5876,2400.0,,,,,,,,,,,,,100 gr marijuana buds
66,66,11-08-2020 18:39:11,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2124,182881,69500,6121,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,67,11-08-2020 18:39:11,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5012,431598,164020,14444,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
68,68,11-08-2020 18:39:11,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0244,21000,9663,698,,,,,,,,,True,,,,,GABAGAMA 250 shtuk
69,69,11-08-2020 18:39:11,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7221,621794,236300,20810,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
