,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
43,03-06-2020 03:36:53,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0241,15866,6187,552,230,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,03-06-2020 03:36:53,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0208,15107,5891,525,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,03-06-2020 03:36:53,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0264,17246,6725,600,250,,,,,,,,,,MARIXYANA - INDICA - 5 G.
46,03-06-2020 03:36:53,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0246,16211,6322,564,235,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,03-06-2020 03:36:53,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2621,190000,87429,6611,,,,,,,,,,,reagent 25i nbome. 5gr
48,03-06-2020 03:36:53,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2855,206949,80700,7194,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,03-06-2020 03:36:53,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1014,66155,25797,2300,959,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,03-06-2020 03:36:53,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0201,13107,5111,456,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
51,03-06-2020 03:36:53,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.0517,33733,13154,1173,489,,,,,,,,,,💘✨5g. MDMA ✨💘
52,03-06-2020 03:36:53,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,5 гр,0.0195,12762,4977,444,185,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
53,03-06-2020 03:36:53,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0942,62085,24210,2158,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,03-06-2020 03:36:53,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0419,27593,10760,959,400,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,03-06-2020 03:36:53,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0733,48288,18830,1679,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,03-06-2020 03:36:53,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044,28973,11298,1007,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,03-06-2020 03:36:53,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0837,55186,21520,1918,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,03-06-2020 03:36:53,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2329,153487,59853,5336,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
59,03-06-2020 03:36:53,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1648,107545,41937,3739,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,03-06-2020 03:36:53,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0854,55738,21735,1938,808,,,,,,,,,,💘✨10gram MDMA ✨💘
61,03-06-2020 03:36:53,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.039,25455,9926,885,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,03-06-2020 03:36:53,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0332,21730,8474,755,315,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
63,03-06-2020 03:36:53,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5286,344916,134500,11991,5000,,,,,,,,,,METADON - 20 G.
64,03-06-2020 03:36:53,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1427,103475,40350,3597,1500,,,,,,,,,,✨💘20g MDMA💘✨
65,03-06-2020 03:36:53,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0633,41321,16113,1436,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,03-06-2020 03:36:53,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.136,89609,34943,3115,1299,,,,,,,,,,50 gr georgian weed. Package on magnet
67,03-06-2020 03:36:53,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2616,172389,67223,5993,2499,,,,,,,,,,100 gr georgian weed. Package on magnet
68,03-06-2020 03:36:53,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2512,165559,64560,5755,2400,,,,,,,,,,100 gr marijuana buds
69,03-06-2020 03:37:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2093,137966,53800,4796,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,03-06-2020 03:37:33,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2617,172458,67250,5995,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,03-06-2020 03:37:33,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6175,407000,158710,14149,5900,,,,,,,,,,180 gr marihuana persoalno
72,03-06-2020 03:37:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4814,317322,123740,11031,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,03-06-2020 03:37:33,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7849,517373,201750,17986,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,03-06-2020 03:37:33,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8896,586356,228650,20384,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,03-06-2020 03:37:33,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,13797,5380,480,200,,,,,,,,,,KURYER..500RUB.+BONUS
76,03-06-2020 03:37:33,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0209,13797,5380,480,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,03-06-2020 03:37:33,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0262,17246,6725,600,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,03-06-2020 03:37:33,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0209,13797,5380,480,200,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
79,03-06-2020 03:37:33,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5842,1034747,403500,35972,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
80,03-06-2020 03:39:09,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,1,нет,Батуми,4 гр,0.0059,3863,1506,134,56,,,,,,,True,,,Marki n-BoooooooM 4 sht
81,03-06-2020 03:39:09,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2303,151763,59180,5276,2200,,,,,,,,True,,[100g] SPAIN HASH
82,03-06-2020 03:39:09,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,2,Батуми,5 гр,0.0236,15866,6187,552,230,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
83,03-06-2020 03:39:09,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0431,28973,11298,1007,420,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
84,03-06-2020 03:39:09,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5285,344916,134500,11991,5000,,,,,,,,True,,METADON - 20 G.
85,03-06-2020 03:39:09,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1714,112990,51992,3931,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,03-06-2020 03:39:09,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2714,178900,82321,6225,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,03-06-2020 03:39:09,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,6898,2690,240,100,,,,,,,,True,,kur'er v Batumi
88,03-06-2020 03:39:09,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17246,6725,600,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
89,03-06-2020 03:39:09,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17246,6725,600,250,,,,,,,,True,,Ischu kur'era v Gruzii!
90,03-06-2020 03:39:09,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0209,13797,5380,480,200,,,,,,,,True,,Kur'er Batumi na marihuanu
91,03-06-2020 03:39:09,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0291,19195,7513,668,,,,250,,,,,True,,Rabota na marki (kur'er)
92,03-06-2020 03:39:09,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5842,1034747,403500,35972,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
93,03-06-2020 03:39:09,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,34492,13450,1199,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,03-06-2020 03:41:14,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0317,21316,8312,741,309,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
95,03-06-2020 03:41:14,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.02,13452,5246,468,195,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
96,03-06-2020 03:41:14,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0291,19195,7513,668,,,,250,,,,,,True,Rabota na marki (kur'er)
