,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Gldani,€,Батуми,Центр,Кутаиси,desc_en
75,03-05-2020 18:25:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1169,79999,29920,2656,1100,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
76,03-05-2020 18:25:30,Tbilisi,6P9R,RickNMorty,White Russia Fem Buds Only 21%+ THC 50G,,нет,1,Тбилиси,50 гр,0.1472,101817,38080,3380,1400,True,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
77,03-05-2020 18:25:30,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.255,174543,65280,5794,2400,True,,,,,,,,,,,100 gr marijuana buds
78,03-05-2020 18:25:30,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,2,Тбилиси,100 гр,0.3187,218179,81600,7243,3000,True,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
79,03-05-2020 18:25:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2125,145453,54400,4829,2000,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,03-05-2020 18:25:30,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2656,181816,68000,6036,2500,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,03-05-2020 18:25:30,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6268,429085,160480,14244,5900,True,,,,,,,,,,,180 gr marihuana persoalno
82,03-05-2020 18:25:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4887,334541,125120,11106,4600,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
83,03-05-2020 18:25:30,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7967,545447,204000,18107,7500,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
84,03-05-2020 18:25:30,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.903,618174,231200,20522,8500,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
85,03-05-2020 18:25:30,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0193,14545,5440,483,200,True,,,,,,,,,,,KURYER..500RUB.+BONUS
86,03-05-2020 18:25:30,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0212,14545,5440,483,200,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,03-05-2020 18:25:30,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0266,18182,6800,604,250,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
88,03-05-2020 18:25:30,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0212,14545,5440,483,200,True,,,,,,,,,,,Rabota na marki (kur'er)
89,03-05-2020 18:25:30,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.608,1090895,408000,36215,15000,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
90,03-05-2020 18:27:23,Batumi,A3I9,Joookerrr,Батуми н-бооом 5 штук,,1,нет,Батуми,5 гр,0.0063,4747,1782,158,,,,,,,,,60,True,,,Batumi n-booom 5 shtuk
91,03-05-2020 18:27:23,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2337,159998,59840,5311,2200,,,,,,,,,True,,,[100g] SPAIN HASH
92,03-05-2020 18:27:23,Batumi,A3I9,Joookerrr,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,4431,1663,147,,,,,,,,,56,True,,,Marki N-VoooooM!!!! 4 shtuki
93,03-05-2020 18:27:23,Batumi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 10 шт",,нет,8,Батуми,10 гр,0.0117,8000,2992,266,110,,,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
94,03-05-2020 18:27:23,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7273,2720,241,100,,,,,,,,,True,,,kur'er v Batumi
95,03-05-2020 18:27:23,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,18182,6800,604,250,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
96,03-05-2020 18:27:23,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,18182,6800,604,250,,,,,,,,,True,,,Ischu kur'era v Gruzii!
97,03-05-2020 18:27:23,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.608,1090895,408000,36215,15000,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
98,03-05-2020 18:27:23,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0531,36363,13600,1207,500,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
99,03-05-2020 18:28:54,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0229,16000,5984,531,220,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
100,03-05-2020 18:28:54,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0552,37818,14144,1255,520,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
101,03-05-2020 18:28:54,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0406,28363,10608,942,390,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
102,03-05-2020 18:28:54,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0212,14545,5440,483,200,,,,,,,,,,,True,Rabota na marki (kur'er)
