,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Didube,Vake,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
92,04-04-2020 15:08:31,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0077,4275,1521,142,55,,,,,,,True,,,MEPHEDRONE 0.5 gr
93,04-04-2020 15:08:31,Batumi,V4T,COCAcoLA,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,2,нет,Батуми,1 гр,0.0141,7851,2793,261,101,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
94,04-04-2020 15:08:31,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,8,нет,Батуми,2 гр,0.0048,2954,1051,98,38,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
95,04-04-2020 15:08:31,Batumi,XHR,420Factory,Power Africa 2.5 g,,1,нет,Батуми,2.5 гр,0.0134,8162,2903,271,105,,,,,,,,True,,Power Africa 2.5 g
96,04-04-2020 15:08:31,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3078,171012,60830,5686,2200,,,,,,,,True,,[100g] SPAIN HASH
97,04-04-2020 15:08:31,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,2,13,Батуми,5 гр,0.0254,15547,5530,517,200,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
98,04-04-2020 15:08:31,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2827,155465,55300,5169,2000,,,,,,,,True,,SUBOXIN - HQ - 100 G.
99,04-04-2020 15:08:31,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.212,116599,41475,3877,1500,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
100,04-04-2020 15:08:31,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0127,7773,2765,258,100,,,,,,,,True,,kur'er v Batumi
101,04-04-2020 15:08:31,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0318,19433,6913,646,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
102,04-04-2020 15:08:31,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0318,19433,6913,646,250,,,,,,,,True,,Ischu kur'era v Gruzii!
103,04-04-2020 15:08:31,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0382,23320,8295,775,300,,,,,,,,True,,Rabota na marki (kur'er)
104,04-04-2020 15:08:31,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.118,1165988,414750,38769,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
