,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Дигоми,Gldani,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Zahesi,Батуми,Центр,Кутаиси,desc_en
15,15,24-04-2020 14:55:17,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0977,58375,21251,1918,777.0,,,,,,,,,,,,,,,,,Gashish Evro 20gr
16,16,24-04-2020 14:55:17,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2382,150258,54700,4937,2000.0,,,,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
17,17,24-04-2020 14:55:17,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,9,Тбилиси,2 гр,0.0488,27723,10092,911,369.0,,,,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
18,18,24-04-2020 14:55:17,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0781,44326,16137,1457,590.0,,,,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,24-04-2020 14:55:17,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,37,Тбилиси,4 гр,0.0075,4301,1561,141,,True,True,True,True,True,True,True,True,True,True,True,53.0,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
20,20,24-04-2020 14:55:17,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0524,30052,10940,987,400.0,,,,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
21,21,24-04-2020 14:55:17,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0721,41321,15043,1358,550.0,,,,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
22,22,24-04-2020 14:55:17,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0223,12772,4650,420,170.0,,,,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
23,23,24-04-2020 14:55:17,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0261,14951,5443,491,199.0,,,,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
24,24,24-04-2020 14:55:17,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0261,14951,5443,491,199.0,,,,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
25,25,24-04-2020 14:55:17,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0261,16453,5990,541,219.0,,,,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
26,26,24-04-2020 14:55:17,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0261,14951,5443,491,199.0,,,,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
27,27,24-04-2020 14:55:17,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3012,190000,87429,6241,,,,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
28,28,24-04-2020 14:55:17,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3573,225387,82050,7406,3000.0,,,,,True,True,,,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
29,29,24-04-2020 14:55:17,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.115,65287,23767,2145,869.0,,,,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
30,30,24-04-2020 14:55:17,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.025,14199,5169,467,189.0,,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
31,31,24-04-2020 14:55:17,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0251,14275,5197,469,190.0,,,,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
32,32,24-04-2020 14:55:17,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0647,36738,13374,1207,489.0,,,,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
33,33,24-04-2020 14:55:47,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0647,36738,13374,1207,489.0,,,,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
34,34,24-04-2020 14:55:47,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.025,14199,5169,467,189.0,,,,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
35,35,24-04-2020 14:55:47,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,33,Тбилиси,10 гр,0.0142,8115,2945,266,,True,True,True,True,True,True,True,True,True,True,True,100.0,True,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
36,36,24-04-2020 14:55:47,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1179,67616,24615,2222,900.0,,,,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
37,37,24-04-2020 14:55:47,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0917,52590,19145,1728,700.0,,,,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,24-04-2020 14:55:47,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0419,24041,8752,790,320.0,,,,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,24-04-2020 14:55:47,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1048,60103,21880,1975,800.0,,,,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,24-04-2020 14:55:47,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2915,167162,60854,5493,2225.0,,,,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
41,41,24-04-2020 14:55:47,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1917,108862,39630,3577,1449.0,,,,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
42,42,24-04-2020 14:55:47,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0488,27723,10092,911,369.0,,,,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
43,43,24-04-2020 14:55:47,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0396,22464,8178,738,299.0,,,,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
44,44,24-04-2020 14:55:47,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0531,30427,11077,1000,405.0,,,,,,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
45,45,24-04-2020 14:55:47,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0793,45002,16383,1479,599.0,,,,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,46,24-04-2020 14:55:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1441,82642,30085,2716,1100.0,,,,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
47,47,24-04-2020 14:55:47,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3144,180310,65640,5925,2400.0,,,,,,,,,,,,,,,,,100 gr marijuana buds
48,48,24-04-2020 14:55:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.262,150258,54700,4937,2000.0,,,,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
49,49,24-04-2020 14:55:47,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3275,187823,68375,6172,2500.0,,,,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
50,50,24-04-2020 14:55:47,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.773,443261,161365,14565,5900.0,,,,,,,,,,,,,,,,,180 gr marihuana persoalno
51,51,24-04-2020 14:55:47,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4127,236656,86153,7776,3150.0,,,,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
52,52,24-04-2020 14:55:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6027,345593,125810,11356,4600.0,,,,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
53,53,24-04-2020 14:55:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9826,563468,205125,18515,7500.0,,,,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
54,54,24-04-2020 14:55:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1136,638597,232475,20984,8500.0,,,,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
55,55,24-04-2020 14:55:47,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0238,15026,5470,494,200.0,,,,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
56,56,24-04-2020 14:55:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0262,15026,5470,494,200.0,,,,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
57,57,24-04-2020 14:55:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0328,18782,6838,617,250.0,,,,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
58,58,24-04-2020 14:55:47,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0262,15026,5470,494,200.0,,,,,,,,,,,,,,,,,Rabota na marki (kur'er)
59,59,24-04-2020 14:55:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.9831,1126935,410250,37031,15000.0,,,,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
60,60,24-04-2020 14:57:25,Batumi,54915c4374,Батуми н-бооом 1 штука,,1,нет,Батуми,1 гр,0.0023,1461,530,48,,,,,,,,,,,,,18.0,,True,,,Batumi n-booom 1 shtuka
61,61,24-04-2020 14:57:25,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0045,2597,942,85,,,,,,,,,,,,,32.0,,True,,,Batumi n-booom 2 shtuki
62,62,24-04-2020 14:57:25,Batumi,54915c4374,Батуми н-бооом 4 штуки,,3,нет,Батуми,4 гр,0.0071,4463,1620,147,,,,,,,,,,,,,55.0,,True,True,,Batumi n-booom 4 shtuki
63,63,24-04-2020 14:57:25,Batumi,54915c4374,Батуми н-бооом 5 штук,,3,нет,Батуми,5 гр,0.0077,4869,1767,160,,,,,,,,,,,,,60.0,,True,,,Batumi n-booom 5 shtuk
64,64,24-04-2020 14:57:25,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2878,165284,60170,5431,2200.0,,,,,,,,,,,,,,True,,,[100g] SPAIN HASH
65,65,24-04-2020 14:57:25,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0119,7513,2735,247,100.0,,,,,,,,,,,,,,True,,,kur'er v Batumi
66,66,24-04-2020 14:57:25,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0297,18782,6838,617,250.0,,,,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
67,67,24-04-2020 14:57:25,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0297,18782,6838,617,250.0,,,,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
68,68,24-04-2020 14:57:25,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9804,1126935,410250,37031,15000.0,,,,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
69,69,24-04-2020 14:57:25,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0654,37565,13675,1234,500.0,,,,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
70,70,24-04-2020 14:58:35,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0246,14199,5169,467,189.0,,,,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
71,71,24-04-2020 14:58:35,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0583,33357,12143,1096,444.0,,,,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
72,72,24-04-2020 14:58:35,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0407,23290,8479,765,310.0,,,,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
73,73,24-04-2020 14:58:35,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0263,15026,5470,494,200.0,,,,,,,,,,,,,,,,True,Rabota na marki (kur'er)
