,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Кутаиси,desc_en
16,16,29-04-2020 16:22:46,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.0489,29844,11016,998,405.0,True,True,,,,,,20 gr Indica marijuana buds (hight quality)
17,17,29-04-2020 16:22:46,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.09,57257,21134,1914,777.0,,,,,,,,Gashish Evro 20gr
18,18,29-04-2020 16:22:46,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2195,147379,54400,4926,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
19,19,29-04-2020 16:22:46,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0163,9948,3672,333,135.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
20,20,29-04-2020 16:22:46,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0393,26416,9768,874,,,,,330.0,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
21,21,29-04-2020 16:22:46,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,6,Тбилиси,2 гр,0.0256,15475,5712,517,210.0,,,,,,,,✨✨2gram. MDMA✨✨
22,22,29-04-2020 16:22:46,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.045,27191,10037,909,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
23,23,29-04-2020 16:22:46,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 2.5 грамм",True,нет,1,Тбилиси,2.5 гр,0.0272,16580,6120,554,225.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 2.5 gramm"
24,24,29-04-2020 16:22:46,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0706,42666,15749,1426,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,29-04-2020 16:22:46,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0483,29476,10880,985,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,29-04-2020 16:22:46,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0664,40529,14960,1355,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,29-04-2020 16:22:46,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0205,12527,4624,419,170.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
28,28,29-04-2020 16:22:46,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,True,нет,2,Тбилиси,5 гр,0.0263,16064,5930,537,218.0,,,,,,,,5g WEED MIX / vyberi svoi sorta
29,29,29-04-2020 16:22:46,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.024,14664,5413,490,199.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
30,30,29-04-2020 16:22:46,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.024,14664,5413,490,199.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
31,31,29-04-2020 16:22:46,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.024,16138,5957,539,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
32,32,29-04-2020 16:22:46,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.024,14664,5413,490,199.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,33,29-04-2020 16:22:46,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.28300000000000003,190000,87429,6265,,,,,,,,,reagent 25i nbome. 5gr
34,34,29-04-2020 16:23:59,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.32799999999999996,221068,81600,7389,3000.0,,,,,True,True,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
35,35,29-04-2020 16:23:59,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1165,70668,26085,2362,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
36,36,29-04-2020 16:23:59,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.023,13927,5141,466,189.0,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
37,37,29-04-2020 16:23:59,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0231,14001,5168,468,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
38,38,29-04-2020 16:23:59,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0594,36034,13301,1204,489.0,,,,,,,,💘✨5g. MDMA ✨💘
39,39,29-04-2020 16:23:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.023,13927,5141,466,189.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
40,40,29-04-2020 16:23:59,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,2,Тбилиси,10 гр,0.0132,8106,2992,271,110.0,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
41,41,29-04-2020 16:23:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1083,66320,24480,2217,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,42,29-04-2020 16:23:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0842,51583,19040,1724,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,43,29-04-2020 16:23:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0385,23581,8704,788,320.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,29-04-2020 16:23:59,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0962,58952,21760,1970,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,45,29-04-2020 16:23:59,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2676,163959,60520,5480,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
46,46,29-04-2020 16:23:59,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.1894,114882,42405,3840,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,47,29-04-2020 16:23:59,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0448,27191,10037,909,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
48,48,29-04-2020 16:23:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0363,22033,8133,736,299.0,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
49,49,29-04-2020 16:23:59,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.6074,368447,136000,12315,5000.0,,,,,,,,METADON - 20 G.
50,50,29-04-2020 16:23:59,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0728,44140,16293,1475,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,51,29-04-2020 16:23:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1323,81058,29920,2709,1100.0,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
52,52,29-04-2020 16:23:59,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2887,176855,65280,5911,2400.0,,,,,,,,100 gr marijuana buds
53,53,29-04-2020 16:23:59,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,3,Тбилиси,100 гр,0.3608,221068,81600,7389,3000.0,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
54,54,29-04-2020 16:23:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2406,147379,54400,4926,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,55,29-04-2020 16:23:59,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3007,184224,68000,6158,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,56,29-04-2020 16:23:59,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7096,434767,160480,14532,5900.0,,,,,,,,180 gr marihuana persoalno
57,57,29-04-2020 16:23:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5533,338971,125120,11330,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,58,29-04-2020 16:23:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9021,552671,204000,18473,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,29-04-2020 16:23:59,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0224,626360,231200,20936,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,29-04-2020 16:23:59,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0219,14738,5440,493,200.0,,,,,,,,KURYER..500RUB.+BONUS
61,61,29-04-2020 16:23:59,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0241,14738,5440,493,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,29-04-2020 16:23:59,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0301,18422,6800,616,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,63,29-04-2020 16:23:59,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0241,14738,5440,493,200.0,,,,,,,,Rabota na marki (kur'er)
64,64,29-04-2020 16:23:59,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.8206,1105341,408000,36945,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
65,65,29-04-2020 16:26:38,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0225,13927,5141,466,189.0,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
66,66,29-04-2020 16:26:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0582,35666,13165,1192,484.0,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
67,67,29-04-2020 16:26:38,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.04,24539,9058,820,333.0,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
68,68,29-04-2020 16:26:38,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.024,14738,5440,493,200.0,,,,,,,True,Rabota na marki (kur'er)
