,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Varketili,Saburtalo,Zahesi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
14,14,25-06-2020 19:58:22,Tbilisi,bb1791277e,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,,8,нет,Тбилиси,1 гр,0.0062,4168,1609,142,,True,60.0,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
15,15,25-06-2020 19:58:22,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,3,нет,Тбилиси,2 гр,0.0102,6877,2654,235,,,99.0,,,True,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,16,25-06-2020 19:58:22,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,4,нет,Тбилиси,2 гр,0.0112,7572,2922,259,,True,109.0,,,,,,,,,2 G Hybrid Marijuana Buds
17,17,25-06-2020 19:58:22,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0113,7641,2949,261,,True,110.0,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
18,18,25-06-2020 19:58:22,Tbilisi,cb721d4bca,2 gr top buds white widow wишки THC 25% VHQ,,4,нет,Тбилиси,2 гр,0.0113,7641,2949,261,,,110.0,True,,True,True,,,,,2 gr top buds white widow wishki THC 25% VHQ
19,19,25-06-2020 19:58:22,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0124,8336,3217,285,,,120.0,,,True,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
20,20,25-06-2020 19:58:22,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,2,нет,Тбилиси,2 гр,0.0124,8336,3217,285,,,120.0,,,True,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
21,21,25-06-2020 19:58:22,Tbilisi,0dec0e1c48,2gr HYBRID buds,,8,нет,Тбилиси,2 гр,0.0091,6113,2359,209,,True,88.0,,,,,,,,,2gr HYBRID buds
22,22,25-06-2020 19:58:22,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,2 гр,0.0077,5210,2011,178,,True,75.0,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
23,23,25-06-2020 19:58:22,Tbilisi,ebadfc162f,Bubba Kush 2G Super strong indica dominant weed 100%шишки!,True,2,нет,Тбилиси,2 гр,0.0108,7294,2815,249,,,105.0,,,,,,,,,Bubba Kush 2G Super strong indica dominant weed 100%shishki!
24,24,25-06-2020 19:58:22,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,2,нет,Тбилиси,2 гр,0.0124,8336,3217,285,,True,120.0,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
25,25,25-06-2020 19:58:22,Tbilisi,54915c4374,марки н-боом 2 шт.,,5,нет,Тбилиси,2 гр,0.0036,2431,938,83,,,35.0,,,True,,,,,,marki n-boom 2 sht.
26,26,25-06-2020 19:58:22,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,5905,2279,202,,,85.0,,,True,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
27,27,25-06-2020 19:58:22,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,32,нет,Тбилиси,3 гр,0.009000000000000001,6044,2332,206,,True,87.0,,True,,,,,,,3 gr georgian weed. Package on magnet
28,28,25-06-2020 19:58:22,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 3 gr Indica dominant Buds,,3,нет,Тбилиси,3 гр,0.0071,4793,1850,164,,,69.0,,True,,,,,,,AKTsIJa! SUPER TsENA! 3 gr Indica dominant Buds
29,29,25-06-2020 19:58:22,Tbilisi,aeb8abccb9,🍁 4gr Hybrid Weed Indica Buds VHQ ❤,True,1,нет,Тбилиси,4 гр,0.0144,9725,3753,332,,,140.0,,,,,,,,,🍁 4gr Hybrid Weed Indica Buds VHQ ❤
30,30,25-06-2020 19:58:22,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0225,16672,6434,569,,True,240.0,,,,,,,,,5g. marihuana shishki Critical
31,31,25-06-2020 19:58:22,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,10,нет,Тбилиси,5 гр,0.0072,4793,1850,164,,True,69.0,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
32,32,25-06-2020 19:58:22,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,8,нет,Тбилиси,5 гр,0.0182,12157,4692,415,,True,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
33,33,25-06-2020 19:58:22,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,9,нет,Тбилиси,5 гр,0.013999999999999999,10350,3995,354,,True,149.0,,,,,,,,,5g. GEO Marihuana boshki
34,34,25-06-2020 19:58:22,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1183,81275,31368,2776,,True,1170.0,,,,,,,,,VHQ BEST Cocaine 5g.
35,35,25-06-2020 19:58:22,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,4,нет,Тбилиси,5 гр,0.0052,3821,1475,131,,True,55.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
36,36,25-06-2020 19:59:53,Tbilisi,54915c4374,марки н-боом 5шт.,,6,10,Тбилиси,5 гр,0.0067,4515,1743,154,,True,65.0,,,True,,,,,,marki n-boom 5sht.
37,37,25-06-2020 19:59:53,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,9,нет,Тбилиси,10 гр,0.0246,16602,6408,567,,True,239.0,,,,,,,,,10 gr georgian weed. Package on magnet
38,38,25-06-2020 19:59:53,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,24,нет,Тбилиси,10 гр,0.0134,8961,3458,306,,True,129.0,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
39,39,25-06-2020 19:59:53,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,2,нет,Тбилиси,11 гр,0.0169,12504,4826,427,,True,180.0,,,,,,,,,11+ GRAMM BEASTWEED NEW
40,40,25-06-2020 19:59:53,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0469,34733,13405,1186,,True,500.0,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
41,41,25-06-2020 19:59:53,Tbilisi,ae784bef73,Silver haze leaves листья 15гр,,10,нет,Тбилиси,15 гр,0.0093,6252,2413,214,,True,90.0,,,,,,,,,Silver haze leaves list'ja 15gr
42,42,25-06-2020 19:59:53,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2081,138932,53620,4745,,True,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
43,43,25-06-2020 19:59:53,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.25G,,нет,10,Тбилиси,0.25 гр,0.0067,4515,1743,154,,True,65.0,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.25G
44,44,25-06-2020 19:59:53,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,3,Тбилиси,0.5 гр,0.0093,6252,2413,214,,True,90.0,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
45,45,25-06-2020 19:59:53,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,,нет,10,Тбилиси,0.5 гр,0.0113,7641,2949,261,,True,110.0,,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
46,46,25-06-2020 19:59:53,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,6,Тбилиси,1 гр,0.0046,3126,1206,107,,True,45.0,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
47,47,25-06-2020 19:59:53,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0093,6252,2413,214,,True,90.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
48,48,25-06-2020 19:59:53,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,3,Тбилиси,2 гр,0.0219,14588,5630,498,,True,210.0,,,,,,,,,✨✨2gram. MDMA✨✨
49,49,25-06-2020 19:59:53,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,4,Тбилиси,2 гр,0.0384,25633,9893,875,,True,369.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
50,50,25-06-2020 19:59:53,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0087,5854,2261,201,75.0,True,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
51,51,25-06-2020 19:59:53,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,8,Тбилиси,3 гр,0.0124,8336,3217,285,,True,120.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
52,52,25-06-2020 19:59:53,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0603,40221,15523,1374,,True,579.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
53,53,25-06-2020 19:59:53,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0412,27786,10724,949,,True,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
54,54,25-06-2020 19:59:53,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,10,Тбилиси,4 гр,0.0124,8336,3217,285,,True,120.0,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
55,55,25-06-2020 19:59:53,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0258,17367,6703,593,,True,250.0,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
56,56,25-06-2020 19:59:53,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0567,38206,14746,1305,,True,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
57,57,25-06-2020 19:59:53,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0278,18756,7239,641,,True,270.0,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
58,58,25-06-2020 19:59:53,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0289,19450,7507,664,,True,280.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
59,59,25-06-2020 19:59:53,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0284,19103,7373,652,,True,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
60,60,25-06-2020 19:59:53,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16672,6434,569,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
61,61,25-06-2020 19:59:53,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0289,19450,7507,664,,True,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
62,62,25-06-2020 19:59:53,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0278,18756,7239,641,,True,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
63,63,25-06-2020 19:59:53,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15213,5871,520,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
64,64,25-06-2020 19:59:53,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.018000000000000002,12157,4692,415,,True,175.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
65,65,25-06-2020 19:59:53,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0278,18756,7239,641,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
66,66,25-06-2020 19:59:53,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1547,104199,40215,3559,,True,1500.0,,,,,,,,,Gerojn (sirets) 5 gr
67,67,25-06-2020 19:59:53,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2564,190000,87429,6537,,True,,,,,,,,,,reagent 25i nbome. 5gr
68,68,25-06-2020 19:59:53,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2812,208398,80430,7118,,,3000.0,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
69,69,25-06-2020 19:59:53,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0999,66618,25711,2275,,True,959.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
70,70,25-06-2020 19:59:53,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0198,13199,5094,451,,True,190.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
71,71,25-06-2020 20:00:50,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0509,33969,13110,1160,,True,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
72,72,25-06-2020 20:00:50,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0928,62519,24129,2135,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
73,73,25-06-2020 20:00:50,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0567,38206,14746,1305,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
74,74,25-06-2020 20:00:50,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0722,48626,18767,1661,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
75,75,25-06-2020 20:00:50,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0433,29176,11260,997,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
76,76,25-06-2020 20:00:50,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0825,55573,21448,1898,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
77,77,25-06-2020 20:00:50,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.034,22924,8847,783,,True,330.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
78,78,25-06-2020 20:00:50,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2294,154562,59652,5279,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
79,79,25-06-2020 20:00:50,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,8,Тбилиси,10 гр,0.0103,6947,2681,237,,True,100.0,,,,,,,,,Marki n-boom 10 sht.
80,80,25-06-2020 20:00:50,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2268,152825,58982,5220,,True,2200.0,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
81,81,25-06-2020 20:00:50,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1624,108298,41797,3699,,True,1559.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
82,82,25-06-2020 20:00:50,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0822,54809,21153,1872,,True,789.0,,,,,,,,,💘✨10gram MDMA ✨💘
83,83,25-06-2020 20:00:50,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0384,25633,9893,875,,True,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
84,84,25-06-2020 20:00:50,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0455,30443,11759,1045,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
85,85,25-06-2020 20:00:50,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1406,104199,40215,3559,,True,1500.0,,,,,,,,,✨💘20g MDMA💘✨
86,86,25-06-2020 20:00:50,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0624,41610,16059,1421,,True,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
87,87,25-06-2020 20:00:50,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1339,90236,34826,3082,,True,1299.0,,,,,,,,,50 gr georgian weed. Package on magnet
88,88,25-06-2020 20:00:50,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2577,173596,66998,5929,,True,2499.0,,,,,,,,,100 gr georgian weed. Package on magnet
89,89,25-06-2020 20:00:50,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2475,166718,64344,5694,,True,2400.0,,,,,,,,,100 gr marijuana buds
90,90,25-06-2020 20:00:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2062,138932,53620,4745,,True,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
91,91,25-06-2020 20:00:50,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2578,173665,67025,5932,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
92,92,25-06-2020 20:00:50,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6084,409849,158179,13998,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
93,93,25-06-2020 20:00:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4743,319544,123326,10914,,True,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
94,94,25-06-2020 20:00:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7733,520995,201075,17795,,True,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
95,95,25-06-2020 20:00:50,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8764,590461,227885,20167,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
96,96,25-06-2020 20:00:50,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,13893,5362,475,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
97,97,25-06-2020 20:00:50,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0206,13893,5362,475,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
98,98,25-06-2020 20:00:50,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0258,17367,6703,593,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
99,99,25-06-2020 20:00:50,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5607,1041990,402150,35589,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
100,100,25-06-2020 20:03:04,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,3,нет,Батуми,0.25 гр,0.0135,9289,3588,319,119.0,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
101,101,25-06-2020 20:03:04,Batumi,f8a875c191,METADON - 0.25 - SALE,,1,10,Батуми,0.25 гр,0.0312,20840,8043,712,,,300.0,,,,,,,True,,METADON - 0.25 - SALE
102,102,25-06-2020 20:03:04,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1546,104199,40215,3559,,,1500.0,,,,,,,True,,Gerojn (sirets) 5 gr
