,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
46,30-03-2020 21:05:55,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0239,13215,4845,438,170,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
47,30-03-2020 21:05:55,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.028,15469,5672,513,199,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
48,30-03-2020 21:05:55,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.028,15469,5672,513,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,30-03-2020 21:05:55,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.028,15469,5672,513,199,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,30-03-2020 21:05:55,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.028,17023,6242,564,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,30-03-2020 21:05:55,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0426,23320,8550,773,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
52,30-03-2020 21:05:55,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.028,15469,5672,513,199,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,30-03-2020 21:05:55,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,13,Тбилиси,5 гр,0.0255,15547,5700,515,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
54,30-03-2020 21:05:55,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3122,190000,87429,6293,,,,,,,,,,,,reagent 25i nbome. 5gr
55,30-03-2020 21:05:55,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3832,233198,85500,7726,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,30-03-2020 21:05:55,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1233,67550,24767,2238,869,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
