,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Varketili,Nadzaladevi,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
34,34,07-06-2020 21:38:33,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0931,61769,24165,2143,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
35,35,07-06-2020 21:38:33,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0414,27453,10740,952,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
36,36,07-06-2020 21:38:33,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0724,48042,18795,1667,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
37,37,07-06-2020 21:38:33,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0434,28825,11277,1000,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
38,38,07-06-2020 21:38:33,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0827,54906,21480,1905,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
39,39,07-06-2020 21:38:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,нет,1,Тбилиси,10 гр,0.0276,18325,7169,636,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
40,40,07-06-2020 21:38:33,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2301,152706,59741,5298,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
41,41,07-06-2020 21:38:33,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1628,106997,41859,3712,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
42,42,07-06-2020 21:38:33,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0844,55455,21695,1924,808.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
43,43,07-06-2020 21:38:33,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0385,25325,9908,879,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
