,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
19,19,22-05-2020 16:20:30,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0112,7547,2831,250,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
20,20,22-05-2020 16:20:30,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,8,нет,Тбилиси,5 гр,0.0126,8554,3208,284,119.0,True,,True,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
21,21,22-05-2020 16:20:30,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0211,14304,5365,475,199.0,True,,,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
22,22,22-05-2020 16:20:30,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0462,32346,12132,1074,450.0,,,,,,,,,,,Gashish Evro 10gr
23,23,22-05-2020 16:20:30,Tbilisi,21e6be39fb,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,5,нет,Тбилиси,15 гр,0.0159,10782,4044,358,150.0,,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
24,24,22-05-2020 16:20:30,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0789,55851,20948,1854,777.0,,,,,,,,,,,Gashish Evro 20gr
25,25,22-05-2020 16:20:30,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1925,143761,53920,4771,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26,22-05-2020 16:20:30,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,4,Тбилиси,0.2 гр,0.0104,7060,2651,235,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
27,27,22-05-2020 16:20:30,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0169,11501,4314,382,160.0,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
28,28,22-05-2020 16:20:30,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0347,25886,9719,863,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
29,29,22-05-2020 16:20:30,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0619,41619,15610,1381,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,30,22-05-2020 16:20:30,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0424,28752,10784,954,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31,22-05-2020 16:20:30,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,4 гр,0.0148,10063,3774,334,140.0,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
32,32,22-05-2020 16:20:30,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0582,39534,14828,1312,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,33,22-05-2020 16:20:30,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0249,16892,6336,561,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
34,34,22-05-2020 16:21:07,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0249,16892,6336,561,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,35,22-05-2020 16:21:07,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0255,17251,6470,573,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,36,22-05-2020 16:21:07,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0244,16533,6201,549,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,22-05-2020 16:21:07,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,2,Тбилиси,5 гр,0.0169,11429,4287,379,159.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,38,22-05-2020 16:21:07,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0255,17251,6470,573,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,22-05-2020 16:21:07,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0255,17251,6470,573,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,22-05-2020 16:21:07,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0244,16533,6201,549,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,22-05-2020 16:21:07,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15742,5904,522,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,22-05-2020 16:21:07,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,16892,6336,561,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,22-05-2020 16:21:07,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.017,11501,4314,382,160.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
44,44,22-05-2020 16:21:07,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2548,190000,87429,6393,,,,,,,,,,,,reagent 25i nbome. 5gr
45,45,22-05-2020 16:21:07,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2892,215641,80880,7157,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,22-05-2020 16:21:07,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1027,68933,25855,2288,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,47,22-05-2020 16:21:07,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,2,Тбилиси,5 гр,0.0203,13657,5122,453,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,48,22-05-2020 16:21:07,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0524,35150,13183,1167,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
49,49,22-05-2020 16:21:07,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0954,64692,24264,2147,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,22-05-2020 16:21:07,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0424,28752,10784,954,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,51,22-05-2020 16:21:07,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0742,50316,18872,1670,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,52,22-05-2020 16:21:07,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0445,30190,11323,1002,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,53,22-05-2020 16:21:07,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0143,9704,3640,322,135.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
54,54,22-05-2020 16:21:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0848,57504,21568,1908,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,55,22-05-2020 16:21:07,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0308,20845,7818,692,290.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
56,56,22-05-2020 16:21:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2359,159934,59986,5308,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,22-05-2020 16:21:07,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.16699999999999998,112062,42031,3719,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,58,22-05-2020 16:21:07,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0395,26524,9948,880,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,59,22-05-2020 16:21:07,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0337,22642,8492,751,315.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,60,22-05-2020 16:21:07,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0561,38025,14262,1262,529.0,,,,,,,,,,,20 gr georgian weed. Package on magnet
61,61,22-05-2020 16:21:07,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5355,359402,134800,11928,5000.0,,,,,,,,,,,METADON - 20 G.
62,62,22-05-2020 16:21:07,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0642,43056,16149,1429,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,22-05-2020 16:21:07,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,7,Тбилиси,50 гр,0.1377,93373,35021,3099,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
64,64,22-05-2020 16:21:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1166,79068,29656,2624,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
65,65,22-05-2020 16:21:07,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.265,179629,67373,5962,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
66,66,22-05-2020 16:21:07,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2545,172513,64704,5725,2400.0,,,,,,,,,,,100 gr marijuana buds
67,67,22-05-2020 16:21:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2121,143761,53920,4771,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,22-05-2020 16:21:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2651,179701,67400,5964,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,22-05-2020 16:21:57,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,нет,5,Тбилиси,150 гр,0.0178,13298,4988,441,185.0,,,,,,,,,,,GABAGAMA 150 shtuk
70,70,22-05-2020 16:21:57,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.624,424094,159064,14075,5900.0,,,,,,,,,,,180 gr marihuana persoalno
71,71,22-05-2020 16:21:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4865,330650,124016,10974,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,22-05-2020 16:21:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7932,539103,202200,17892,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,22-05-2020 16:21:57,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.899,610983,229160,20278,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,22-05-2020 16:21:57,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14376,5392,477,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,22-05-2020 16:21:57,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0423,28752,10784,954,400.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
76,76,22-05-2020 16:21:57,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,14376,5392,477,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,22-05-2020 16:21:57,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0264,17970,6740,596,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,22-05-2020 16:21:57,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6009,1078206,404400,35784,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,22-05-2020 16:23:12,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,6,нет,Батуми,0.5 гр,0.0063,4313,1618,143,60.0,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
80,80,22-05-2020 16:23:12,Batumi,521fe98639,svan ice 1g,,2,нет,Батуми,1 гр,0.004,3019,1132,100,42.0,,,,,,,,True,,,svan ice 1g
81,81,22-05-2020 16:23:12,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,2,нет,Батуми,1 гр,0.011000000000000001,7547,2831,250,105.0,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
82,82,22-05-2020 16:23:12,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2327,158137,59312,5248,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
83,83,22-05-2020 16:23:12,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,5,Батуми,0.5 гр,0.009000000000000001,6110,2292,203,85.0,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
84,84,22-05-2020 16:23:12,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0346,25886,9719,863,,,,,,330.0,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
85,85,22-05-2020 16:23:12,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,9,Батуми,2 гр,0.0038,2589,972,86,,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
86,86,22-05-2020 16:23:12,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0423,28752,10784,954,400.0,,,,,,,,True,,,MDMA !! 3 gramma
87,87,22-05-2020 16:23:12,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1663,112990,51992,3802,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
88,88,22-05-2020 16:23:12,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2632,178900,82321,6019,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
89,89,22-05-2020 16:23:12,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7188,2696,239,100.0,,,,,,,,True,,,kur'er v Batumi
90,90,22-05-2020 16:23:12,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17970,6740,596,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,91,22-05-2020 16:23:12,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17970,6740,596,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,92,22-05-2020 16:23:12,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6009,1078206,404400,35784,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,93,22-05-2020 16:23:12,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35940,13480,1193,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
94,94,22-05-2020 16:24:38,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 0.55г бтк скидка 10% !!,,1,нет,Кутаиси,0.55 гр,0.0021,1581,593,52,22.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 0.55g btk skidka 10% !!
95,95,22-05-2020 16:24:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0508,34862,13076,1157,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,96,22-05-2020 16:24:38,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0387,26596,9975,883,370.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,97,22-05-2020 16:24:38,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0212,14376,5392,477,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
