,time_stamp,region,sell_code,sell_name,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
28,08-07-2020 14:23:37,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,True,2,нет,Тбилиси,5 гр,0.0233,17321,6528,587,,,240,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
29,08-07-2020 14:23:37,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,True,,2,нет,Тбилиси,5 гр,0.0267,18043,6800,611,,,250,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
30,08-07-2020 14:23:37,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,,4,нет,Тбилиси,10 гр,0.0139,9310,3509,315,,True,129,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
31,08-07-2020 14:23:37,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,,2,нет,Тбилиси,10 гр,0.0466,32477,12240,1100,,True,450,,,,,,,,,Gashish Evro 10gr
32,08-07-2020 14:23:37,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,,1,нет,Тбилиси,11 гр,0.0175,12991,4896,440,,True,180,,,,,,,,,11+ GRAMM BEASTWEED NEW
33,08-07-2020 14:23:37,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,,1,нет,Тбилиси,12 гр,0.0485,36086,13600,1222,,True,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
34,08-07-2020 14:23:37,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,,8,нет,Тбилиси,15 гр,0.0069,4691,1768,159,,True,65,,,,,,,,,Silver haze leaves list'ja 15gr sale
35,08-07-2020 14:24:57,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.2121,142476,54400,4888,,True,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,08-07-2020 14:24:57,Tbilisi,NLKH,STARS,A PVP Белая мука высшего качества 0.33 г.,,,нет,5,Тбилиси,0.33 гр,0.0137,9261,3536,318,,True,130,,,,,,,,,A PVP Belaja muka vysshego kachestva 0.33 g.
37,08-07-2020 14:24:57,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,3,Тбилиси,3 гр,0.0954,64043,24453,2197,,True,899,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,08-07-2020 14:24:57,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,4,Тбилиси,4 гр,0.042,28495,10880,978,,True,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,08-07-2020 14:24:57,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,,нет,10,Тбилиси,5 гр,0.0263,17809,6800,611,,True,250,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
40,08-07-2020 14:24:57,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0578,39181,14960,1344,,True,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,08-07-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,,нет,6,Тбилиси,5 гр,0.0284,19234,7344,660,,True,270,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
42,08-07-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,,нет,5,Тбилиси,5 гр,0.0294,19947,7616,684,,True,280,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
43,08-07-2020 14:24:57,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,,нет,6,Тбилиси,5 гр,0.0289,19590,7480,672,,True,275,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
44,08-07-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0252,17097,6528,587,,True,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
45,08-07-2020 14:24:57,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,7,Тбилиси,5 гр,0.0294,19947,7616,684,,True,280,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
46,08-07-2020 14:24:57,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,6,Тбилиси,5 гр,0.0284,19234,7344,660,,True,270,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
47,08-07-2020 14:24:57,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0209,15601,5957,535,,True,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
