,time_stamp,region,sell_code,sell_name,description,Saburtalo,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
25,08-07-2020 00:50:48,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,,8,нет,Тбилиси,15 гр,0.0069,4691,1768,158,,True,65,,,,,,,,,Silver haze leaves list'ja 15gr sale
26,08-07-2020 00:50:48,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.2157,144344,54400,4866,,True,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
27,08-07-2020 00:50:48,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,,нет,1,Тбилиси,2 гр,0.0539,36014,13573,1214,,True,499,,,,,,,,,❄❄2g HQ COCAINE❄❄
28,08-07-2020 00:50:48,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,4,Тбилиси,4 гр,0.0427,28869,10880,973,,True,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
29,08-07-2020 00:50:48,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,,нет,10,Тбилиси,5 гр,0.0267,18043,6800,608,,True,250,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
30,08-07-2020 00:50:48,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0588,39695,14960,1338,,True,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,08-07-2020 00:50:48,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,,нет,6,Тбилиси,5 гр,0.0289,19486,7344,657,,True,270,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,08-07-2020 00:50:48,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,,нет,5,Тбилиси,5 гр,0.0299,20208,7616,681,,True,280,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,08-07-2020 00:50:48,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,,нет,6,Тбилиси,5 гр,0.0294,19847,7480,669,,True,275,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
34,08-07-2020 00:51:39,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0256,17321,6528,584,,True,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,08-07-2020 00:51:39,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,7,Тбилиси,5 гр,0.0299,20208,7616,681,,True,280,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,08-07-2020 00:51:39,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,6,Тбилиси,5 гр,0.0288,19486,7344,657,,True,270,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,08-07-2020 00:51:39,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0213,15806,5957,533,,True,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,08-07-2020 00:51:39,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,3,Тбилиси,5 гр,0.0288,19486,7344,657,,True,270,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,08-07-2020 00:51:39,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.2557,190000,87429,6463,,True,,,,,,,,,,reagent 25i nbome. 5gr
40,08-07-2020 00:51:39,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2914,216516,81600,7300,,,3000,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,08-07-2020 00:51:39,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.0962,64955,24480,2190,,True,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,08-07-2020 00:51:39,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,10 гр,0.0588,39695,14960,1338,,True,550,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
43,08-07-2020 00:51:39,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,2,Тбилиси,10 гр,0.0748,50520,19040,1703,,True,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
44,08-07-2020 00:51:39,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,5,Тбилиси,10 гр,0.0449,30312,11424,1022,,True,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
45,08-07-2020 00:51:39,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,3,Тбилиси,10 гр,0.0855,57738,21760,1947,,True,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
46,08-07-2020 00:51:39,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.2377,160582,60520,5414,,True,2225,,,,,,,,,Amfetamin [White] [Import] 10G
47,08-07-2020 00:51:39,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,1,Тбилиси,11 гр,0.0475,31772,11934,1072,390,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
48,08-07-2020 00:51:39,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,,нет,1,Тбилиси,15 гр,0.0631,46912,17680,1582,,True,650,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
49,08-07-2020 00:51:39,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.2564,173213,65280,5840,,True,2400,,,,,,,,,100 gr marijuana buds
50,08-07-2020 00:51:39,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2671,180430,68000,6083,,True,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
51,08-07-2020 00:51:39,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.6303,425814,160480,14356,,True,5900,,,,,,,,,180 gr marihuana persoalno
52,08-07-2020 00:51:39,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.9081,613461,231200,20682,,True,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
53,08-07-2020 00:51:39,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0194,14434,5440,487,,True,200,,,,,,,,,KURYER..500RUB.+BONUS
54,08-07-2020 00:51:39,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,1,нет,Тбилиси,1 гр,0.0267,18043,6800,608,,True,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
55,08-07-2020 00:51:39,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,1,Тбилиси,1 гр,0.0214,14434,5440,487,,True,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
56,08-07-2020 00:51:39,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,,нет,3,Тбилиси,1 гр,0.0267,18043,6800,608,,True,250,,,,,,,,,Rabota na marki (kur'er)
57,08-07-2020 00:51:39,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.6171,1082579,408000,36498,,True,15000,,,,,,,,,Vakansija optovogo kur'era na mef
58,08-07-2020 00:51:39,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,3,Тбилиси,1000 гр,0.0534,36086,13600,1217,,,500,,,True,True,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
59,08-07-2020 00:53:18,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,,нет,5,Батуми,11 гр,0.0474,31772,11934,1072,390,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,08-07-2020 00:53:18,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,,нет,4,Батуми,11 гр,0.0511,34216,12852,1155,420,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
61,08-07-2020 00:53:18,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1672,112990,51992,3844,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
62,08-07-2020 00:53:18,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2647,178900,82321,6086,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
63,08-07-2020 00:53:18,Batumi,42AF,Leningrad6,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0097,7217,2720,243,,,100,,,,,,,True,,kur'er v Batumi
64,08-07-2020 00:53:18,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0243,18043,6800,608,,,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
65,08-07-2020 00:53:18,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0243,18043,6800,608,,,250,,,,,,,True,,Ischu kur'era v Gruzii!
66,08-07-2020 00:53:18,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,,нет,1,Батуми,1 гр,0.0214,14434,5440,487,,,200,,,,,,,True,,Kur'er Batumi na marihuanu
67,08-07-2020 00:53:18,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.6164,1082579,408000,36498,,,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
68,08-07-2020 00:53:18,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0534,36086,13600,1217,,,500,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
