,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
67,67,02-05-2020 19:16:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.212,145453,54400,4829,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,02-05-2020 19:16:29,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2651,181816,68000,6036,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,02-05-2020 19:17:03,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6255,429085,160480,14244,5900.0,True,,,,,,,,,,180 gr marihuana persoalno
70,70,02-05-2020 19:17:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4877,334541,125120,11106,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,71,02-05-2020 19:17:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7952,545447,204000,18107,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,72,02-05-2020 19:17:03,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9012,618174,231200,20522,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,73,02-05-2020 19:17:03,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0193,14545,5440,483,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
74,74,02-05-2020 19:17:03,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0212,14545,5440,483,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,02-05-2020 19:17:03,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0265,18182,6800,604,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,02-05-2020 19:17:03,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0212,14545,5440,483,200.0,True,,,,,,,,,,Rabota na marki (kur'er)
77,77,02-05-2020 19:17:03,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6048,1090895,408000,36215,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
78,78,02-05-2020 19:18:35,Batumi,54915c4374,Батуми н-бооом 2 штуки,,2,нет,Батуми,2 гр,0.0037,2532,950,84,,,,,,,32.0,,True,,,Batumi n-booom 2 shtuki
79,79,02-05-2020 19:18:35,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2332,159998,59840,5311,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
80,80,02-05-2020 19:18:35,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,4431,1663,147,,,,,,,56.0,,,True,,Marki N-VoooooM!!!! 4 shtuki
81,81,02-05-2020 19:18:35,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.0117,8000,2992,266,110.0,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
82,82,02-05-2020 19:18:35,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7273,2720,241,100.0,,,,,,,,,True,,kur'er v Batumi
83,83,02-05-2020 19:18:35,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,18182,6800,604,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
84,84,02-05-2020 19:18:35,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,18182,6800,604,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
85,85,02-05-2020 19:18:35,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6047,1090895,408000,36215,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
86,86,02-05-2020 19:18:35,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.053,36363,13600,1207,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,02-05-2020 19:19:38,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0229,16000,5984,531,220.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,88,02-05-2020 19:19:38,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0551,37818,14144,1255,520.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,89,02-05-2020 19:19:38,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0405,28363,10608,942,390.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,02-05-2020 19:19:38,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0212,14545,5440,483,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
