,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Дигоми,Gldani,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Центр,Батуми,€,desc_en
35,35,14-08-2020 05:23:44,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0084,7287,2737,244,99.0,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
36,36,14-08-2020 05:24:43,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0084,7361,2765,246,100.0,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
37,37,14-08-2020 05:24:43,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0072,6257,2350,209,85.0,,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
38,38,14-08-2020 05:24:43,Tbilisi,7918572a66,2G TYson Budds Скидка 5%,True,11,нет,Тбилиси,2 гр,0.006,5741,2157,192,78.0,,,,True,,,,,,,,,2G TYson Budds Skidka 5%
39,39,14-08-2020 05:24:43,Tbilisi,e56bb6ca93,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,1,нет,Тбилиси,2 гр,0.0073,6330,2378,212,86.0,,,,,,,,,,,,,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
40,40,14-08-2020 05:24:43,Tbilisi,0dec0e1c48,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,2,нет,Тбилиси,2 гр,0.0073,6330,2378,212,86.0,,,,,,,,,,,,,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
41,41,14-08-2020 05:24:43,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0074,6477,2433,217,88.0,,,,,,,,,,,,,2gr HYBRID buds
42,42,14-08-2020 05:24:43,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0079,6845,2571,229,93.0,,,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
43,43,14-08-2020 05:24:43,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 2 гр",True,1,нет,Тбилиси,2 гр,0.0084,8097,3042,271,110.0,,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
44,44,14-08-2020 05:24:43,Tbilisi,e771f4c371,MORNING GLORY 2G.( *VHQ*BUDS-26%THC) FROM EUROPE,,1,нет,Тбилиси,2 гр,0.009000000000000001,7876,2959,263,107.0,,,,True,,,,,,,,,MORNING GLORY 2G.( *VHQ*BUDS-26%THC) FROM EUROPE
45,45,14-08-2020 05:24:43,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,2,нет,Тбилиси,2 гр,0.0084,7287,2737,244,99.0,,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
46,46,14-08-2020 05:24:43,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,1,нет,Тбилиси,2 гр,0.0084,7287,2737,244,99.0,,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
47,47,14-08-2020 05:24:43,Tbilisi,e771f4c371,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE,,2,нет,Тбилиси,3 гр,0.0127,11041,4148,369,150.0,,,,True,,,,,,,,,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE
48,48,14-08-2020 05:24:43,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0069,6625,2489,221,90.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
49,49,14-08-2020 05:24:43,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0184,17666,6636,591,240.0,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
50,50,14-08-2020 05:24:43,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0211,18402,6913,615,250.0,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
51,51,14-08-2020 05:24:43,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0228,19874,7466,664,270.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
52,52,14-08-2020 05:24:43,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0232,20242,7604,677,275.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
53,53,14-08-2020 05:24:43,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0203,17666,6636,591,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
54,54,14-08-2020 05:24:43,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20610,7742,689,280.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
55,55,14-08-2020 05:24:43,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0228,19874,7466,664,270.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
56,56,14-08-2020 05:24:43,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0168,16120,6055,539,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
57,57,14-08-2020 05:24:43,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17666,6636,591,240.0,,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
58,58,14-08-2020 05:24:43,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0211,18402,6913,615,250.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
59,59,14-08-2020 05:24:43,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1981,190000,87429,6362,,,,,,,,,,,,,,reagent 25i nbome. 5gr
60,60,14-08-2020 05:24:43,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2303,220820,82950,7383,3000.0,,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
61,61,14-08-2020 05:24:43,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0464,40484,15208,1354,550.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
62,62,14-08-2020 05:24:43,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0591,51525,19355,1723,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,63,14-08-2020 05:24:43,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0355,30915,11613,1034,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,14-08-2020 05:24:43,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0675,58885,22120,1969,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,65,14-08-2020 05:24:43,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,нет,7,Тбилиси,10 гр,0.0012,1031,387,34,14.0,,,,,,,,,,,,,GABAGAMA 10 shtuk
66,66,14-08-2020 05:24:43,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1879,163775,61521,5476,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
67,67,14-08-2020 05:24:43,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2026,176656,66360,5906,2400.0,,,,,,,,,,,,,100 gr marijuana buds
68,68,14-08-2020 05:24:43,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0084,7287,2737,244,99.0,,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
69,69,14-08-2020 05:24:43,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2111,184017,69125,6152,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,14-08-2020 05:24:43,Tbilisi,509c9eb778,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0062,5668,2129,189,77.0,,,,,,,,,,,,,RoSS Uboj 2gr
71,71,14-08-2020 05:24:43,Tbilisi,6932ed9978,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2456,235541,88480,7875,3200.0,,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,72,14-08-2020 05:25:47,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4981,434280,163135,14519,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
73,73,14-08-2020 05:25:47,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0241,21000,9663,703,,,,,,,,,True,,,,,GABAGAMA 250 shtuk
74,74,14-08-2020 05:25:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7176,625657,235025,20918,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,14-08-2020 05:25:47,Tbilisi,3c9bc6f8e9,Курьер Тбилиси,True,1,нет,Тбилиси,1 гр,0.0154,14721,5530,492,200.0,,,,,,,,,,,,,Kur'er Tbilisi
76,76,14-08-2020 05:25:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0211,18402,6913,615,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,14-08-2020 05:25:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0169,14721,5530,492,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,14-08-2020 05:25:47,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0211,18402,6913,615,250.0,,,,,,,,,,,,,Rabota na marki (kur'er)
79,79,14-08-2020 05:25:47,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0422,36803,13825,1230,500.0,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
80,80,14-08-2020 05:25:47,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0422,36803,13825,1230,500.0,,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
81,81,14-08-2020 05:25:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2779,1104101,414750,36914,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,82,14-08-2020 05:25:47,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0422,36803,13825,1230,500.0,True,,,,,True,,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
83,83,14-08-2020 05:25:47,Tbilisi,98f436eeb7,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
84,84,14-08-2020 05:25:47,Tbilisi,98f436eeb7,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0084,7361,2765,246,100.0,,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
85,85,14-08-2020 05:27:52,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0422,36803,13825,1230,500.0,,,,,,,,,,True,,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
86,86,14-08-2020 05:27:52,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0402,34729,13039,1161,,,,,,,,,,,,True,399.0,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
87,87,14-08-2020 05:27:52,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0393,33946,12745,1135,,,,,,,,,,,,True,390.0,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
88,88,14-08-2020 05:27:52,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18402,6913,615,250.0,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
89,89,14-08-2020 05:27:52,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18402,6913,615,250.0,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
90,90,14-08-2020 05:27:52,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0169,14721,5530,492,200.0,,,,,,,,,,,True,,Kur'er Batumi na marihuanu
91,91,14-08-2020 05:27:52,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2779,1104101,414750,36914,15000.0,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
92,92,14-08-2020 05:27:52,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0422,36803,13825,1230,500.0,,,,,,,,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
